Time,xrsa,xrsb,xrsa_quality,xrsb_quality,xrsa_primary_chan,xrsb_primary_chan
2024-11-01 00:16:00.174293,4.2951032e-07,7.493319e-06,0,0,1,1
2024-11-01 00:16:01.174298,4.2736923e-07,7.481761e-06,0,0,1,1
2024-11-01 00:16:02.174300,4.1766137e-07,7.4682557e-06,0,0,1,1
2024-11-01 00:16:03.174304,4.111733e-07,7.4875315e-06,0,0,1,1
2024-11-01 00:16:04.174303,4.2411708e-07,7.4888176e-06,0,0,1,1
2024-11-01 00:16:05.174307,4.1334678e-07,7.453465e-06,0,0,1,1
2024-11-01 00:16:06.174310,4.1658274e-07,7.484976e-06,0,0,1,1
2024-11-01 00:16:07.174315,4.047014e-07,7.459236e-06,0,0,1,1
2024-11-01 00:16:09.174320,4.0256026e-07,7.447034e-06,0,0,1,1
2024-11-01 00:16:10.174319,4.1334678e-07,7.4521786e-06,0,0,1,1
2024-11-01 00:16:11.174324,4.0040297e-07,7.4406034e-06,0,0,1,1
2024-11-01 00:16:12.174325,4.0903217e-07,7.43996e-06,0,0,1,1
2024-11-01 00:16:15.174336,4.0148163e-07,7.4148797e-06,0,0,1,1
2024-11-01 00:16:16.174339,3.928686e-07,7.4380478e-06,0,0,1,1
2024-11-01 00:16:18.174345,3.8422323e-07,7.403304e-06,0,0,1,1
2024-11-01 00:16:19.174344,3.8961647e-07,7.407806e-06,0,0,1,1
2024-11-01 00:16:20.174352,3.7882998e-07,7.402661e-06,0,0,1,1
2024-11-01 00:16:21.174353,3.8098727e-07,7.392372e-06,0,0,1,1
2024-11-01 00:16:23.174358,3.9177377e-07,7.370507e-06,0,0,1,1
2024-11-01 00:16:24.174362,3.8422323e-07,7.361504e-06,0,0,1,1
2024-11-01 00:16:26.174365,3.7882998e-07,7.3447836e-06,0,0,1,1
2024-11-01 00:16:27.174370,3.7451537e-07,7.3570022e-06,0,0,1,1
2024-11-01 00:16:29.174377,3.7234193e-07,7.331262e-06,0,0,1,1
2024-11-01 00:16:30.174379,3.6372887e-07,7.323562e-06,0,0,1,1
2024-11-01 00:16:31.174378,3.5833563e-07,7.295266e-06,0,0,1,1
2024-11-01 00:16:33.174384,3.6804346e-07,7.295909e-06,0,0,1,1
2024-11-01 00:16:34.174386,3.5833563e-07,7.295266e-06,0,0,1,1
2024-11-01 00:16:36.174389,3.6157158e-07,7.278546e-06,0,0,1,1
2024-11-01 00:16:37.174392,3.5509967e-07,7.2830476e-06,0,0,1,1
2024-11-01 00:16:38.174398,3.453918e-07,7.2766165e-06,0,0,1,1
2024-11-01 00:16:39.174397,3.4970643e-07,7.2393177e-06,0,0,1,1
2024-11-01 00:16:40.174400,3.4321837e-07,7.246375e-06,0,0,1,1
2024-11-01 00:16:41.174402,3.4323452e-07,7.2393177e-06,0,0,1,1
2024-11-01 00:16:42.174409,3.4215586e-07,7.2463918e-06,0,0,1,1
2024-11-01 00:16:44.174412,3.3243188e-07,7.209076e-06,0,0,1,1
2024-11-01 00:16:46.174418,3.3460532e-07,7.20845e-06,0,0,1,1
2024-11-01 00:16:47.174418,3.5295852e-07,7.191103e-06,0,0,1,1
2024-11-01 00:16:50.174427,3.367465e-07,7.1666327e-06,0,0,1,1
2024-11-01 00:16:51.174437,3.3136936e-07,7.170508e-06,0,0,1,1
2024-11-01 00:16:53.174436,3.281334e-07,7.166006e-06,0,0,1,1
2024-11-01 00:16:54.174441,3.2919593e-07,7.1666327e-06,0,0,1,1
2024-11-01 00:16:55.174445,3.3243188e-07,7.147983e-06,0,0,1,1
2024-11-01 00:16:57.174450,3.3568398e-07,7.138997e-06,0,0,1,1
2024-11-01 00:16:58.174452,3.1409485e-07,7.131263e-06,0,0,1,1
2024-11-01 00:17:00.174456,3.151735e-07,7.0901056e-06,0,0,1,1
2024-11-01 00:17:01.174459,3.2166153e-07,7.095267e-06,0,0,1,1
2024-11-01 00:17:03.174465,3.1409485e-07,7.084318e-06,0,0,1,1
2024-11-01 00:17:05.174471,3.1193755e-07,7.0817455e-06,0,0,1,1
2024-11-01 00:17:06.174471,3.022458e-07,7.065042e-06,0,0,1,1
2024-11-01 00:17:07.174479,3.0763906e-07,7.0682577e-06,0,0,1,1
2024-11-01 00:17:08.174481,3.0871772e-07,7.0528235e-06,0,0,1,1
2024-11-01 00:17:11.174489,3.1734692e-07,7.0309584e-06,0,0,1,1
2024-11-01 00:17:14.174498,3.0548176e-07,7.032245e-06,0,0,1,1
2024-11-01 00:17:15.174501,2.9793122e-07,7.0174538e-06,0,0,1,1
2024-11-01 00:17:17.174505,2.8930202e-07,7.0142382e-06,0,0,1,1
2024-11-01 00:17:18.174504,3.0332447e-07,6.9923735e-06,0,0,1,1
2024-11-01 00:17:19.174512,2.9469527e-07,6.988515e-06,0,0,1,1
2024-11-01 00:17:21.174515,2.9794734e-07,6.9602356e-06,0,0,1,1
2024-11-01 00:17:23.174522,2.914432e-07,6.9557013e-06,0,0,1,1
2024-11-01 00:17:24.174526,2.7851553e-07,6.933853e-06,0,0,1,1
2024-11-01 00:17:25.174526,2.9145932e-07,6.9402836e-06,0,0,1,1
2024-11-01 00:17:27.174532,2.8712861e-07,6.916473e-06,0,0,1,1
2024-11-01 00:17:30.174545,2.7420091e-07,6.9010557e-06,0,0,1,1
2024-11-01 00:17:33.174553,2.8067282e-07,6.879834e-06,0,0,1,1
2024-11-01 00:17:34.174552,2.6990242e-07,6.877921e-06,0,0,1,1
2024-11-01 00:17:35.174555,2.7204362e-07,6.873403e-06,0,0,1,1
2024-11-01 00:17:36.174557,2.6880767e-07,6.866972e-06,0,0,1,1
2024-11-01 00:17:37.174561,2.655717e-07,6.8470367e-06,0,0,1,1
2024-11-01 00:17:39.174567,2.6125713e-07,6.8489658e-06,0,0,1,1
2024-11-01 00:17:40.174571,2.666343e-07,6.8560234e-06,0,0,1,1
2024-11-01 00:17:42.174575,2.5802117e-07,6.8335316e-06,0,0,1,1
2024-11-01 00:17:44.174581,2.5692643e-07,6.8283707e-06,0,0,1,1
2024-11-01 00:17:45.174581,2.5586385e-07,6.826458e-06,0,0,1,1
2024-11-01 00:17:46.174588,2.8822336e-07,6.8071654e-06,0,0,1,1
2024-11-01 00:17:48.174593,2.504706e-07,6.796233e-06,0,0,1,1
2024-11-01 00:17:50.174600,2.4292007e-07,6.794947e-06,0,0,1,1
2024-11-01 00:17:51.174599,2.6450917e-07,6.7943197e-06,0,0,1,1
2024-11-01 00:17:52.174599,2.5262793e-07,6.7775836e-06,0,0,1,1
2024-11-01 00:17:54.174607,2.3860545e-07,6.7608635e-06,0,0,1,1
2024-11-01 00:17:55.174613,2.493759e-07,6.75313e-06,0,0,1,1
2024-11-01 00:17:56.174617,2.5584777e-07,6.731265e-06,0,0,1,1
2024-11-01 00:17:57.174616,2.4613993e-07,6.7505575e-06,0,0,1,1
2024-11-01 00:17:59.174624,2.4076277e-07,6.73514e-06,0,0,1,1
2024-11-01 00:18:01.174628,2.4615602e-07,6.7164906e-06,0,0,1,1
2024-11-01 00:18:02.174631,2.4290398e-07,6.7139017e-06,0,0,1,1
2024-11-01 00:18:03.174632,2.3752682e-07,6.6920534e-06,0,0,1,1
2024-11-01 00:18:05.174638,2.4076277e-07,6.7197057e-06,0,0,1,1
2024-11-01 00:18:06.174643,2.418414e-07,6.689481e-06,0,0,1,1
2024-11-01 00:18:08.174649,2.396841e-07,6.6843363e-06,0,0,1,1
2024-11-01 00:18:10.174654,2.4829723e-07,6.67596e-06,0,0,1,1
2024-11-01 00:18:11.174657,2.418414e-07,6.675333e-06,0,0,1,1
2024-11-01 00:18:13.174663,2.407467e-07,6.6431626e-06,0,0,1,1
2024-11-01 00:18:15.174664,2.3321222e-07,6.653468e-06,0,0,1,1
2024-11-01 00:18:17.174676,2.3105491e-07,6.6489665e-06,0,0,1,1
2024-11-01 00:18:18.174678,2.3319615e-07,6.645092e-06,0,0,1,1
2024-11-01 00:18:19.174680,2.299602e-07,6.630944e-06,0,0,1,1
2024-11-01 00:18:21.174682,2.3425872e-07,6.6309276e-06,0,0,1,1
2024-11-01 00:18:22.174687,2.385894e-07,6.622584e-06,0,0,1,1
2024-11-01 00:18:23.174691,2.2564559e-07,6.591716e-06,0,0,1,1
2024-11-01 00:18:24.174694,2.3752682e-07,6.590446e-06,0,0,1,1
2024-11-01 00:18:26.174699,2.1595382e-07,6.5788704e-06,0,0,1,1
2024-11-01 00:18:29.174707,2.1378045e-07,6.570494e-06,0,0,1,1
2024-11-01 00:18:30.174710,2.3213356e-07,6.5968766e-06,0,0,1,1
2024-11-01 00:18:31.174711,2.2888155e-07,6.594931e-06,0,0,1,1
2024-11-01 00:18:34.174720,2.3535344e-07,6.594288e-06,0,0,1,1
2024-11-01 00:18:35.174722,2.2566167e-07,6.5788704e-06,0,0,1,1
2024-11-01 00:18:36.174724,2.191737e-07,6.5659924e-06,0,0,1,1
2024-11-01 00:18:37.174730,2.1703246e-07,6.5595777e-06,0,0,1,1
2024-11-01 00:18:39.174739,2.2026842e-07,6.554433e-06,0,0,1,1
2024-11-01 00:18:40.174739,2.2781897e-07,6.5319255e-06,0,0,1,1
2024-11-01 00:18:41.174743,2.2458302e-07,6.537713e-06,0,0,1,1
2024-11-01 00:18:43.174743,2.299602e-07,6.524192e-06,0,0,1,1
2024-11-01 00:18:44.174750,2.1595382e-07,6.5171344e-06,0,0,1,1
2024-11-01 00:18:45.174755,2.2242571e-07,6.511347e-06,0,0,1,1
2024-11-01 00:18:46.174754,2.2781897e-07,6.511347e-06,0,0,1,1
2024-11-01 00:18:48.174758,2.2242571e-07,6.513276e-06,0,0,1,1
2024-11-01 00:18:49.174761,2.1056057e-07,6.48498e-06,0,0,1,1
2024-11-01 00:18:50.174764,2.1811111e-07,6.500414e-06,0,0,1,1
2024-11-01 00:18:52.174772,2.0732462e-07,6.4881956e-06,0,0,1,1
2024-11-01 00:18:53.174778,2.2134707e-07,6.4631154e-06,0,0,1,1
2024-11-01 00:18:55.174780,2.1703246e-07,6.4566843e-06,0,0,1,1
2024-11-01 00:18:56.174780,2.2026842e-07,6.4541123e-06,0,0,1,1
2024-11-01 00:18:58.174786,2.170164e-07,6.4502374e-06,0,0,1,1
2024-11-01 00:18:59.174790,2.2026842e-07,6.452183e-06,0,0,1,1
2024-11-01 00:19:00.174794,2.0515125e-07,6.4495944e-06,0,0,1,1
2024-11-01 00:19:01.174794,2.1163922e-07,6.4547553e-06,0,0,1,1
2024-11-01 00:19:03.174802,1.9761677e-07,6.4200285e-06,0,0,1,1
2024-11-01 00:19:04.174806,2.0624597e-07,6.4187425e-06,0,0,1,1
2024-11-01 00:19:05.174810,2.1487517e-07,6.421315e-06,0,0,1,1
2024-11-01 00:19:07.174810,2.0949798e-07,6.4181154e-06,0,0,1,1
2024-11-01 00:19:08.174813,2.1056057e-07,6.405238e-06,0,0,1,1
2024-11-01 00:19:10.174820,2.148591e-07,6.3955754e-06,0,0,1,1
2024-11-01 00:19:13.174830,2.2134707e-07,6.3833727e-06,0,0,1,1
2024-11-01 00:19:15.174838,1.9869542e-07,6.376299e-06,0,0,1,1
2024-11-01 00:19:16.174838,2.0948191e-07,6.363437e-06,0,0,1,1
2024-11-01 00:19:18.174845,2.0946585e-07,6.355061e-06,0,0,1,1
2024-11-01 00:19:19.174850,2.0624597e-07,6.3563634e-06,0,0,1,1
2024-11-01 00:19:21.174850,2.0732462e-07,6.354434e-06,0,0,1,1
2024-11-01 00:19:22.174857,1.9760071e-07,6.337055e-06,0,0,1,1
2024-11-01 00:19:24.174860,1.9112882e-07,6.338984e-06,0,0,1,1
2024-11-01 00:19:25.174869,1.9220747e-07,6.339627e-06,0,0,1,1
2024-11-01 00:19:26.174868,2.170164e-07,6.331267e-06,0,0,1,1
2024-11-01 00:19:28.174874,2.105445e-07,6.319048e-06,0,0,1,1
2024-11-01 00:19:29.174874,1.9977406e-07,6.325495e-06,0,0,1,1
2024-11-01 00:19:31.174880,2.0301002e-07,6.308775e-06,0,0,1,1
2024-11-01 00:19:32.174883,1.9867936e-07,6.3139037e-06,0,0,1,1
2024-11-01 00:19:33.174885,1.9438082e-07,6.2965564e-06,0,0,1,1
2024-11-01 00:19:35.174891,2.0083667e-07,6.301685e-06,0,0,1,1
2024-11-01 00:19:36.174893,1.9763282e-07,6.299788e-06,0,0,1,1
2024-11-01 00:19:37.174901,1.9436476e-07,6.283036e-06,0,0,1,1
2024-11-01 00:19:38.174900,1.9114486e-07,6.256685e-06,0,0,1,1
2024-11-01 00:19:40.174906,1.9545946e-07,6.2734052e-06,0,0,1,1
2024-11-01 00:19:41.174910,2.040726e-07,6.268888e-06,0,0,1,1
2024-11-01 00:19:42.174914,1.9653811e-07,6.2759777e-06,0,0,1,1
2024-11-01 00:19:44.174920,1.9008226e-07,6.2618456e-06,0,0,1,1
2024-11-01 00:19:45.174923,1.9114486e-07,6.2431805e-06,0,0,1,1
2024-11-01 00:19:46.174921,1.8575162e-07,6.238036e-06,0,0,1,1
2024-11-01 00:19:47.174925,2.0086877e-07,6.238695e-06,0,0,1,1
2024-11-01 00:19:48.174930,1.9655417e-07,6.2367653e-06,0,0,1,1
2024-11-01 00:19:49.174928,1.8575162e-07,6.2264603e-06,0,0,1,1
2024-11-01 00:19:50.174935,1.9438082e-07,6.2258173e-06,0,0,1,1
2024-11-01 00:19:53.174940,1.9979012e-07,6.211685e-06,0,0,1,1
2024-11-01 00:19:55.174948,1.9436476e-07,6.1962196e-06,0,0,1,1
2024-11-01 00:19:56.174951,1.9006622e-07,6.195592e-06,0,0,1,1
2024-11-01 00:19:58.174957,1.9114486e-07,6.1730843e-06,0,0,1,1
2024-11-01 00:19:59.174960,1.7820106e-07,6.194949e-06,0,0,1,1
2024-11-01 00:20:00.174963,1.8035837e-07,6.1820874e-06,0,0,1,1
2024-11-01 00:20:01.174966,1.9223957e-07,6.1981805e-06,0,0,1,1
2024-11-01 00:20:03.174969,1.8790891e-07,6.177586e-06,0,0,1,1
2024-11-01 00:20:04.174975,1.8897151e-07,6.1794995e-06,0,0,1,1
2024-11-01 00:20:05.174975,1.8467297e-07,6.158293e-06,0,0,1,1
2024-11-01 00:20:06.174980,1.8684631e-07,6.1621677e-06,0,0,1,1
2024-11-01 00:20:07.174982,1.8249962e-07,6.1351266e-06,0,0,1,1
2024-11-01 00:20:09.174990,1.7280782e-07,6.1544347e-06,0,0,1,1
2024-11-01 00:20:10.174989,1.9330217e-07,6.1383575e-06,0,0,1,1
2024-11-01 00:20:11.174992,1.8575162e-07,6.1518626e-06,0,0,1,1
2024-11-01 00:20:13.175001,1.8465691e-07,6.1357696e-06,0,0,1,1
2024-11-01 00:20:14.175001,1.7926367e-07,6.115834e-06,0,0,1,1
2024-11-01 00:20:16.175007,1.9763282e-07,6.1197243e-06,0,0,1,1
2024-11-01 00:20:17.175010,1.7280782e-07,6.1184223e-06,0,0,1,1
2024-11-01 00:20:18.175012,1.8681422e-07,6.1184064e-06,0,0,1,1
2024-11-01 00:20:20.175020,1.8683026e-07,6.0972e-06,0,0,1,1
2024-11-01 00:20:21.175022,1.8143702e-07,6.0849816e-06,0,0,1,1
2024-11-01 00:20:22.175022,1.9112882e-07,6.0958982e-06,0,0,1,1
2024-11-01 00:20:23.175028,1.7065051e-07,6.0978437e-06,0,0,1,1
2024-11-01 00:20:24.175032,1.9223957e-07,6.082425e-06,0,0,1,1
2024-11-01 00:20:26.175035,1.8465691e-07,6.086252e-06,0,0,1,1
2024-11-01 00:20:27.175039,1.8142097e-07,6.077892e-06,0,0,1,1
2024-11-01 00:20:28.175043,1.7388646e-07,6.077908e-06,0,0,1,1
2024-11-01 00:20:29.175046,1.7926367e-07,6.084323e-06,0,0,1,1
2024-11-01 00:20:30.175046,1.7280782e-07,6.071477e-06,0,0,1,1
2024-11-01 00:20:31.175051,1.9112882e-07,6.0579564e-06,0,0,1,1
2024-11-01 00:20:33.175056,1.8573557e-07,6.060529e-06,0,0,1,1
2024-11-01 00:20:34.175055,1.7280782e-07,6.0579723e-06,0,0,1,1
2024-11-01 00:20:35.175061,1.8034233e-07,6.054098e-06,0,0,1,1
2024-11-01 00:20:36.175061,1.7927971e-07,6.054757e-06,0,0,1,1
2024-11-01 00:20:37.175064,1.7818502e-07,6.0444518e-06,0,0,1,1
2024-11-01 00:20:38.175066,1.8143702e-07,6.0148855e-06,0,0,1,1
2024-11-01 00:20:39.175071,1.7929575e-07,6.046412e-06,0,0,1,1
2024-11-01 00:20:40.175071,1.8145306e-07,6.0329075e-06,0,0,1,1
2024-11-01 00:20:41.175078,1.9006622e-07,6.040609e-06,0,0,1,1
2024-11-01 00:20:42.175081,1.8251566e-07,6.041252e-06,0,0,1,1
2024-11-01 00:20:43.175083,1.8251566e-07,6.033535e-06,0,0,1,1
2024-11-01 00:20:44.175083,1.6631988e-07,6.0219436e-06,0,0,1,1
2024-11-01 00:20:45.175089,1.7065051e-07,6.0200305e-06,0,0,1,1
2024-11-01 00:20:46.175091,1.7496511e-07,6.018744e-06,0,0,1,1
2024-11-01 00:20:47.175092,1.7820106e-07,6.027104e-06,0,0,1,1
2024-11-01 00:20:49.175096,1.7496511e-07,5.9898052e-06,0,0,1,1
2024-11-01 00:20:50.175101,1.7496511e-07,5.989162e-06,0,0,1,1
2024-11-01 00:20:52.175106,1.8143702e-07,5.9846607e-06,0,0,1,1
2024-11-01 00:20:53.175112,1.7282386e-07,5.992393e-06,0,0,1,1
2024-11-01 00:20:54.175113,1.9005016e-07,5.9897898e-06,0,0,1,1
2024-11-01 00:20:55.175118,1.6957186e-07,5.9962363e-06,0,0,1,1
2024-11-01 00:20:56.175117,1.7712242e-07,5.9692265e-06,0,0,1,1
2024-11-01 00:20:58.175124,1.7280782e-07,5.9698696e-06,0,0,1,1
2024-11-01 00:20:59.175125,1.7065051e-07,5.9685835e-06,0,0,1,1
2024-11-01 00:21:00.175129,1.6741457e-07,5.9537924e-06,0,0,1,1
2024-11-01 00:21:01.175134,1.7496511e-07,5.973728e-06,0,0,1,1
2024-11-01 00:21:02.175136,1.760598e-07,5.9634544e-06,0,0,1,1
2024-11-01 00:21:03.175140,1.6957186e-07,5.9685835e-06,0,0,1,1
2024-11-01 00:21:04.175143,1.6957186e-07,5.966011e-06,0,0,1,1
2024-11-01 00:21:05.175141,1.7494908e-07,5.952491e-06,0,0,1,1
2024-11-01 00:21:06.175149,1.7604377e-07,5.948005e-06,0,0,1,1
2024-11-01 00:21:07.175147,1.7820106e-07,5.9537924e-06,0,0,1,1
2024-11-01 00:21:08.175151,1.6635195e-07,5.9473773e-06,0,0,1,1
2024-11-01 00:21:09.175155,1.6309997e-07,5.9435033e-06,0,0,1,1
2024-11-01 00:21:10.175156,1.6633591e-07,5.9454323e-06,0,0,1,1
