DateTime,Diff_count
2024-11-01 00:24:37.919880,1110954.79758018
2024-11-01 00:26:02.113030,1518822.18414958
2024-11-01 00:27:26.305305,1001188.89120308
2024-11-01 00:28:50.496580,737753.787836497
2024-11-01 00:30:14.688855,1065128.12117075
2024-11-01 00:31:42.417005,1088151.53146974
2024-11-01 00:33:11.888290,891816.767679006
2024-11-01 00:34:41.361450,1068898.78740198
2024-11-01 00:36:10.833735,864160.774028466
2024-11-01 00:37:40.305895,1062349.09951623
2024-11-01 00:39:09.778180,622225.080745976
2024-11-01 00:40:39.250465,588613.454879622
2024-11-01 00:42:08.722625,168290.335501651
2024-11-01 00:43:38.194910,1043628.18504677
2024-11-01 00:45:07.667060,1075522.94394444
2024-11-01 00:46:37.139345,576121.265722644
2024-11-01 00:48:06.610630,706250.361995501
2024-11-01 00:49:36.839150,478105.33534115
2024-11-01 00:51:05.556075,913060.247995013
2024-11-01 00:52:35.333600,237679.820687256
2024-11-01 00:54:04.500645,788490.524936279
2024-11-01 00:55:33.972805,795914.407113785
2024-11-01 00:57:03.444090,464287.613628302
2024-11-01 00:58:32.917375,426191.298724832
2024-11-01 01:01:31.603820,634020.473312838
2024-11-01 01:03:00.819970,564919.183729591
2024-11-01 01:04:30.412550,767431.568513551
2024-11-01 01:05:59.316540,582671.244078743
2024-11-01 01:07:28.564825,849499.680342097
2024-11-01 01:08:57.813985,772896.797646374
2024-11-01 01:10:27.932700,759100.776451798
2024-11-01 01:11:56.341555,768140.55929455
2024-11-01 01:13:25.590715,590120.60499997
2024-11-01 01:14:54.870865,805743.964913436
2024-11-01 01:16:24.118150,695636.601738195
2024-11-01 01:17:53.367435,764744.507042323
2024-11-01 01:19:22.615720,755596.715807677
2024-11-01 01:20:51.862880,951675.893370364
2024-11-01 01:22:21.112165,759296.057826269
2024-11-01 01:23:50.328450,687503.449453466
2024-11-01 01:25:19.543610,718078.590243274
2024-11-01 01:26:48.792885,793193.974695075
2024-11-01 01:28:18.917000,740920.395468939
2024-11-01 01:29:47.224330,893317.259298429
2024-11-01 01:31:16.313615,853944.062569041
2024-11-01 01:32:45.402900,891627.027312793
2024-11-01 01:34:14.488060,833509.216930269
2024-11-01 01:35:43.576345,777979.378396489
2024-11-01 01:37:12.664620,700163.472402582
2024-11-01 01:38:41.752780,1002787.91988386
2024-11-01 01:40:10.841065,742743.568786688
2024-11-01 01:41:39.929350,951810.1918278
2024-11-01 01:43:09.175100,905280.280135168
2024-11-01 01:44:38.105795,1068205.99529219
2024-11-01 01:46:07.193945,966314.362091892
2024-11-01 01:47:36.283230,850922.234390294
2024-11-01 01:49:05.370515,927646.729878845
2024-11-01 01:50:34.458675,898352.727078306
2024-11-01 01:52:03.548085,1049404.73059323
2024-11-01 01:53:32.635245,809449.714412961
2024-11-01 01:55:01.723530,1076985.51997078
2024-11-01 01:56:30.812805,898280.223505273
2024-11-01 01:57:59.899965,677884.34216472
2024-11-01 01:59:28.988250,1026743.96559397
2024-11-01 02:00:57.917410,950437.910937444
2024-11-01 02:02:26.749695,761726.355195593
2024-11-01 02:03:55.581845,821114.264037878
2024-11-01 02:05:24.414255,880834.708841005
2024-11-01 02:06:53.246415,723379.226914565
2024-11-01 02:08:22.787000,783398.272760588
2024-11-01 02:09:50.908860,880545.23715123
2024-11-01 02:11:19.708145,784536.174133823
2024-11-01 02:12:48.509295,1042987.27653451
2024-11-01 02:15:45.132865,3054825.14534996
2024-11-01 02:17:19.451500,2324316.99413762
2024-11-01 02:18:55.714455,1463873.68355083
2024-11-01 02:20:32.417625,1283556.4546984
2024-11-01 02:22:09.121920,990719.048420478
2024-11-01 02:23:45.827215,842062.446288987
2024-11-01 02:25:22.530510,654685.80190549
2024-11-01 02:26:59.234815,658403.77073218
