Time,Mean,Std,AR_total,Diff_error,Img_count,area
2024-07-10 04:00:11.888050,-1.4765607883198577,152.17884090052834,955299.1342773438,3570.8195995404594,26456804.421875,1294
2024-07-10 04:01:42.509555,-3.4107134843769384,100.05775377527179,26806.716796875,901.5492221933273,1652388.732421875,65
2024-07-10 04:03:13.967305,-0.18232404423080475,98.7900309476082,134551.814453125,1848.6960333447887,6969905.8408203125,330
2024-07-10 04:04:45.454930,5.2683782478202685,148.23646703671264,2256283.9008789062,4774.884762679951,47855332.837890625,1753
2024-07-10 04:06:16.911680,6.629705594315143,174.94595312482875,3043643.3969726562,5890.529506769361,72440319.05371094,2765
2024-07-10 04:07:48.401430,4.220734311605967,202.48227456909842,1200782.6240234375,3489.984176630846,25560761.766601562,1073
2024-07-10 04:09:19.857055,5.32763686181965,197.35360642617445,1689699.33203125,4189.133059290022,36787370.94042969,1581
2024-07-10 04:10:51.313805,8.649321201274446,239.05965796925253,2681286.21875,4237.699156624847,38597474.49511719,1754
2024-07-10 04:12:22.803385,1.2216238903363241,235.27774187227047,1595951.9282226562,3193.358364942509,21991027.22265625,950
2024-07-10 04:13:54.291420,-12.565384036681264,217.66458760770684,283283.41162109375,1657.7488101738259,5779545.5859375,276
2024-07-10 04:15:25.778705,-19.042847602228964,215.893611144263,77682.037109375,952.588467730121,1892531.609375,75
2024-07-10 04:16:57.490865,-11.58127766735035,251.16971904853455,1293879.0703125,3228.5556441793747,22141022.212890625,880
2024-07-10 04:18:29.203160,-0.6973478939157566,259.1562820945637,3442845.8334960938,4748.747886155061,48544058.84765625,1924
2024-07-10 04:20:00.915445,14.579751921041309,299.21796635819015,5969314.7314453125,5712.7667778980895,71240723.21289062,2794
2024-07-10 04:21:32.627605,10.61901217165438,269.40306463481744,4311161.4912109375,5259.024901368745,59625847.40625,2432
2024-07-10 04:23:04.339900,10.968825148945044,256.71908138866206,3234977.8466796875,4633.451362205193,46172720.84765625,1859
2024-07-10 04:24:36.509350,0.55913586797279,233.17993241445873,2066352.8217773438,4155.204515508614,36597801.94628906,1508
2024-07-10 04:26:07.764220,6.746467422148663,236.25593701053785,1606877.58203125,3619.6242272383297,27810236.701171875,1225
2024-07-10 04:27:39.474515,1.811509617745116,227.35516709329983,1282602.2631835938,3408.4435248154423,24517576.826171875,1103
2024-07-10 04:29:11.217675,1.0017580398647419,235.80342825955105,1854817.6728515625,3844.141268162317,31409661.780273438,1408
2024-07-10 04:30:42.930960,17.94248886706737,245.56724495883347,2451516.611328125,4049.7291572643658,35252129.029296875,1533
2024-07-10 04:32:14.643130,16.178148039627168,264.2768386430679,3317807.458984375,4655.524648900692,46665626.92089844,2079
2024-07-10 04:33:46.354415,21.648550409021436,266.1295946952611,3570692.8049316406,5035.561382898191,54284449.6875,2374
2024-07-10 04:35:18.675750,16.378189746879215,252.9438703597151,2060252.1762695312,3910.5247272628717,32644659.34375,1448
2024-07-10 04:36:49.779860,12.490574952947357,240.8581964025668,1331902.830078125,3246.6851180940635,22413831.364257812,1066
2024-07-10 04:38:21.491030,11.425809925798047,246.29048050133173,2476806.9086914062,4611.333877100853,45005607.025390625,1936
2024-07-10 04:39:53.204315,5.762846757525123,256.57060322820826,3074815.748779297,5099.613071966935,55086922.65136719,2298
