filter2_file,mean_counts_under_contours,qs_mean_counts
2024-11-01T00:24:37.920,4191.26368159204,3453.3103
2024-11-01T00:26:02.113,4165.934825870647,3451.5088
2024-11-01T00:27:26.305,4138.212437810946,3451.9893
2024-11-01T00:28:50.497,4104.135074626865,3442.1885
2024-11-01T00:30:14.689,4096.925124378109,3428.165
2024-11-01T00:31:42.417,4152.804726368159,3464.7886
2024-11-01T00:33:11.888,4120.949751243781,3449.541
2024-11-01T00:34:41.361,4126.443781094527,3461.9912
2024-11-01T00:36:10.834,4116.1310945273635,3463.7341
2024-11-01T00:37:40.306,4115.429601990049,3432.1436
2024-11-01T00:39:09.778,4127.183333333333,3452.3643
2024-11-01T00:40:39.250,4104.116666666667,3440.2283
2024-11-01T00:42:08.723,4079.0706467661694,3429.937
2024-11-01T00:43:38.195,4089.8559701492536,3438.1155
2024-11-01T00:45:07.667,4095.2624378109454,3448.9617
2024-11-01T00:46:37.139,4074.268656716418,3435.3818
2024-11-01T00:48:06.611,4090.5902985074626,3438.0374
2024-11-01T00:49:36.839,4100.9597014925375,3442.274
2024-11-01T00:51:05.556,4093.565174129353,3439.664
2024-11-01T00:52:35.334,4072.189303482587,3431.1917
2024-11-01T00:54:04.501,4061.4609452736318,3451.5432
2024-11-01T00:55:33.973,4072.3012437810944,3436.9084
2024-11-01T00:57:03.444,4061.037064676617,3446.092
2024-11-01T00:58:32.917,4077.9691542288556,3451.2168
2024-11-01T01:01:31.604,4082.7768656716416,3437.904
2024-11-01T01:03:00.820,4096.48407960199,3453.1116
2024-11-01T01:04:30.413,4103.972636815921,3447.9429
2024-11-01T01:05:59.317,4102.620149253731,3437.095
2024-11-01T01:07:28.565,4108.385323383084,3436.1978
2024-11-01T01:08:57.814,4091.7380597014926,3446.28
2024-11-01T01:10:27.933,4086.394278606965,3438.7578
2024-11-01T01:11:56.342,4083.998258706468,3424.9277
2024-11-01T01:13:25.591,4065.513432835821,3440.3389
2024-11-01T01:14:54.871,4061.0111940298507,3435.994
2024-11-01T01:16:24.118,4057.840049751244,3438.4504
2024-11-01T01:17:53.367,4053.5671641791046,3419.001
2024-11-01T01:19:22.616,4075.483333333333,3431.203
2024-11-01T01:20:51.863,4065.058208955224,3435.4531
2024-11-01T01:22:21.112,4068.4410447761193,3423.071
2024-11-01T01:23:50.328,4094.2029850746267,3417.3877
2024-11-01T01:25:19.544,4094.084328358209,3433.7227
2024-11-01T01:26:48.793,4084.8751243781094,3419.2705
2024-11-01T01:28:18.917,4109.087064676617,3413.4868
2024-11-01T01:29:47.224,4111.594527363184,3408.8665
2024-11-01T01:31:16.314,4059.0064676616917,3410.6938
2024-11-01T01:32:45.403,4085.845273631841,3413.4465
2024-11-01T01:34:14.488,4090.721144278607,3385.087
2024-11-01T01:35:43.576,4123.309701492537,3409.4429
2024-11-01T01:37:12.665,4095.720895522388,3404.4773
2024-11-01T01:38:41.753,4088.6325870646765,3404.1462
2024-11-01T01:40:10.841,4095.353233830846,3403.2058
2024-11-01T01:41:39.929,4100.4303482587065,3420.3394
2024-11-01T01:43:09.175,4087.67960199005,3420.3867
2024-11-01T01:44:38.106,4072.723631840796,3412.5488
2024-11-01T01:46:07.194,4107.131343283582,3412.4338
2024-11-01T01:47:36.283,4097.745024875622,3421.8274
2024-11-01T01:49:05.371,4081.866666666667,3403.1067
2024-11-01T01:50:34.459,4075.4559701492535,3406.9597
2024-11-01T01:52:03.548,4079.4537313432834,3403.5352
2024-11-01T01:53:32.635,4066.3251243781096,3407.2854
2024-11-01T01:55:01.724,4062.1601990049753,3397.4106
2024-11-01T01:56:30.813,4097.300746268656,3387.4062
2024-11-01T01:57:59.900,4065.015671641791,3405.3909
2024-11-01T01:59:28.988,4070.2838308457713,3389.4805
2024-11-01T02:00:57.917,4072.447263681592,3385.3284
2024-11-01T02:02:26.750,4052.3985074626867,3402.316
2024-11-01T02:03:55.582,4065.349253731343,3397.6094
2024-11-01T02:05:24.414,4078.7455223880597,3405.9255
2024-11-01T02:06:53.246,4075.239054726368,3406.341
2024-11-01T02:08:22.787,4103.352487562189,3414.4749
2024-11-01T02:09:50.909,4135.44776119403,3421.1338
2024-11-01T02:11:19.708,4194.212437810946,3420.7
2024-11-01T02:12:48.509,4262.986069651742,3420.3965
2024-11-01T02:15:45.133,4859.342288557214,3498.1729
2024-11-01T02:17:19.451,4602.894527363184,3409.9539
2024-11-01T02:18:55.714,4384.495024875622,3415.8208
2024-11-01T02:20:32.418,4301.058706467662,3397.3518
2024-11-01T02:22:09.122,4257.4890547263685,3406.482
2024-11-01T02:23:45.827,4220.4323383084575,3399.4543
2024-11-01T02:25:22.531,4189.450248756219,3395.5718
2024-11-01T02:26:59.235,4175.408457711443,3395.3682
2024-11-01T02:28:35.940,4155.000746268657,3402.8494
