Peak time,Peak total count
2024-07-10 04:06:16.911,2.8992730294412885
2024-07-10 04:10:51.313,1.1899522402193046
2024-07-10 04:20:00.915,3.37611914586735
2024-07-10 04:33:46.354,2.842863537767857
2024-07-10 04:41:24.916,2.8018479915895753
2024-07-10 04:49:04.120,2.6269943709825156
2024-07-10 04:53:40.211,2.279834065067034
2024-07-10 05:02:51.990,0.7139157974396524
2024-07-10 05:05:55.989,0.6984262154864648
2024-07-10 05:15:07.991,0.0842576840314776
2024-07-10 05:21:17.462,0.21346472212250706
2024-07-10 05:24:21.559,0.437057097178798
2024-07-10 05:32:02.839,1.4762954416885503
2024-07-10 05:36:39.608,3.5890395599903213
