filter2_file,counts_under_contours
2024-07-10T11:21:15.508,28028532.0
2024-07-10T11:22:50.740,28018020.0
2024-07-10T11:24:25.971,28111812.0
2024-07-10T11:26:01.209,28115920.0
2024-07-10T11:27:36.437,28142368.0
2024-07-10T11:29:11.668,27982056.0
2024-07-10T11:30:46.962,27985468.0
2024-07-10T11:32:22.451,27969190.0
2024-07-10T11:33:57.938,27900848.0
2024-07-10T11:35:33.459,27864046.0
2024-07-10T11:37:08.979,27941428.0
2024-07-10T11:38:44.499,27967700.0
2024-07-10T11:40:20.201,28138600.0
2024-07-10T11:41:55.540,28071436.0
2024-07-10T11:43:31.597,28108290.0
2024-07-10T11:45:06.581,28178122.0
2024-07-10T11:46:42.101,28164688.0
2024-07-10T11:48:17.620,28134550.0
2024-07-10T11:49:53.142,28311740.0
2024-07-10T11:51:28.630,28311430.0
2024-07-10T11:53:04.117,28268872.0
2024-07-10T11:54:39.606,28287298.0
2024-07-10T11:56:15.948,28224204.0
2024-07-10T11:57:50.582,28322394.0
2024-07-10T12:12:45.143,29045670.0
2024-07-10T12:14:20.759,28885100.0
2024-07-10T12:15:56.344,28867858.0
2024-07-10T12:17:31.895,28815830.0
2024-07-10T12:19:07.480,28763548.0
2024-07-10T12:20:43.330,28683742.0
2024-07-10T12:22:18.616,28567354.0
2024-07-10T12:23:54.169,28493256.0
2024-07-10T12:25:29.722,28450498.0
2024-07-10T12:27:05.273,28450480.0
2024-07-10T12:28:40.825,28587940.0
2024-07-10T12:30:16.379,28745074.0
2024-07-10T12:31:52.153,28648574.0
2024-07-10T12:33:27.960,28661874.0
2024-07-10T12:35:03.768,28655164.0
2024-07-10T12:36:39.576,28652202.0
2024-07-10T12:38:15.385,28770548.0
2024-07-10T12:39:51.193,28605036.0
2024-07-10T12:41:27.590,28665590.0
2024-07-10T12:43:02.810,28648644.0
2024-07-10T12:44:38.618,28555980.0
2024-07-10T12:46:14.425,28555588.0
2024-07-10T12:47:50.238,28492876.0
2024-07-10T12:49:26.749,28484692.0
2024-07-10T12:51:01.882,28373182.0
2024-07-10T12:52:37.690,28309496.0
2024-07-10T12:54:13.532,28386758.0
2024-07-10T12:55:49.339,28553024.0
2024-07-10T12:57:26.873,28619156.0
2024-07-10T12:59:15.592,28743330.0
2024-07-10T13:01:05.918,28934830.0
2024-07-10T13:02:54.596,29372602.0
2024-07-10T13:04:44.102,29170068.0
2024-07-10T13:06:33.606,28953948.0
2024-07-10T13:10:07.495,28736180.0
2024-07-10T13:11:57.000,28727696.0
2024-07-10T13:13:46.504,28639640.0
2024-07-10T13:15:36.849,28567536.0
2024-07-10T13:17:25.513,28402460.0
2024-07-10T13:19:15.171,28426368.0
2024-07-10T13:21:04.521,28328496.0
2024-07-10T13:22:54.258,28317076.0
2024-07-10T13:24:43.530,28332938.0
2024-07-10T13:26:33.344,28302360.0
2024-07-10T13:28:22.539,28369664.0
2024-07-10T13:30:12.420,28427744.0
2024-07-10T13:32:01.544,28394948.0
2024-07-10T13:33:51.497,28380964.0
2024-07-10T13:35:40.553,28304270.0
2024-07-10T13:37:30.573,28282212.0
2024-07-10T13:39:19.562,28222078.0
2024-07-10T13:41:09.660,28142092.0
2024-07-10T13:42:58.570,28202350.0
2024-07-10T13:44:48.746,28049482.0
2024-07-10T13:46:37.579,27915094.0
2024-07-10T13:48:27.842,27803710.0
2024-07-10T13:50:16.588,27936810.0
2024-07-10T13:52:06.919,27824244.0
2024-07-10T13:53:55.597,27923968.0
2024-07-10T13:55:45.101,27977550.0
2024-07-10T13:57:34.605,27959508.0
2024-07-10T13:59:24.106,27928638.0
