time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2,L
2024-11-01T01:58:20.000,2024-11-01T01:58:40.000,9.72974477068068,0.340614418585941,0.424370653341086,64.0102807097988,19.2944825556814,23.4637597482347,-14.0109147457493
2024-11-01T01:58:40.000,2024-11-01T01:59:00.000,10.5118746184902,0.411944332313331,0.749620011710567,29.6316763234492,12.6744061079269,11.2189461219895,-15.4087190003063
2024-11-01T01:59:00.000,2024-11-01T01:59:20.000,10.1809726036022,0.451816048724822,0.460821368790786,33.9207762710248,10.3004318902696,16.4058874062729,-7.61177060774453
2024-11-01T01:59:20.000,2024-11-01T01:59:40.000,9.71000373012661,0.29753119032925,0.359653266827811,49.1931254502383,13.4384250620468,14.9906630271088,-7.06935460412378
2024-11-01T01:59:40.000,2024-11-01T02:00:00.000,10.1678026657383,0.292901908171164,0.406288463438248,30.8070673190253,8.69227047214276,8.42325628103824,-16.5677564670864
2024-11-01T02:00:00.000,2024-11-01T02:00:20.000,12.1678145960084,2.60224325373237,1.86760242489159,10.113939478385,7.1586233418051,46.3965273562983,-15.702399325031
2024-11-01T02:00:20.000,2024-11-01T02:00:40.000,10.8529535962145,1.4599694459789,5.75040557507685,17.9438931729522,16.8908795837345,42.9508949206358,-7.00643281203615
2024-11-01T02:00:40.000,2024-11-01T02:01:00.000,11.4377698452405,0.487274930804965,0.701538267072522,11.5486979254489,4.2222801815019,4.69586728580533,-9.03438607301132
2024-11-01T02:01:00.000,2024-11-01T02:01:20.000,10.0368578938763,0.397883939661179,0.455343945741557,32.1628777821341,9.88041194790091,13.519768572364,-7.84823900284263
2024-11-01T02:01:20.000,2024-11-01T02:01:40.000,10.7072714832611,0.760759117614606,1.72641918094115,19.5035185069212,13.4687677978811,15.3161224757669,-7.9972595858511
2024-11-01T02:01:40.000,2024-11-01T02:02:00.000,10.3382161981397,0.402184265154016,0.310663833503567,24.649661930645,5.63910042992174,9.62418912543514,-5.49648959754752
2024-11-01T02:02:00.000,2024-11-01T02:02:20.000,10.0784689376886,0.4672063763576,0.696796472690808,30.1906702242714,13.1528613626337,14.4578068305417,-7.62374399743449
2024-11-01T02:02:20.000,2024-11-01T02:02:40.000,10.8124970875214,0.631643152176162,16.6459546134592,17.5140790239738,17.3784233522943,11.2971822511453,-8.72517889616428
2024-11-01T02:02:40.000,2024-11-01T02:03:00.000,10.5981193870037,0.614855937601931,0.814347973257343,20.1930136929978,8.85486217364864,13.2689115845597,-13.0059271046568
2024-11-01T02:03:00.000,2024-11-01T02:03:20.000,10.2565276856197,1.47344376979524,0.541421355263838,23.1657365621129,8.32892082245027,76.0339369818539,-12.2530033864709
2024-11-01T02:03:20.000,2024-11-01T02:03:40.000,9.6032277057674,0.402443204518862,0.426505528753586,41.0696924763275,12.5812998540799,18.0026165767534,-6.01240456222718
2024-11-01T02:03:40.000,2024-11-01T02:04:00.000,9.99910912183744,0.588095716916476,0.460706720576756,27.5051461707408,9.00352949302847,18.493112619371,-6.58973638161232
2024-11-01T02:04:00.000,2024-11-01T02:04:20.000,9.63895282852394,0.649221358429472,0.59674101529391,35.9334713259137,14.6045689181195,29.4891545665265,-19.2472936529535
2024-11-01T02:04:20.000,2024-11-01T02:04:40.000,10.0069306874145,0.43004731550579,19.984812677985,25.6512629446364,25.4865718983519,10.8129631825089,-6.97201796317436
2024-11-01T02:04:40.000,2024-11-01T02:05:00.000,9.71783995318642,0.494082029432898,3.37267628247441,31.9129991186216,28.8032555025837,16.5598463024461,-4.51230803443156
2024-11-01T02:05:00.000,2024-11-01T02:05:20.000,10.9830265921582,1.64111048562367,6.21339408083459,9.74466494583916,9.23167777639793,27.3234231937518,-10.8123567222893
2024-11-01T02:05:20.000,2024-11-01T02:05:40.000,9.83089193963076,0.599650609076955,0.612653335379511,21.1144833662394,8.61593379170091,15.0926101078327,-4.99963533337181
2024-11-01T02:05:40.000,2024-11-01T02:06:00.000,8.90961216838056,0.390198863551436,0.917529792916277,46.9808792277111,26.9799793654631,23.17886585356,-8.35310572143981
2024-11-01T02:06:00.000,2024-11-01T02:06:20.000,11.9276571871227,1.43216021865712,11.6946896963681,4.31405701472475,4.20326799887607,7.69303757320798,-4.50294680984466
2024-11-01T02:06:20.000,2024-11-01T02:06:40.000,9.18136539761264,0.571932010002797,0.56364510662525,30.464644666212,12.5275721557873,21.9861081123708,-9.35044723481079
