filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS_area
2024-10-08T23:01:23.380,156739291.35214967,4434.54975509218,17566,16728
2024-10-08T23:03:00.340,156437924.30490625,4391.041858534161,17566,16728
2024-10-08T23:04:37.364,156476618.14994898,4434.093158947617,17566,16728
2024-10-08T23:06:14.356,156264961.22247827,4394.185536971919,17566,16728
2024-10-08T23:07:51.349,156291282.50230584,4420.245903044955,17566,16728
2024-10-08T23:09:28.405,156355773.28768176,4408.56080333094,17566,16728
2024-10-08T23:11:05.363,155655019.25767428,4380.080762748425,17566,16728
2024-10-08T23:12:42.355,155985534.5579319,4431.37324628231,17566,16728
2024-10-08T23:14:19.379,156095225.81007978,4396.267008997442,17566,16728
2024-10-08T23:15:56.340,156697801.59059685,4382.0838073169025,17566,16728
2024-10-08T23:17:33.300,156066987.19619226,4424.748939226811,17566,16728
2024-10-08T23:19:10.291,156151285.2121356,4402.945683245148,17566,16728
2024-10-08T23:20:47.253,156444075.5618412,4403.0140466349,17566,16728
2024-10-08T23:22:24.213,156373093.8092878,4419.88517667609,17566,16728
2024-10-08T23:24:01.204,155912206.4349456,4408.165547979228,17566,16728
2024-10-08T23:25:38.165,156255524.9418389,4401.373246338338,17566,16728
2024-10-08T23:27:15.126,155867805.95513245,4424.138737850029,17566,16728
2024-10-08T23:28:52.850,155329982.74417,4406.186514695952,17566,16728
2024-10-08T23:30:29.452,154905136.3280116,4399.241737952136,17566,16728
2024-10-08T23:32:06.549,155551960.46050858,4408.28143959892,17566,16728
2024-10-08T23:33:42.966,154705695.9412363,4414.579051353296,17566,16728
2024-10-08T23:35:19.926,154916294.7112992,4385.206840269803,17566,16728
2024-10-08T23:36:56.886,155527554.13387555,4415.146653442572,17566,16728
2024-10-08T23:38:33.846,155408500.30796582,4438.581245358644,17566,16728
2024-10-08T23:40:10.807,155196788.91123217,4412.116209977474,17566,16728
2024-10-08T23:41:47.767,155848644.24042428,4453.506372775909,17566,16728
2024-10-08T23:43:24.727,155358133.35205996,4435.172686585636,17566,16728
2024-10-08T23:45:01.689,154759321.7073897,4444.577144416499,17566,16728
2024-10-08T23:46:38.684,155191880.64539516,4434.814202863968,17566,16728
2024-10-08T23:48:15.638,155056848.1249248,4422.965757147891,17566,16728
2024-10-08T23:49:52.630,155070917.66406998,4415.241712218674,17566,16728
2024-10-08T23:51:29.623,154639261.94950166,4438.649548091866,17566,16728
2024-10-08T23:53:06.583,155012638.65006512,4419.867489537919,17566,16728
2024-10-08T23:54:43.575,154921442.4753835,4417.98710459886,17566,16728
2024-10-08T23:56:20.567,154808519.21561307,4420.43622758525,17566,16728
2024-10-08T23:57:57.560,154757540.99833846,4446.242545941865,17566,16728
2024-10-08T23:59:34.520,154714960.6241417,4424.800062814724,17566,16728
2024-10-09T00:01:11.480,154817748.06498164,4408.588457855634,17566,16728
2024-10-09T00:02:48.439,154963636.01575363,4456.095891402094,17566,16728
