date_time,suit_coun
2024-06-02T02:56:38,1216190.4658203125
2024-06-02T02:59:28,487038.3681640625
2024-06-02T03:02:17,290702.390625
2024-06-02T03:06:32,3379635.4921875
2024-06-02T03:16:28,4544206.184082031
2024-06-02T03:19:19,2131460.4228515625
2024-06-02T03:30:40,4640012.13671875
2024-06-02T03:37:46,2771851.34765625
2024-06-02T03:42:02,2217440.7060546875
2024-06-02T03:52:00,4537023.271484375
2024-06-02T04:01:59,6788071.096191406
2024-06-02T04:10:31,3998311.4716796875
2024-06-02T04:19:05,3461323.3134765625
2024-06-02T04:30:09,6283986.9052734375
2024-06-02T04:35:52,7212124.312011719
