# Date,area,Total,qs thresh
2024-06-02T07:42:22.589,47940,583213944.7059258,10500
2024-06-02T07:42:48.925,48261,587426003.3832225,10500
2024-06-02T07:43:49.916,48221,586248726.7855343,10500
2024-06-02T07:44:16.252,48777,593583534.5705954,10500
2024-06-02T07:45:17.213,48921,594860144.6886597,10500
2024-06-02T07:45:43.549,48103,584467416.9923522,10500
2024-06-02T07:46:44.510,48271,585822768.4845352,10500
2024-06-02T07:47:10.846,48425,588423092.0707974,10500
2024-06-02T07:48:11.805,48111,584467894.3975244,10500
2024-06-02T07:48:38.141,48460,588929788.8027389,10500
2024-06-02T07:49:39.101,48802,591204060.3752662,10500
2024-06-02T07:50:05.438,49284,597218893.5829941,10500
2024-06-02T07:51:06.398,49160,595829314.341087,10500
2024-06-02T07:51:32.734,48919,593953972.21489,10500
2024-06-02T07:52:33.694,49313,598157890.648194,10500
2024-06-02T07:53:00.293,49155,597251042.7933121,10500
2024-06-02T07:54:00.990,50204,610677774.7273498,10500
2024-06-02T07:54:27.326,49896,608326656.2910037,10500
2024-06-02T07:55:28.287,51013,621322398.401689,10500
2024-06-02T07:55:54.623,50680,617228221.4405822,10500
2024-06-02T07:56:55.587,50510,613612545.9933151,10500
2024-06-02T07:57:21.919,50798,617821582.7223834,10500
2024-06-02T07:58:22.910,50835,618824480.4770927,10500
2024-06-02T07:58:49.246,51075,622131656.9373974,10500
2024-06-02T07:59:50.207,50733,617797656.3462961,10500
2024-06-02T08:00:16.543,51235,624038085.8242192,10500
2024-06-02T08:01:17.663,49781,605878693.9831159,10500
2024-06-02T08:01:44.628,50249,612341064.973944,10500
2024-06-02T08:02:45.214,50681,617362785.4873767,10500
2024-06-02T08:03:11.612,51811,631569305.3924874,10500
2024-06-02T08:04:12.767,51457,628654693.0855905,10500
2024-06-02T08:04:39.167,51901,634691418.3495024,10500
2024-06-02T08:05:40.319,50845,620483412.4595492,10500
2024-06-02T08:06:06.717,51118,623872959.9549818,10500
2024-06-02T08:07:07.872,51479,627748527.4752235,10500
2024-06-02T08:07:34.269,51877,633853490.1896933,10500
2024-06-02T08:08:35.424,51888,634029049.6571059,10500
2024-06-02T08:09:01.822,51870,634633879.675624,10500
2024-06-02T08:10:03.790,50338,615417998.5359523,10500
2024-06-02T08:10:29.406,51180,625043668.0663339,10500
2024-06-02T08:11:30.562,51014,622034009.1641767,10500
2024-06-02T08:11:56.958,51463,628057723.3393023,10500
2024-06-02T08:12:58.111,51274,624541403.5789297,10500
2024-06-02T08:13:24.510,51226,624816230.1794534,10500
2024-06-02T08:14:25.664,50715,618662843.8271209,10500
2024-06-02T08:14:52.627,50798,619600960.6245184,10500
2024-06-02T08:15:53.217,50897,619114758.1003302,10500
2024-06-02T08:16:19.615,51952,632025251.929849,10500
2024-06-02T08:17:20.768,51641,626862417.8815565,10500
2024-06-02T08:17:47.166,51171,622163938.4528697,10500
2024-06-02T08:18:48.321,51222,622641991.9439392,10500
2024-06-02T08:19:14.719,50508,615032692.3582698,10500
2024-06-02T08:20:15.873,50930,619516045.1425221,10500
2024-06-02T08:20:42.271,51686,628977777.7980379,10500
2024-06-02T08:21:43.426,51299,624720136.0004052,10500
2024-06-02T08:22:09.823,51363,625674460.4617972,10500
2024-06-02T08:23:10.976,51894,632417606.2139151,10500
2024-06-02T08:23:37.344,52459,640302000.151609,10500
2024-06-02T08:24:38.496,54265,664261880.9436588,10500
2024-06-02T08:25:04.864,54703,671133156.7504243,10500
2024-06-02T08:26:06.162,54858,679691195.0298746,10500
2024-06-02T08:26:32.416,54761,674969469.3322529,10500
2024-06-02T08:27:33.571,54354,664961675.6551092,10500
2024-06-02T08:27:59.969,54252,664104859.5789491,10500
2024-06-02T08:29:01.121,54020,662179284.4418669,10500
2024-06-02T08:29:27.489,54287,666443501.8418905,10500
2024-06-02T08:30:28.640,53424,658376125.1604501,10500
2024-06-02T08:30:55.720,53794,663779546.7295183,10500
2024-06-02T08:31:56.448,53492,658914807.9659318,10500
2024-06-02T08:32:22.880,53530,659190305.4825624,10500
2024-06-02T08:33:24.256,52558,643686281.2457741,10500
2024-06-02T08:33:50.688,52394,641942658.2169892,10500
2024-06-02T08:34:52.645,51588,631241207.7321227,10500
2024-06-02T08:35:18.529,51581,631370218.9343455,10500
2024-06-02T08:36:19.904,50472,617848971.7361903,10500
2024-06-02T08:36:46.337,51030,624669248.1882896,10500
2024-06-02T08:37:47.713,50566,619749072.2934268,10500
2024-06-02T08:38:14.145,51323,628917362.6965998,10500
2024-06-02T08:39:15.521,50211,613859423.037646,10500
2024-06-02T08:39:41.953,50239,614114982.8411431,10500
2024-06-02T08:40:43.329,49471,603633649.0660131,10500
2024-06-02T08:41:09.760,49801,607360835.4892117,10500
2024-06-02T08:42:11.138,50341,615043563.1404842,10500
2024-06-02T08:42:37.574,50538,620074211.4984803,10500
2024-06-02T08:43:38.946,49914,611489978.0252924,10500
2024-06-02T08:44:05.378,50542,619904563.4942962,10500
2024-06-02T08:45:06.754,50575,622226423.6387488,10500
2024-06-02T08:45:33.186,50725,623537432.2441744,10500
2024-06-02T08:46:34.562,51580,638355608.9246291,10500
2024-06-02T08:47:00.994,52166,654332354.7228397,10500
2024-06-02T08:48:01.556,52840,684979361.5639051,10500
2024-06-02T08:48:16.922,52679,686745879.5949155,10500
2024-06-02T08:48:32.289,52998,688038528.4023088,10500
2024-06-02T08:48:49.647,53106,687802111.1844803,10500
2024-06-02T08:49:05.847,52696,682133329.8827344,10500
2024-06-02T08:49:22.623,52049,672910395.4004306,10500
2024-06-02T08:49:39.399,52465,676232237.0202895,10500
2024-06-02T08:49:56.175,52435,673908560.793618,10500
2024-06-02T08:50:12.951,52852,676564999.833698,10500
2024-06-02T08:50:29.727,52842,674970406.2297592,10500
2024-06-02T08:50:46.502,52787,674648911.9919595,10500
2024-06-02T08:51:03.276,52952,676536571.3946297,10500
2024-06-02T08:51:20.509,53002,676579924.0862414,10500
2024-06-02T08:51:36.831,53061,676796678.6388509,10500
2024-06-02T08:51:53.607,52581,671486609.7577966,10500
2024-06-02T08:52:10.381,52169,666626622.4516041,10500
2024-06-02T08:52:27.157,52336,668170526.4792643,10500
2024-06-02T08:52:43.933,52430,670911330.8478715,10500
2024-06-02T08:53:00.709,52388,671586655.7431952,10500
2024-06-02T08:53:17.485,52380,671408545.9695543,10500
2024-06-02T08:53:34.261,51946,664233775.2936158,10500
2024-06-02T08:53:51.373,51794,662958099.435842,10500
2024-06-02T08:54:07.813,52480,670790692.9653003,10500
2024-06-02T08:54:24.593,52566,671910332.5480664,10500
2024-06-02T08:54:41.369,52467,669993363.978908,10500
2024-06-02T08:54:58.146,52128,665450356.3157853,10500
2024-06-02T08:55:14.922,51929,663499173.7441698,10500
2024-06-02T08:55:31.698,51891,662136768.9830225,10500
2024-06-02T08:55:48.473,51610,656898077.6209097,10500
2024-06-02T08:56:05.248,51278,650560514.2385774,10500
2024-06-02T08:56:22.217,51230,649440870.3671168,10500
2024-06-02T08:56:38.796,50990,645835943.5465268,10500
2024-06-02T08:56:55.570,50943,644749916.8468456,10500
2024-06-02T08:57:12.346,50907,643988436.5742661,10500
2024-06-02T08:57:29.122,51059,645755607.9332871,10500
2024-06-02T08:57:45.898,50815,641620091.2947736,10500
2024-06-02T08:58:02.674,51126,644835625.7767005,10500
2024-06-02T08:58:19.450,51694,651565319.7192774,10500
2024-06-02T08:58:36.226,51667,650921408.1543022,10500
2024-06-02T08:58:53.211,51314,644813288.9735402,10500
2024-06-02T08:58:59.518,51320,644623223.5255514,10500
2024-06-02T08:59:15.714,51466,645423918.0118994,10500
2024-06-02T09:00:17.923,51062,635822653.593578,10500
2024-06-02T09:00:43.553,50406,627790662.4104925,10500
2024-06-02T09:01:45.124,49445,614164683.8638374,10500
2024-06-02T09:02:11.617,49201,611330842.4134177,10500
2024-06-02T09:03:13.188,49185,612665842.5525564,10500
2024-06-02T09:03:39.682,49372,612757177.0662382,10500
2024-06-02T09:04:41.252,49429,608804962.8287294,10500
2024-06-02T09:05:07.747,49012,603397472.8156528,10500
2024-06-02T09:06:09.316,48622,597639450.7053791,10500
2024-06-02T09:06:35.810,48563,596849558.4745597,10500
2024-06-02T09:07:37.380,47744,585858147.5356865,10500
2024-06-02T09:08:03.874,48490,594753761.1623087,10500
2024-06-02T09:09:05.445,47775,583849923.1802839,10500
2024-06-02T09:09:31.939,48551,594188856.9463166,10500
2024-06-02T09:10:33.509,47859,585133652.7407105,10500
2024-06-02T09:11:00.290,47811,584709653.2016233,10500
2024-06-02T09:12:01.541,48097,588795994.7822547,10500
2024-06-02T09:12:28.351,48417,593451430.1035435,10500
2024-06-02T09:13:29.605,48994,601299705.3296427,10500
2024-06-02T09:13:56.993,49170,604295583.6475853,10500
2024-06-02T09:14:57.637,48236,592875250.1004171,10500
2024-06-02T09:15:24.131,49350,608735466.5010906,10500
2024-06-02T09:16:25.668,48612,599401464.771114,10500
2024-06-02T09:16:52.164,48671,600430509.1564417,10500
2024-06-02T09:17:53.700,48737,601917990.2331804,10500
2024-06-02T09:18:20.196,48548,598105959.8723419,10500
2024-06-02T09:19:21.765,49678,613100450.3238475,10500
2024-06-02T09:19:48.260,48882,602936931.6781561,10500
