# Date,area,Total,qs thresh
2024-06-02T06:30:20.313,51437,623823910.702843,10500
2024-06-02T06:30:46.487,51229,622666494.0294443,10500
2024-06-02T06:31:47.638,49554,602143345.7414467,10500
2024-06-02T06:32:13.270,50023,608839945.5933684,10500
2024-06-02T06:33:13.846,50274,612862570.9313232,10500
2024-06-02T06:33:40.541,50631,616817426.8819582,10500
2024-06-02T06:34:40.632,49904,608131380.5178044,10500
2024-06-02T06:35:06.839,50458,615372224.8762499,10500
2024-06-02T06:36:07.415,49991,607363136.4016159,10500
2024-06-02T06:36:33.622,50136,609323838.0935326,10500
2024-06-02T06:37:34.199,49960,607403332.4816564,10500
2024-06-02T06:38:00.407,50435,614388322.7610898,10500
2024-06-02T06:39:00.983,50538,616415994.1947062,10500
2024-06-02T06:39:27.191,51339,627252313.6207966,10500
2024-06-02T06:40:27.768,51448,628635963.642998,10500
2024-06-02T06:40:53.976,51731,632717887.6288922,10500
2024-06-02T06:41:54.555,51669,632565899.5611632,10500
2024-06-02T06:42:20.759,51893,635973217.567672,10500
2024-06-02T06:43:21.336,52105,640606253.3989478,10500
2024-06-02T06:43:47.548,52294,642519721.4642909,10500
2024-06-02T06:44:48.121,51355,627242362.7179853,10500
2024-06-02T06:45:14.329,51646,630094033.5645049,10500
2024-06-02T06:46:14.904,50572,615660826.2907223,10500
2024-06-02T06:46:41.112,50743,617856462.798839,10500
2024-06-02T06:48:07.896,50046,609407554.0884947,10500
2024-06-02T06:49:08.473,49624,601660560.8248029,10500
2024-06-02T06:49:34.681,49401,599028774.5579613,10500
2024-06-02T06:50:35.258,49206,595965172.7147232,10500
2024-06-02T06:51:01.465,48289,585083109.9536477,10500
2024-06-02T06:52:02.407,48033,582297221.3729175,10500
2024-06-02T06:52:28.249,47886,580473576.6406426,10500
2024-06-02T06:53:28.825,47824,578689816.3836848,10500
2024-06-02T06:53:55.339,47628,575854569.6170496,10500
2024-06-02T06:54:55.610,48055,581123982.2291487,10500
2024-06-02T06:55:21.818,47700,576742202.6693075,10500
2024-06-02T06:56:22.393,47199,569544297.8345854,10500
2024-06-02T06:56:48.601,47245,570481745.478625,10500
2024-06-02T06:57:49.177,47130,569962173.155714,10500
2024-06-02T06:58:15.386,47393,573809635.9221052,10500
2024-06-02T06:59:15.963,47206,572267210.4064567,10500
2024-06-02T06:59:42.171,47265,573132907.1146348,10500
2024-06-02T07:00:42.777,45885,554681955.026468,10500
2024-06-02T07:01:09.490,46306,560052339.2175956,10500
2024-06-02T07:02:09.849,47464,575031520.8409194,10500
2024-06-02T07:02:36.121,48061,583646463.1580576,10500
2024-06-02T07:03:36.922,46808,567594591.3552713,10500
2024-06-02T07:04:03.194,47310,574123257.950674,10500
2024-06-02T07:05:03.994,46481,562805964.6995511,10500
2024-06-02T07:05:30.266,47159,571426596.501685,10500
2024-06-02T07:06:31.657,47150,571365620.5772392,10500
2024-06-02T07:06:57.338,47180,571320597.4194232,10500
2024-06-02T07:07:58.139,46751,565684161.7438463,10500
2024-06-02T07:08:24.411,46569,563000033.8755662,10500
2024-06-02T07:09:25.211,46570,563233339.1847258,10500
2024-06-02T07:09:51.482,47074,569647803.1905764,10500
2024-06-02T07:10:52.282,48168,583299460.5795134,10500
2024-06-02T07:11:18.557,47946,581392256.6576562,10500
2024-06-02T07:12:19.324,48491,586711066.6927377,10500
2024-06-02T07:12:45.594,49093,594970430.3674308,10500
2024-06-02T07:13:46.364,47982,581125394.3412849,10500
2024-06-02T07:19:34.586,49506,600520482.4602929,10500
2024-06-02T07:20:35.324,48963,593367052.0613259,10500
2024-06-02T07:21:01.594,49207,596515719.383283,10500
2024-06-02T07:22:02.333,48305,584936020.868445,10500
2024-06-02T07:22:28.603,48130,582691920.5209148,10500
2024-06-02T07:23:29.341,48832,591489623.3562733,10500
2024-06-02T07:23:55.611,49160,596130626.7622621,10500
2024-06-02T07:24:56.348,49145,595844786.9615262,10500
2024-06-02T07:25:22.619,49398,599549520.5588938,10500
2024-06-02T07:26:23.357,49376,598963271.2709776,10500
2024-06-02T07:26:49.628,49327,599147907.6895485,10500
2024-06-02T07:27:50.366,48730,591699087.6329693,10500
2024-06-02T07:28:16.636,49333,599804226.9254885,10500
2024-06-02T07:29:17.373,49431,601617892.9314636,10500
2024-06-02T07:29:43.643,49677,604844774.7025439,10500
2024-06-02T07:30:44.411,48598,589318991.5892835,10500
2024-06-02T07:31:10.747,48646,590240822.0386575,10500
2024-06-02T07:32:11.675,47738,579550897.9477293,10500
2024-06-02T07:32:38.115,47873,582645798.2539707,10500
2024-06-02T07:33:38.940,49019,597312742.8975616,10500
2024-06-02T07:34:05.275,47693,580772137.3393974,10500
2024-06-02T07:35:06.203,48796,594062603.861207,10500
2024-06-02T07:35:32.540,48284,587970114.7482755,10500
2024-06-02T07:36:33.468,48212,586138173.5374912,10500
2024-06-02T07:36:59.804,48680,592324434.1527649,10500
2024-06-02T07:38:00.764,48690,591934985.7455864,10500
2024-06-02T07:38:27.100,49225,599629728.165733,10500
2024-06-02T07:39:28.275,49051,598205656.4877975,10500
2024-06-02T07:39:54.364,49458,603867813.5377195,10500
2024-06-02T07:40:55.293,49159,599782815.1467967,10500
2024-06-02T07:41:21.629,49151,599860824.0163889,10500
