image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col,peak_intensity,peak thresh
0,2024-11-01 12:31:43.279105,861.0,579558.5849609375,673.1226306166521,270.59581881533103,329.1416957026713,270.70545232994715,328.63797947107815,1713.044921875,630.194008560952
0,2024-11-01 12:31:43.279105,683.0,407634.06982421875,596.8287991569821,286.3191800878477,234.5754026354319,286.18757886974197,234.30991904114657,1177.07421875,433.0214058110621
0,2024-11-01 12:31:43.279105,21.0,12981.0087890625,618.1432756696429,353.1904761904762,322.6666666666667,353.32380912831417,322.87892905147714,1265.5869140625,465.5834066992027
20,2024-11-01 12:59:49.419800,767.0,1043378.673828125,1360.337254013201,323.251629726206,205.10039113428945,322.82751441750287,205.08375355471944,2265.4345703125,833.4068037370291
21,2024-11-01 13:01:13.490380,910.0,1400997.0324707031,1539.5571785392342,320.0978021978022,207.1032967032967,319.94004358707053,206.69489687724302,2742.384765625,1008.8669750552019
22,2024-11-01 13:02:38.345300,1321.0,2219341.0234375,1680.0461948807722,316.71763815291445,214.47539742619227,316.63278443411014,214.4901146433525,3544.1005859375,1303.8017430100688
23,2024-11-01 13:04:02.577805,1166.0,1696668.8452148438,1455.119078228854,316.7178387650086,213.1663807890223,316.8678176242921,213.17512830111775,2965.9228515625,1091.1020411904233
24,2024-11-01 13:05:27.123080,973.0,1482908.0908203125,1524.0576472973407,316.50051387461457,211.53854059609455,316.5132305037751,211.5095504891006,2800.28125,1030.1659013728681
25,2024-11-01 13:12:15.603310,2504.0,6254709.396240234,2497.8871390735762,321.2288338658147,219.0802715654952,320.61150908016583,217.5307099697186,6856.5390625,2522.3797586826654
26,2024-11-01 13:13:40.179460,2540.0,8022419.330078125,3158.4328071173722,323.18425196850393,213.76771653543307,321.66094281030183,213.1450856083101,9886.8916015625,3637.184157305439
27,2024-11-01 13:15:04.756735,1715.0,3779741.1811523438,2203.930717873087,320.7148688046647,212.70204081632653,320.1705899369591,212.04119276693731,5195.1728515625,1911.1972854218611
28,2024-11-01 13:16:29.333010,1253.0,2015036.5063476562,1608.1695980428221,324.0111731843575,211.94573024740623,323.34624372772754,211.47795702314264,3130.751953125,1151.7392789620267
56,2024-11-01 13:56:03.958730,32.0,255807.2041015625,7993.975128173828,180.78125,57.75,180.843108619816,57.12963628839479,22756.70166015625,8371.722689643515
69,2024-11-01 14:14:29.112700,695.0,1070963.2504882812,1540.9543172493256,319.8820143884892,208.9496402877698,319.79869843569475,208.78510039172411,2654.685546875,976.6042354702798
75,2024-11-01 14:22:59.640985,1332.0,2360660.373779297,1772.267547882355,315.12537537537537,209.70045045045046,315.2176701803835,209.33781651126762,3006.978515625,1106.2055759426582
76,2024-11-01 14:24:24.730260,1410.0,3174597.939453125,2251.487900321365,267.8510638297872,258.03758865248227,267.0419030337715,256.2125941654293,5015.84716796875,1845.2270531537054
76,2024-11-01 14:24:24.730260,2277.0,6842158.715087891,3004.9006214703077,318.764163372859,209.22705314009661,319.9512630915225,208.20807412496302,6722.7685546875,2473.1683390233825
77,2024-11-01 14:25:15.194475,4569.0,14622342.219482422,3200.3375398298144,306.0442109870869,223.05209017290434,306.26201808709567,221.60309016509362,8150.7197265625,2998.482218152864
77,2024-11-01 14:25:15.194475,1563.0,2880114.3349609375,1842.683515649992,299.7012156110045,407.2936660268714,299.81896738810804,409.4687179846758,3968.1748046875,1459.8099296190348
78,2024-11-01 14:25:33.242505,4760.0,16592509.884765625,3485.821404362526,306.622268907563,222.20504201680671,307.5385232324656,220.10032900514045,9734.1015625,3580.9758431185637
78,2024-11-01 14:25:33.242505,2564.0,4645766.9326171875,1811.9215805839265,290.86388455538224,388.5889235569423,290.1498289068841,388.88949325903894,3599.455078125,1324.1655226623354
79,2024-11-01 14:25:51.294535,4985.0,17927871.467285156,3596.3633836078548,306.78435305917753,220.8643931795386,307.50306660090985,219.40576565074375,9729.3515625,3579.2284157729996
79,2024-11-01 14:25:51.294535,3075.0,5933254.597167969,1929.513690135925,288.95447154471543,384.669593495935,287.5914818629386,383.89943376754474,4277.9453125,1573.7681309244913
80,2024-11-01 14:26:10.746700,5556.0,22895099.561035156,4120.788257925694,306.28347732181425,221.43610511159108,306.88151820304944,220.10881022811097,11566.388671875,4255.036600981076
80,2024-11-01 14:26:10.746700,3676.0,7350315.6923828125,1999.541809679764,290.26768226332973,381.8909140369967,289.25950573585516,382.17671721198764,4445.375,1635.3620707975006
81,2024-11-01 14:26:30.202730,5850.0,24278289.771972656,4150.13500375601,307.1094017094017,220.48410256410256,307.4967458656925,219.33807947029197,11982.9306640625,4408.273836291453
81,2024-11-01 14:26:30.202730,3882.0,8409960.493652344,2166.3988906883937,290.0352910870685,380.21148892323544,289.0400908494997,379.24284142256806,4527.080078125,1665.4196892789946
82,2024-11-01 14:26:49.657645,5907.0,25094127.339111328,4248.201682598837,307.13069239884885,219.9874724902658,307.706916106465,218.39699641682444,12312.482421875,4529.509152792582
82,2024-11-01 14:26:49.657645,3818.0,8559879.124511719,2241.9798649847353,289.6272917757988,380.5285489785228,288.7728657479964,379.91081030831447,4973.623046875,1829.6936670817813
83,2024-11-01 14:27:09.113800,5993.0,25866405.133789062,4316.102975769909,307.75104288336394,218.57867512097448,307.7474842137004,217.73747873854873,11956.19921875,4398.439887128186
83,2024-11-01 14:27:09.113800,3914.0,9063231.111328125,2315.5930279325817,288.96806336228923,380.12544711292793,288.1646988989064,379.74549610580567,5271.6123046875,1939.3177887209367
84,2024-11-01 14:27:28.569840,6163.0,27567703.786132812,4473.098131775566,307.87603439883173,218.41668018822003,308.3709149182595,216.89611644873656,12848.732421875,4726.784503120768
84,2024-11-01 14:27:28.569840,4088.0,9953854.463378906,2434.8959059146055,288.48140900195693,379.8304794520548,287.8523408007325,379.55306439125934,5988.765625,2203.1437514317436
85,2024-11-01 14:27:48.268700,6252.0,28491467.666015625,4557.176530072877,307.9528150991683,217.7002559181062,309.6797597649256,215.61921631173004,13054.626953125,4802.528868217274
85,2024-11-01 14:27:48.268700,4367.0,11528328.866210938,2639.8737957890858,288.2399816807877,380.73047858942067,287.4882974663704,379.90938085262457,6333.20703125,2329.856663479299
86,2024-11-01 14:28:07.483035,6223.0,26203296.99267578,4210.717819809703,308.54362847501204,217.45910332636993,310.89900002159425,214.95115160157476,11060.79296875,4069.0383362567686
86,2024-11-01 14:28:07.483035,4265.0,11036333.081542969,2587.651367301986,287.9294255568581,380.3024618991794,287.44596560953715,380.37384393449855,6592.4296875,2425.2193493995264
87,2024-11-01 14:28:26.938940,6180.0,25147185.997558594,4069.123947825015,308.9467637540453,216.9598705501618,311.1765350055687,214.08307601441095,10958.984375,4031.5850476815685
87,2024-11-01 14:28:26.938940,3792.0,9543614.743652344,2516.7760399927065,287.4375,379.0435126582278,287.08343985952126,378.1378271312625,5741.7041015625,2112.254896254591
88,2024-11-01 14:28:46.392980,6510.0,28021002.311767578,4304.301430379044,308.9384024577573,217.51029185867895,310.6385547721927,215.41313681117515,10887.5693359375,4005.3129230200193
88,2024-11-01 14:28:46.392980,1776.0,4827208.44140625,2718.0227710620775,281.07207207207205,347.8063063063063,281.4418114793315,347.64742892117687,4828.904296875,1776.4546142047518
88,2024-11-01 14:28:46.392980,16.0,48235.43798828125,3014.714874267578,261.125,159.0,261.1424321744934,158.9791522957711,4445.16455078125,1635.2846508565117
88,2024-11-01 14:28:46.392980,1705.0,3862790.6059570312,2265.56633780471,294.52785923753663,405.47565982404694,294.9655363644584,407.2450136088511,4642.865234375,1708.0146678561928
