date_time,suit_coun,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-01 00:23:37,752626.09765625,-3.5630217028380637,65.92574348835522,3452.33251953125,,752626.09765625,44.0
2024-11-01 00:26:43,1911221.05078125,,,,,,
2024-11-01 00:36:54,15091736.2578125,-1.179140430901897,175.08164469381205,832101.2275390625,,15091736.2578125,779.0
2024-11-01 00:45:50,881454.8984375,,,,,,
2024-11-01 00:48:49,3543195.1953125,,,,,,
2024-11-01 00:53:18,1741988.70703125,,,,,,
2024-11-01 00:57:46,8593796.73046875,,,,,,
2024-11-01 01:03:43,13183786.641601562,0.7758534565483154,194.4021409691991,719518.6665039062,,13183786.641601562,553.0
2024-11-01 01:12:39,1076811.6015625,,,,,,
2024-11-01 01:15:38,1004688.427734375,,,,,,
2024-11-01 01:21:35,7192860.42578125,,,,,,
2024-11-01 01:24:33,8577105.15625,,,,,,
2024-11-01 01:29:01,17907250.47265625,,,,,,
2024-11-01 01:33:28,6009372.615234375,,,,,,
2024-11-01 01:36:26,7733355.2265625,,,,,,
2024-11-01 01:40:53,21690141.501953125,-8.39863354935391,224.49230938383252,968390.1958007812,,21690141.501953125,940.0
2024-11-01 01:45:21,30175368.002929688,0.8965467380016563,274.2249632744308,1937146.1665039065,3705.467630092863,30175368.002929688,1179.0
2024-11-01 01:51:17,15306563.5078125,,,,,,
2024-11-01 01:55:44,35089138.89794922,1.623772560566824,308.00640911245546,2706739.912597656,,35089138.89794922,1492.0
2024-11-01 02:00:12,11924030.740234377,,,,,,
