TIME,COUNTS
2024-11-13 00:00:06.244,1
2024-11-13 00:00:36.244,0
2024-11-13 00:01:06.244,0
2024-11-13 00:01:36.244,0
2024-11-13 00:02:06.244,2
2024-11-13 00:02:36.244,0
2024-11-13 00:03:06.244,0
2024-11-13 00:03:36.244,0
2024-11-13 00:04:06.244,3
2024-11-13 00:04:36.244,0
2024-11-13 00:05:06.244,2
2024-11-13 00:05:36.244,0
2024-11-13 00:06:06.244,0
2024-11-13 00:06:36.244,0
2024-11-13 00:07:06.244,0
2024-11-13 00:07:36.244,0
2024-11-13 00:08:06.244,1
2024-11-13 00:08:36.244,0
2024-11-13 00:09:06.244,1
2024-11-13 00:09:36.244,2
2024-11-13 00:10:06.244,1
2024-11-13 00:10:36.244,2
2024-11-13 00:11:06.244,0
2024-11-13 00:11:36.244,0
2024-11-13 00:12:06.244,1
2024-11-13 00:12:36.244,0
2024-11-13 00:13:06.244,3
2024-11-13 00:13:36.244,1
2024-11-13 00:14:06.244,0
2024-11-13 00:14:36.244,1
2024-11-13 00:15:06.244,2
2024-11-13 00:15:36.244,1
2024-11-13 00:16:06.244,1
2024-11-13 00:16:36.244,3
2024-11-13 00:17:06.244,1
2024-11-13 00:17:36.244,7
2024-11-13 00:18:06.244,26
2024-11-13 00:18:36.244,53
2024-11-13 00:19:06.244,30
2024-11-13 00:19:36.244,14
2024-11-13 00:20:06.244,1
2024-11-13 00:20:36.244,12
2024-11-13 00:21:06.244,8
2024-11-13 00:21:36.244,3
2024-11-13 00:22:06.244,1
2024-11-13 00:22:36.244,1
2024-11-13 00:23:06.244,1
2024-11-13 00:23:36.244,0
2024-11-13 00:24:06.244,1
2024-11-13 00:24:36.244,1
2024-11-13 00:25:06.244,0
2024-11-13 00:25:36.244,1
2024-11-13 00:26:06.244,0
2024-11-13 00:26:36.244,0
2024-11-13 00:27:06.244,1
2024-11-13 00:27:36.244,0
2024-11-13 00:28:06.244,0
2024-11-13 00:28:36.244,0
2024-11-13 00:29:06.244,1
2024-11-13 00:29:36.244,0
2024-11-13 00:30:06.244,2
2024-11-13 00:30:36.244,2
2024-11-13 00:31:06.244,0
2024-11-13 00:31:36.244,1
2024-11-13 00:32:06.244,1
2024-11-13 00:32:36.244,2
2024-11-13 00:33:06.244,0
2024-11-13 00:33:36.244,0
2024-11-13 00:34:06.244,2
2024-11-13 00:34:36.244,1
2024-11-13 00:35:06.244,1
2024-11-13 00:35:36.244,1
2024-11-13 00:36:06.244,0
