date_time,suit_coun,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-01 12:37:20,804064.884765625,,,,,,
2024-11-01 12:40:09,770373.99609375,,,,,,
2024-11-01 12:48:34,10059641.995117188,,,,,,
2024-11-01 12:51:23,19286406.525390625,,,,,,
2024-11-01 13:02:38,34447081.19921875,6.398328993055555,222.9747249785468,1757084.9946289062,3993.3289590020863,34447081.19921875,1656.0
2024-11-01 13:13:40,61349114.353515625,36.545558915770606,420.4239386178676,5160873.9755859375,5161.4141420545575,61349114.353515625,2590.0
2024-11-01 13:19:18,24317728.071289062,,,,,,
2024-11-01 13:24:56,1420219.6875,,,,,,
2024-11-01 13:29:10,373218.90234375,,,,,,
2024-11-01 13:37:38,660288.763671875,,,,,,
2024-11-01 13:41:53,374520.90625,,,,,,
2024-11-01 13:47:35,5690614.962890625,,,,,,
2024-11-01 13:51:49,2073802.28125,,,,,,
2024-11-01 13:56:03,3583816.244140625,27.084782426075268,244.93441309842584,189608.21435546875,,3583816.244140625,160.0
2024-11-01 14:00:18,641225.80078125,,,,,,
2024-11-01 14:07:23,23214833.868164062,,,,,,
2024-11-01 14:14:29,26691779.557617188,36.876722110215056,245.12308687577467,1054549.0913085938,,26691779.557617188,1348.0
