date_time,suit_coun,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-13 15:11:26,39625496.94140625,3.436414,122.030823,990270.076172,4361.927638,39625496.941406,2083.0
2024-11-13 15:16:17,836276.923828125,2.574191,146.717006,114638.087891,586.094407,836276.923828,45.0
2024-11-13 15:19:31,2847649.474609375,,,,,,
2024-11-13 15:27:36,10692554.1015625,,,,,,
2024-11-13 15:34:04,14456147.690429688,,,,,,
2024-11-13 15:52:23,15194289.094726562,,,,,,
2024-11-13 15:55:37,17897880.392578125,,,,,,
2024-11-13 16:08:33,32318782.571289062,16.681491,217.27636,1414718.984375,3893.808627,32318782.571289,1769.0
2024-11-13 16:26:20,42049943.88867188,3.475844,256.887329,3070302.013672,4369.010962,42049943.888672,2514.0
2024-11-13 16:31:11,30520374.720703125,-1.399667,260.056658,1909408.665039,3723.468342,30520374.720703,1612.0
2024-11-13 16:39:16,37961226.47949219,-5.569991,265.622503,2610883.075684,4141.761816,37961226.479492,1959.0
2024-11-13 16:48:57,46799535.8125,-18.959288,267.189223,2019157.928223,4640.131162,46799535.8125,2628.0
