75.232,771477593.6298186,27775.4854683046
162.752,772549440.2806026,27794.7736094396
250.303,772219509.7240671,27788.837849035717
337.857,774625760.5523195,27832.099453688363
425.377,775131470.7504046,27841.182984923613
513.119,773863604.3946768,27818.404051994068
600.928,773889855.9210497,27818.875875922808
688.737,773302040.7115746,27808.308830275888
776.581,771765843.8239522,27780.673911912218
864.385,772053937.1482043,27785.858579500473
952.193,771975379.3378366,27784.444910776965
1040.125,773484801.943647,27811.59472234557
1127.81,770861124.5047438,27764.385892722352
