filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS_area
2024-06-01T07:10:59.337,33458759.930546172,2190.6459936803562,11658,4056
2024-06-01T07:12:24.391,33394093.46710599,2172.751277859821,11658,4056
2024-06-01T07:13:49.447,33336323.950301386,2184.661365714933,11658,4056
2024-06-01T07:15:14.503,33308945.849673275,2186.4375027833676,11658,4056
2024-06-01T07:16:39.559,33371757.765454788,2180.833686016896,11658,4056
2024-06-01T07:18:04.615,33278181.692127727,2194.710220309396,11658,4056
2024-06-01T07:19:29.672,33236212.7143438,2184.8190572176086,11658,4056
2024-06-01T07:20:54.728,33275454.868340224,2183.2204296693944,11658,4056
2024-06-01T07:22:19.784,33162498.232281215,2200.9847034754544,11658,4056
2024-06-01T07:23:44.840,33162479.30196996,2187.7693295189156,11658,4056
2024-06-01T07:25:09.896,33160065.89479183,2186.756173555205,11658,4056
2024-06-01T07:26:34.953,33201093.501732945,2214.753926869317,11658,4056
2024-06-01T07:28:00.884,33088284.41036408,2187.6218557845705,11658,4056
2024-06-01T07:29:25.651,33033323.10252217,2181.097259059759,11658,4056
2024-06-01T07:30:50.253,33053160.548772655,2208.215010771847,11658,4056
2024-06-01T07:32:14.795,33030325.82749682,2203.291134219593,11658,4056
2024-06-01T07:33:39.563,33172620.33311677,2188.109117589423,11658,4056
2024-06-01T07:35:04.330,33163831.94214922,2193.2045319435597,11658,4056
2024-06-01T07:36:29.991,33107897.09759491,2208.6043411545684,11658,4056
2024-06-01T07:37:53.867,33108083.28030858,2192.036375470997,11658,4056
2024-06-01T07:39:18.635,33049345.410483494,2179.0039583341413,11658,4056
2024-06-01T07:40:43.404,32970876.03206884,2195.4036907775712,11658,4056
2024-06-01T07:42:08.176,33083936.71698944,2193.731383148601,11658,4056
2024-06-01T07:43:32.972,33033099.206930727,2182.400920522094,11658,4056
2024-06-01T07:44:57.739,33118072.435059853,2185.854043912508,11658,4056
2024-06-01T07:46:22.509,33067562.74402085,2199.769112378407,11658,4056
2024-06-01T07:47:47.277,33076065.496932305,2207.373003525584,11658,4056
2024-06-01T07:49:12.440,33040909.849616397,2202.8218578294604,11658,4056
2024-06-01T07:50:36.813,32954618.092120513,2186.9941867031216,11658,4056
2024-06-01T07:52:01.581,33058177.046714325,2200.2051319945017,11658,4056
2024-06-01T07:53:26.350,33155611.92390513,2212.7261116100176,11658,4056
2024-06-01T07:54:51.117,32993474.668104686,2201.372858059111,11658,4056
2024-06-01T07:56:15.886,33029707.46013788,2199.3411056045506,11658,4056
2024-06-01T07:57:40.654,33096437.082373664,2204.6328443922057,11658,4056
2024-06-01T07:59:05.421,33134215.26557564,2206.8467860245823,11658,4056
2024-06-01T08:00:30.197,32984705.93453247,2199.8416362045714,11658,4056
2024-06-01T08:01:54.798,33061420.6074273,2202.710762564339,11658,4056
2024-06-01T08:03:19.373,33101948.558077782,2206.2690332759735,11658,4056
2024-06-01T08:04:43.981,32944520.12855014,2186.110805790647,11658,4056
2024-06-01T08:06:08.558,32963847.875848457,2198.824540244016,11658,4056
2024-06-01T08:07:33.135,32961311.346176356,2196.4823156753296,11658,4056
2024-06-01T08:08:57.710,32926170.973558832,2188.7119812542596,11658,4056
2024-06-01T08:10:22.286,32905747.90886835,2189.9279907100963,11658,4056
2024-06-01T08:11:46.863,33027776.62397835,2211.612479966623,11658,4056
