filter2_file,total_counts_under_contours,qs_mean_counts,contour_area
2024-06-01T07:10:15.164,145003169.77131468,5085.040277391587,11658
2024-06-01T07:11:40.726,145143363.70634583,5014.152328610409,11658
2024-06-01T07:13:05.129,145043404.6072425,5014.690510926358,11658
2024-06-01T07:14:30.189,143819932.61725298,5084.155640528661,11658
2024-06-01T07:15:55.241,143636950.5392994,5041.14252525931,11658
2024-06-01T07:17:20.297,143819988.00840834,5073.1131739086095,11658
2024-06-01T07:18:45.353,143837612.53260386,5112.445724819446,11658
2024-06-01T07:20:10.410,142526183.60031906,5054.624585583676,11658
2024-06-01T07:21:35.466,143152513.80995622,5043.554182737703,11658
2024-06-01T07:23:00.522,143259430.90848723,5115.341170924897,11658
2024-06-01T07:24:25.578,142992099.2352224,5047.85690359672,11658
2024-06-01T07:25:50.635,142524669.42703006,5081.846691795266,11658
2024-06-01T07:27:15.691,142207168.78211054,5154.888883997082,11658
2024-06-01T07:28:40.747,141626012.43331334,4999.404031744522,11658
2024-06-01T07:30:05.803,141986005.81593105,5060.394783788306,11658
2024-06-01T07:31:30.668,142326821.99694005,5128.846226733545,11658
2024-06-01T07:32:55.437,142029748.13708505,5069.070244075801,11658
2024-06-01T07:34:20.205,142432370.07429364,5059.64989032072,11658
2024-06-01T07:35:44.973,142004110.97990346,5102.728595822033,11658
2024-06-01T07:37:09.741,141941971.90010855,5131.905249555406,11658
2024-06-01T07:38:34.509,141713476.21838444,5071.79701110576,11658
2024-06-01T07:39:59.277,140922429.1998923,5080.732014874974,11658
2024-06-01T07:41:24.458,140927448.0225623,5144.38470983998,11658
2024-06-01T07:42:48.846,140750293.81752834,5100.45773936085,11658
2024-06-01T07:44:13.613,140762384.2635569,5121.6355459547585,11658
2024-06-01T07:45:38.380,140194656.5354026,5090.458503174328,11658
2024-06-01T07:47:03.149,140218736.55224833,5156.328703841455,11658
2024-06-01T07:48:27.917,140609966.96770903,5168.843127961086,11658
2024-06-01T07:49:52.684,140520692.1629658,5128.70242595409,11658
2024-06-01T07:51:17.453,141105373.04164922,5113.632334349652,11658
2024-06-01T07:52:42.221,141752300.8835406,5183.158306954256,11658
2024-06-01T07:54:06.989,141691603.39320606,5150.761511971789,11658
2024-06-01T07:55:31.758,141889949.52349016,5127.200838970897,11658
2024-06-01T07:56:56.526,142224529.85260266,5133.227024921818,11658
2024-06-01T07:58:21.294,142972319.71228155,5131.96852291597,11658
2024-06-01T07:59:46.625,143184441.26692164,5142.1450303518195,11658
2024-06-01T08:01:10.800,143003463.80643657,5140.34116811742,11658
2024-06-01T08:02:35.376,142938564.7699518,5178.098871561048,11658
2024-06-01T08:03:59.983,142168975.26980382,5145.18672480558,11658
2024-06-01T08:05:24.559,142022570.91154158,5131.340168863166,11658
2024-06-01T08:06:49.136,142812492.13914913,5180.666278644785,11658
2024-06-01T08:08:13.712,142996240.75505278,5159.120583356835,11658
2024-06-01T08:09:38.306,142683443.2473565,5113.767715480642,11658
2024-06-01T08:11:02.865,142146067.22791043,5171.151849643789,11658
2024-06-01T08:12:27.441,141809785.83884856,5179.704057876556,11658
2024-06-01T08:13:52.486,141202518.40013176,5087.431574071055,11658
2024-06-01T08:15:16.689,141717671.24489668,5147.346410227095,11658
2024-06-01T08:16:41.330,142313445.94131023,5154.964536014091,11658
2024-06-01T08:18:05.937,140972176.9566598,5111.795335056719,11658
2024-06-01T08:19:30.545,141544205.8652029,5144.260018973308,11658
2024-06-01T08:20:55.219,142338795.72655082,5111.902957328837,11658
2024-06-01T08:22:19.859,141526144.78620592,5160.887954316631,11658
2024-06-01T08:23:44.498,141319522.50370732,5142.6311263408315,11658
2024-06-01T08:25:09.139,142053516.62058806,5104.079906160235,11658
2024-06-01T08:26:33.779,141470341.0597225,5146.142184372366,11658
2024-06-01T08:27:58.419,142390049.2355263,5141.997166306846,11658
2024-06-01T08:29:23.588,142917620.1177039,5128.08972452404,11658
2024-06-01T08:30:47.700,142570814.72471344,5104.029660566413,11658
2024-06-01T08:32:12.842,143781901.64252433,5152.784863112567,11658
2024-06-01T08:33:36.468,144088100.6619806,5092.249862450545,11658
2024-06-01T08:35:00.851,144869891.28788513,5125.744875077324,11658
2024-06-01T08:36:25.270,145892326.29822305,5091.646820100518,11658
2024-06-01T08:37:49.651,146938744.73985237,5208.993070812512,11658
2024-06-01T08:39:14.352,149026396.68588758,5126.102185691106,11658
2024-06-01T08:40:38.419,151261269.76720503,5130.032258576073,11658
2024-06-01T08:45:11.123,242763751.0645224,5122.507066933079,11658
2024-06-01T08:46:37.931,285691956.38235885,5228.560768158022,11658
2024-06-01T08:48:04.244,241748996.71562982,5150.980162712564,11658
2024-06-01T08:49:31.798,224558696.3999128,5131.859527943919,11658
2024-06-01T08:51:01.492,224783435.4347692,5169.177548471282,11658
2024-06-01T08:52:28.328,212648174.7032594,5162.20161801453,11658
2024-06-01T08:53:58.772,212101335.9981277,5136.491887758399,11658
2024-06-01T08:55:25.609,205246962.33874127,5199.131813517704,11658
2024-06-01T08:56:56.520,203895283.27312532,5162.570661366566,11658
2024-06-01T08:58:27.433,198720590.29072785,5130.86294972617,11658
2024-06-01T08:59:58.377,194280976.6445084,5112.395200078667,11658
2024-06-01T09:01:29.289,189259062.9417796,5166.470109606099,11658
2024-06-01T09:03:00.206,185565493.27664888,5111.260520844207,11658
2024-06-01T09:04:31.114,183158649.75855225,5156.265302878277,11658
2024-06-01T09:06:02.253,183904517.9635417,5126.415769825922,11658
2024-06-01T09:07:32.938,180832008.75543195,5116.697626130518,11658
2024-06-01T09:09:03.883,178511959.02154124,5135.9984113423025,11658
2024-06-01T09:10:34.795,177063657.9875996,5144.417138392463,11658
2024-06-01T09:12:05.707,176244810.76302075,5128.568283961043,11658
2024-06-01T09:13:36.619,175384192.40013576,5125.814113987281,11658
2024-06-01T09:15:07.533,172942617.70169634,5109.217406591059,11658
2024-06-01T09:16:38.284,171313416.27141657,5156.931238241133,11658
2024-06-01T09:18:09.370,170024038.20013452,5142.976482443557,11658
2024-06-01T09:19:39.789,167523523.86662978,5165.969538617783,11658
2024-06-01T09:21:10.540,166699503.62451342,5176.078373010592,11658
2024-06-01T09:22:41.326,164486141.97741577,5110.679660382362,11658
2024-06-01T09:24:12.759,164245157.68061638,5153.639277044719,11658
2024-06-01T09:25:42.795,161684524.6512106,5162.890124437837,11658
2024-06-01T09:27:13.515,162205890.66592506,5118.292533513707,11658
2024-06-01T09:28:44.236,160356258.24723193,5216.812420986436,11658
2024-06-01T09:30:14.956,160740013.20742148,5157.010226382917,11658
2024-06-01T09:31:45.676,159970915.55206022,5144.203410530695,11658
2024-06-01T09:33:16.397,159666214.80555028,5240.114750663778,11658
2024-06-01T09:34:47.117,158642289.23771733,5212.736413223697,11658
2024-06-01T09:36:17.837,157818682.26001605,5150.5655277676,11658
2024-06-01T09:37:48.558,156619266.0928117,5213.281547702751,11658
2024-06-01T09:39:19.278,156312520.8665929,5228.319327174441,11658
2024-06-01T09:40:49.965,155559629.13744882,5129.720393322771,11658
2024-06-01T09:42:20.655,154610303.02411276,5193.760467947917,11658
2024-06-01T09:43:51.311,153738024.41949862,5170.128546465984,11658
2024-06-01T09:45:21.935,153757335.5241543,5153.480751129019,11658
2024-06-01T09:46:52.367,151666004.42345387,5116.5125999216825,11658
2024-06-01T09:48:22.801,151121858.81997085,5192.722725263066,11658
2024-06-01T09:49:53.232,151380169.6606168,5159.761378366531,11658
2024-06-01T09:51:23.664,150452338.7257175,5200.80558772792,11658
2024-06-01T09:52:54.973,149685950.60537446,5197.079848016422,11658
2024-06-01T09:54:24.528,149533655.63909158,5166.386332193073,11658
2024-06-01T09:55:54.961,148820412.65239656,5170.471367275023,11658
2024-06-01T09:57:25.393,148369602.83819827,5187.382598570147,11658
2024-06-01T09:58:55.826,147831398.19935173,5189.066656208564,11658
2024-06-01T10:00:26.257,147425866.251048,5161.069418285729,11658
2024-06-01T10:01:56.690,147416490.4238058,5213.110075319711,11658
2024-06-01T10:03:27.123,146957594.57092914,5148.917642644397,11658
2024-06-01T10:04:57.586,146937227.4069786,5186.231263675851,11658
2024-06-01T10:06:28.182,146960356.8891217,5179.874465313203,11658
2024-06-01T10:07:58.452,146517341.26198372,5132.249669866506,11658
2024-06-01T10:09:28.881,147441422.50120717,5175.911728232211,11658
2024-06-01T10:10:59.313,146904184.27883604,5184.7544154836605,11658
2024-06-01T10:12:29.746,146448815.3427902,5206.57665295322,11658
2024-06-01T10:14:00.177,146060621.5857584,5132.217540371645,11658
2024-06-01T10:15:30.515,145927746.2905244,5147.357283662422,11658
2024-06-01T10:17:00.691,145854561.1862673,5134.264471163592,11658
2024-06-01T10:18:30.867,145684001.8932386,5096.242769146345,11658
