date_time,suit_count,Mean,Std,diff_count,Diff_error,Img_count,area
2024-07-10 13:42:07,3744190.634683143,10.972817027015957,168.97948423850207,1916855.5038004387,6917.410084682428,99445315.19401544,4129.0
2024-07-10 13:45:46,849664.3839860067,-13.773347072930155,177.05908483665735,447886.4067659267,3539.321019733576,25903250.94544185,1219.0
2024-07-10 13:54:53,2870608.983421251,-19.770202091822103,262.1187880527767,1341322.1097440654,4790.416098006538,48766781.76750161,2170.0
2024-07-10 14:04:01,1116393.4638169268,,,,,,
2024-07-10 14:13:08,3277899.7722039744,-26.02276172198745,341.7915770633025,1191212.4683390078,5032.262093424802,53925223.32604431,2517.0
2024-07-10 14:22:16,5400921.958345326,-29.2722078838815,361.7741801631532,3188564.7550325296,5837.733898408989,73559196.09561215,3147.0
2024-07-10 14:31:23,2537607.188721263,-40.481919509912366,339.80086667504526,1290142.9952691528,4088.421230215451,35967983.50007411,1553.0
2024-07-10 14:35:02,2772782.725750009,-40.02171864709089,358.67016157984057,1197067.5953635883,4296.980416887551,39700864.13198023,1832.0
2024-07-10 14:38:41,3032341.924863812,-51.89531750758672,390.3235755233873,1618799.5578371696,4603.898674848652,45424107.94141016,2097.0
2024-07-10 14:45:59,1265549.326962317,,,,,,
2024-07-10 14:49:38,1568288.7807778027,,,,,,
2024-07-10 14:56:56,2104193.8166772807,-45.95284103979756,416.50886049269457,665007.6918980628,3695.4837884471694,29417394.67802898,1509.0
2024-07-10 15:00:35,1680906.8779079914,,,,,,
2024-07-10 15:07:53,4467263.357962823,,,,,,
2024-07-10 15:11:32,4512099.254930006,-40.461407804469154,424.75818299598245,2376902.064561021,5247.001396387872,59574146.56232256,2407.0
2024-07-10 15:14:20,3488538.5246119173,-58.4852976860124,420.9985315035739,1896271.3902760728,4847.940165341685,50493586.218078256,2018.0
2024-07-10 15:20:49,3064465.996052258,,,,,,
2024-07-10 15:24:03,4932084.2043489255,-48.818662532182486,442.316507281917,2462526.145863716,5440.697637784956,64134465.775946535,3072.0
