date_time,suit_count
2024-07-10T13:42:07,3744190.634683143
2024-07-10T13:45:46,849664.3839860067
2024-07-10T13:54:53,2870608.983421251
2024-07-10T14:04:01,1116393.4638169268
2024-07-10T14:13:08,3277899.7722039744
2024-07-10T14:22:16,5400921.958345326
2024-07-10T14:31:23,2537607.188721263
2024-07-10T14:35:02,2772782.725750009
2024-07-10T14:38:41,3032341.9248638116
2024-07-10T14:45:59,1265549.3269623173
2024-07-10T14:49:38,1568288.7807778027
2024-07-10T14:56:56,2104193.8166772807
2024-07-10T15:00:35,1680906.8779079914
2024-07-10T15:07:53,4467263.357962823
2024-07-10T15:11:32,4512099.254930006
2024-07-10T15:14:20,3488538.5246119173
2024-07-10T15:20:49,3064465.9960522586
2024-07-10T15:24:03,4932084.2043489255
2024-07-10T15:32:09,45030256.23827384
2024-07-10T15:35:37,44740993.71120234
2024-07-10T15:50:14,8908819.009374844
