Time (UTC),10.00-30.00 keV
2024-07-10 13:37:06.299,26
2024-07-10 13:38:06.299,19
2024-07-10 13:39:06.299,24
2024-07-10 13:40:06.299,14
2024-07-10 13:41:06.299,14
2024-07-10 13:42:06.299,11
2024-07-10 13:43:06.299,20
2024-07-10 13:44:06.299,15
2024-07-10 13:45:06.299,15
2024-07-10 13:46:06.299,5
2024-07-10 13:47:06.299,8
2024-07-10 13:48:06.299,9
2024-07-10 13:49:06.299,6
2024-07-10 13:50:06.299,7
2024-07-10 13:51:06.299,8
2024-07-10 13:52:06.299,3
2024-07-10 13:53:06.299,12
2024-07-10 13:54:06.299,5
2024-07-10 13:55:06.299,8
2024-07-10 13:56:06.299,9
2024-07-10 13:57:06.299,4
2024-07-10 13:58:06.299,11
2024-07-10 13:59:06.299,4
2024-07-10 14:00:06.299,6
2024-07-10 14:01:06.299,5
2024-07-10 14:02:06.299,8
2024-07-10 14:03:06.299,11
2024-07-10 14:04:06.299,25
2024-07-10 14:05:06.299,26
2024-07-10 14:06:06.299,17
2024-07-10 14:07:06.299,13
2024-07-10 14:08:06.299,5
2024-07-10 14:09:06.299,12
2024-07-10 14:10:06.299,16
2024-07-10 14:11:06.299,27
2024-07-10 14:12:06.299,24
2024-07-10 14:13:06.299,18
2024-07-10 14:14:06.299,12
2024-07-10 14:15:06.299,19
2024-07-10 14:16:06.299,20
2024-07-10 14:17:06.299,15
2024-07-10 14:18:06.299,11
2024-07-10 14:19:06.299,17
2024-07-10 14:20:06.299,23
2024-07-10 14:21:06.299,15
2024-07-10 14:22:06.299,8
2024-07-10 14:23:06.299,11
2024-07-10 14:24:06.299,9
2024-07-10 14:25:06.299,13
2024-07-10 14:26:06.299,8
2024-07-10 14:27:06.299,6
2024-07-10 14:28:06.299,8
2024-07-10 14:29:06.299,13
2024-07-10 14:30:06.299,16
2024-07-10 14:31:06.299,5
2024-07-10 14:32:06.299,12
2024-07-10 14:33:06.299,7
2024-07-10 14:34:06.299,4
2024-07-10 14:35:06.299,7
2024-07-10 14:36:06.299,6
2024-07-10 14:37:06.299,6
2024-07-10 14:38:06.299,9
2024-07-10 14:39:06.299,8
2024-07-10 14:40:06.299,6
2024-07-10 14:41:06.299,12
2024-07-10 14:42:06.299,10
2024-07-10 14:43:06.299,9
2024-07-10 14:44:06.299,12
2024-07-10 14:45:06.299,16
2024-07-10 14:46:06.299,15
2024-07-10 14:47:06.299,10
2024-07-10 14:48:06.299,9
2024-07-10 14:49:06.299,11
2024-07-10 14:50:06.299,7
2024-07-10 14:51:06.299,10
2024-07-10 14:52:06.299,12
2024-07-10 14:53:06.299,14
2024-07-10 14:54:06.299,6
2024-07-10 14:55:06.299,14
2024-07-10 14:56:06.299,18
2024-07-10 14:57:06.299,7
2024-07-10 14:58:06.299,18
2024-07-10 14:59:06.299,24
2024-07-10 15:00:06.299,18
2024-07-10 15:01:06.299,14
2024-07-10 15:02:06.299,6
2024-07-10 15:03:06.299,11
2024-07-10 15:04:06.299,2
2024-07-10 15:05:06.299,6
2024-07-10 15:06:06.299,3
2024-07-10 15:07:06.299,4
2024-07-10 15:08:06.299,16
2024-07-10 15:09:06.299,15
2024-07-10 15:10:06.299,3
2024-07-10 15:11:06.299,16
2024-07-10 15:12:06.299,5
2024-07-10 15:13:06.299,10
2024-07-10 15:14:06.299,6
2024-07-10 15:15:06.299,5
2024-07-10 15:16:06.299,4
2024-07-10 15:17:06.299,7
2024-07-10 15:18:06.299,5
2024-07-10 15:19:06.299,7
2024-07-10 15:20:06.299,5
2024-07-10 15:21:06.299,4
2024-07-10 15:22:06.299,5
2024-07-10 15:23:06.299,3
2024-07-10 15:24:06.299,2
2024-07-10 15:25:06.299,9
2024-07-10 15:26:06.299,20
2024-07-10 15:27:06.299,22
2024-07-10 15:28:06.299,52
2024-07-10 15:29:06.299,235
2024-07-10 15:30:06.299,398
2024-07-10 15:31:06.299,566
2024-07-10 15:32:06.299,526
2024-07-10 15:33:06.299,478
2024-07-10 15:34:06.299,462
2024-07-10 15:35:06.299,576
2024-07-10 15:36:06.299,827
2024-07-10 15:37:06.299,399
2024-07-10 15:38:06.299,324
2024-07-10 15:39:06.299,202
2024-07-10 15:40:06.299,131
2024-07-10 15:41:06.299,72
2024-07-10 15:42:06.299,33
2024-07-10 15:43:06.299,16
2024-07-10 15:44:06.299,10
2024-07-10 15:45:06.299,9
2024-07-10 15:46:06.299,10
2024-07-10 15:47:06.299,7
2024-07-10 15:48:06.299,12
2024-07-10 15:49:06.299,4
2024-07-10 15:50:06.299,5
