filter2_file,counts_under_contours
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.23.03.896_0973NB04.fits,276047780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.24.39.449_0973NB04.fits,277788100.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.26.15.970_0973NB04.fits,281617660.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.27.50.553_0973NB04.fits,274213630.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.29.26.106_0973NB04.fits,276409280.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.31.01.689_0973NB04.fits,279564800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.32.37.497_0973NB04.fits,281198850.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.34.13.306_0973NB04.fits,280158900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.35.49.114_0973NB04.fits,276853500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.37.24.921_0973NB04.fits,267888740.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.39.00.731_0973NB04.fits,263641740.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.40.36.539_0973NB04.fits,273185860.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.42.12.346_0973NB04.fits,282445380.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.43.48.155_0973NB04.fits,284469120.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.45.23.964_0973NB04.fits,282024400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.46.59.771_0973NB04.fits,285706780.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.48.35.580_0973NB04.fits,283778240.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.50.11.419_0973NB04.fits,278793950.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.51.47.230_0973NB04.fits,276721000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.53.23.676_0973NB04.fits,284621540.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.54.58.875_0973NB04.fits,287655520.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.56.34.657_0983NB04.fits,297587230.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T12.58.24.135_0983NB04.fits,297454800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T13.00.13.638_0983NB04.fits,302252740.0
