filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS area
2024-10-31T23:30:28.893,39594311.068787,4640.07866454745,4173,18048
2024-10-31T23:31:53.373,39843937.2061884,4663.83522371766,4173,18048
2024-10-31T23:33:17.850,39388732.1612379,4656.71475092865,4173,18048
2024-10-31T23:34:42.332,39561049.638242,4643.20282545523,4173,18048
2024-10-31T23:36:06.812,39750529.6419648,4654.53314198397,4173,18048
2024-10-31T23:37:31.291,43037030.6151842,4651.98299705536,4173,18048
2024-10-31T23:38:55.773,41716895.0013805,4661.14372361497,4173,18048
2024-10-31T23:40:20.253,40949866.1637241,4641.13664306682,4173,18048
2024-10-31T23:41:44.733,41316945.2821263,4628.69954099245,4173,18048
2024-10-31T23:43:09.212,40821265.3568301,4649.95666543909,4173,18048
2024-10-31T23:44:33.693,40266629.6320279,4613.48395998059,4173,18048
2024-10-31T23:45:58.174,39830062.8954284,4649.12653011989,4173,18048
2024-10-31T23:47:22.653,40126922.209221,4623.40142306117,4173,18048
2024-10-31T23:48:47.134,40466712.0806009,4627.8854336214,4173,18048
2024-10-31T23:50:11.614,39913207.6753266,4651.33450026972,4173,18048
2024-10-31T23:51:36.935,39609346.5582991,4643.28139834027,4173,18048
2024-11-01T00:23:19.329,40290916.5246597,4646.37017488487,4173,18048
2024-11-01T00:23:37.281,40361936.1215481,4641.52815482663,4173,18048
2024-11-01T00:23:55.234,40305977.8332361,4634.58110640479,4173,18048
2024-11-01T00:25:19.426,40599107.7307401,4630.62284089422,4173,18048
2024-11-01T00:26:43.619,40558166.606216,4666.274113013,4173,18189
2024-11-01T00:28:07.811,40160949.5658714,4667.34985452145,4173,18189
2024-11-01T00:29:32.265,40075671.4358171,4648.47796798813,4173,18189
2024-11-01T00:30:56.179,40363091.8735683,4655.20916050113,4173,18189
2024-11-01T00:32:25.651,40421800.7703843,4679.35951472159,4173,18189
2024-11-01T00:33:55.122,40266069.8801359,4653.68981270983,4173,18189
2024-11-01T00:35:24.596,40515709.6818184,4652.63871815354,4173,18189
2024-11-01T00:36:54.678,40606076.9543187,4672.34591903156,4173,18189
2024-11-01T00:38:23.539,40587085.5482489,4660.18750359635,4173,18189
2024-11-01T00:39:53.163,40465871.9522059,4632.49692569728,4173,18189
2024-11-01T00:41:22.485,39834402.4457558,4670.81647488295,4173,18189
2024-11-01T00:42:51.956,39655966.6468325,4669.21521599928,4173,18189
2024-11-01T00:44:21.427,40040574.5763612,4642.51629871,4173,18189
2024-11-01T00:45:50.899,40201397.5837278,4665.71239670016,4173,18048
2024-11-01T00:47:20.371,40041456.1223683,4638.74152395659,4173,18189
2024-11-01T00:48:49.844,40617127.3524085,4663.65270052478,4173,18189
2024-11-01T00:50:19.316,40395038.5103118,4669.71833006104,4173,18189
2024-11-01T00:51:48.787,40053229.9616208,4635.04708108619,4173,18189
2024-11-01T00:53:18.260,39676324.5775754,4673.69836292042,4173,18189
2024-11-01T00:54:47.733,40033792.4026264,4656.47743185872,4173,18189
2024-11-01T00:56:17.205,39686538.6743919,4623.38838518636,4173,18189
2024-11-01T00:57:46.677,39909196.0365397,4636.81589190914,4173,18189
2024-11-01T00:59:16.149,40170555.7272351,4676.97560290769,4173,18189
2024-11-01T01:00:45.559,40025269.8264135,4652.37714494958,4173,18189
2024-11-01T01:02:14.774,40847273.6838629,4631.96143593842,4173,18189
2024-11-01T01:03:43.959,41466359.2008619,4681.15469086574,4173,18189
2024-11-01T01:05:13.239,41547665.9099747,4663.85352093551,4173,18189
2024-11-01T01:06:42.487,41406153.1929809,4623.72242534332,4173,18189
2024-11-01T01:08:11.736,40644715.8039696,4620.29983638761,4173,18189
2024-11-01T01:09:40.984,40515172.2508523,4653.38306514971,4173,18189
2024-11-01T01:11:10.263,40176612.6199384,4629.06091052744,4173,18189
2024-11-01T01:12:39.512,39875150.8351274,4629.66337314691,4173,18189
2024-11-01T01:14:08.793,39950242.9883615,4627.83299908903,4173,18189
2024-11-01T01:15:38.441,39774531.801173,4662.61256767936,4173,18189
2024-11-01T01:17:07.288,40026648.7279349,4633.38152907849,4173,18189
2024-11-01T01:18:36.538,40150942.8942897,4636.28483290797,4173,18189
2024-11-01T01:20:05.785,40400583.0221044,4641.43714591648,4173,18189
2024-11-01T01:21:35.351,39998951.0700762,4648.30528269559,4173,18189
2024-11-01T01:23:04.280,40652832.660859,4626.80258832204,4173,18189
2024-11-01T01:24:33.496,40857580.6279802,4643.77751142736,4173,18189
2024-11-01T01:26:02.744,40593369.5761319,4661.30349194311,4173,18189
2024-11-01T01:27:31.961,40887293.1020429,4638.02915765728,4173,18189
2024-11-01T01:29:01.176,41811765.2278022,4654.61735735446,4173,18189
2024-11-01T01:30:30.362,41346797.6850393,4635.01362491451,4173,18189
2024-11-01T01:31:59.450,40808029.6326687,4650.29987454254,4173,18189
2024-11-01T01:33:28.539,40769654.4687924,4631.30055776219,4173,18189
2024-11-01T01:34:57.626,41165581.8758289,4618.27430065218,4173,18189
2024-11-01T01:36:26.715,41353107.9977889,4629.52336538159,4173,18189
2024-11-01T01:37:55.804,40850829.0135848,4654.23446905978,4173,18189
2024-11-01T01:39:24.891,40505909.6598161,4612.8333515663,4173,18189
2024-11-01T01:40:53.979,41747026.5683708,4637.79568857261,4173,18189
2024-11-01T01:42:23.684,41722045.4377475,4662.63736833198,4173,18189
2024-11-01T01:43:52.156,40887812.0422092,4630.77986619721,4173,18189
2024-11-01T01:45:21.244,42806138.1725643,4632.82174517527,4173,18189
2024-11-01T01:46:50.333,42213936.942191,4654.87318806166,4173,18189
2024-11-01T01:48:19.420,41557082.9700216,4661.14947772199,4173,18189
2024-11-01T01:49:48.509,40869639.482052,4619.38313655802,4173,18189
2024-11-01T01:51:17.597,40747544.1202606,4642.14576896812,4173,18189
2024-11-01T01:52:46.685,40441687.2391099,4631.01646769873,4173,18189
2024-11-01T01:54:15.773,40167844.3075875,4649.6337882115,4173,18189
2024-11-01T01:55:44.862,41314859.695939,4619.88304570794,4173,18189
2024-11-01T01:57:13.948,40872745.9662035,4640.5810506467,4173,18189
2024-11-01T01:58:43.402,40125172.2766741,4668.3507563577,4173,18189
2024-11-01T02:00:12.125,40085103.6189902,4627.67183462147,4173,18189
2024-11-01T02:01:40.957,39657734.3824921,4632.62240882334,4173,18189
2024-11-01T02:03:09.790,39299387.1890679,4681.43108610991,4173,18189
2024-11-01T02:04:38.622,39828160.7631104,4641.97524545841,4173,18189
2024-11-01T02:06:07.454,40109407.2785453,4640.41919138626,4173,18189
2024-11-01T02:07:36.286,41013040.3329196,4669.68012158814,4173,18189
2024-11-01T02:09:05.119,42436625.2487427,4676.15172928542,4173,18189
2024-11-01T02:10:33.951,44523395.495887,4642.8689665101,4173,18189
2024-11-01T02:12:02.751,45848016.7189436,4649.46677377682,4173,18189
2024-11-01T02:13:31.551,58333612.1076202,4671.73695106271,4173,18189
2024-11-01T02:14:05.664,62048756.1079434,4665.52837888429,4173,18189
2024-11-01T02:14:24.128,66745235.5913926,4660.19300588889,4173,18189
2024-11-01T02:14:42.592,71952516.018032,4655.68135644488,4173,18189
2024-11-01T02:15:02.462,72960433.0223546,4649.99539082185,4173,18189
2024-11-01T02:16:33.999,73509433.1317409,4697.54383493851,4173,18189
2024-11-01T02:18:10.724,57047384.9672646,4631.30604175247,4173,18189
2024-11-01T02:19:47.397,51910545.8566462,4678.19700012154,4173,18189
2024-11-01T02:21:24.998,48736556.3717794,4640.8045771442,4173,18189
2024-11-01T02:23:00.805,47389797.5761459,4615.1716777384,4173,18189
2024-11-01T02:24:37.509,44922308.2729439,4648.77130536914,4173,18189
2024-11-01T02:26:14.213,43811507.5591335,4651.15155116434,4173,18189
2024-11-01T02:27:50.918,42660004.6109076,4599.95600704797,4173,18189
2024-11-01T02:29:27.622,43380590.5699597,4649.68791746967,4173,18189
