filter2_file,flare_tot_count,flare_tot_area,plage_tot_count,plage_tot_area,qs_smpl1,qs_smpl2
2024-06-01T07:10:22.791,3035054.1775570875,186,1012052344.8196254,96601,3875.9895702879735,3787.7197253645027
2024-06-01T07:11:22.224,2921704.933681137,180,1029905213.7002872,98615,3789.7394995174905,3760.1600143652468
2024-06-01T07:11:47.846,3241049.2512333663,201,1045389613.0812339,100601,3737.8462503569926,3797.6280518822955
2024-06-01T07:12:47.807,3216487.227867529,199,1036922287.4662057,99403,3742.2296845518204,3858.814838252811
2024-06-01T07:13:12.903,3293081.8350301944,204,1034217189.7056589,99252,3768.9953572687896,3849.435684922308
2024-06-01T07:14:12.135,3108480.289277529,193,1033380988.9990996,99349,3788.7526897186644,3747.4589052872097
2024-06-01T07:14:37.959,3064946.608230598,191,1037297415.0143796,99902,3777.21722688318,3761.721704152412
2024-06-01T07:15:37.191,2317861.1439906177,144,1022325103.9984055,97879,3742.590166058023,3782.7768234560635
2024-06-01T07:16:03.152,2099634.0310751386,131,1032109286.5126929,99109,3726.210564478286,3821.5167451570696
2024-06-01T07:17:02.247,2126272.9848407046,133,1031611949.5263922,98697,3783.863300982021,3837.1434616399256
2024-06-01T07:17:28.713,2137197.3005763274,134,1044880482.5422313,100151,3751.0399288300086,3879.3760446751958
2024-06-01T07:18:27.303,1696946.6774913429,106,1038928194.5842481,99067,3845.6327004721456,3841.8840408381693
2024-06-01T07:18:53.128,1464769.0164945603,92,1041074139.3510363,99521,3815.974257488483,3842.3697559140464
2024-06-01T07:19:52.360,63906.36538156509,4,997204291.0777972,94302,3850.9371067646034,3803.0922953271115
2024-06-01T07:20:18.188,0.0,0,989708322.9637575,93527,3864.4191446397253,3782.636986937702
2024-06-01T07:21:17.416,251138.16352385003,16,1042144162.6574405,99535,3689.037501232251,3803.4880612499164
2024-06-01T07:21:43.240,516804.8495365833,33,1058115435.8467042,101256,3677.6500104246943,3896.315017920384
2024-06-01T07:22:42.472,425006.47892204777,27,1056214033.9082085,100644,3784.988461882104,3871.150553410514
2024-06-01T07:23:08.296,424663.13124376454,27,1049397277.4695921,100167,3795.9437764777076,3844.102408766692
2024-06-01T07:24:07.528,110949.00809169193,7,1034869443.9617306,98277,3801.7685914311223,3799.3325338224536
2024-06-01T07:24:33.352,95864.88360356807,6,1018730212.4157566,96351,3811.4641469481026,3792.826068454397
2024-06-01T07:25:32.585,617157.8938336023,39,1047526416.3387475,99816,3720.996552842704,3853.3706427581506
2024-06-01T07:25:58.409,457304.908957745,29,1047519902.7758074,99965,3712.3977579216057,3857.4448617307107
2024-06-01T07:26:57.641,63095.823610392545,4,1045663538.4878079,99433,3818.7061660887957,3862.254709598358
2024-06-01T07:27:23.465,47738.018170921816,3,1023873799.6427734,97208,3885.777834968425,3847.1326794556
2024-06-01T07:28:22.697,611170.6809540298,39,1056513891.2587812,101362,3721.27000727689,3811.161462958349
2024-06-01T07:28:48.521,1319704.1317456188,85,1089350940.2483184,105167,3632.2379450891763,3832.0669946288754
2024-06-01T07:29:47.753,610822.6355672478,39,1071795526.9725357,102661,3703.8970224705527,3782.017555939259
2024-06-01T07:30:13.577,31500.718624262063,2,1039092537.003592,99008,3785.391229049553,3769.632667367505
2024-06-01T07:31:12.650,31470.034663424973,2,1056349708.7146565,100877,3791.32681872128,3817.3302825031387
2024-06-01T07:31:38.410,0.0,0,991171433.9516028,93470,3927.5779059495744,3854.020914940088
2024-06-01T07:32:37.419,15764.40925492945,1,1028848225.4930218,98020,3795.7273624083027,3879.8223815726346
2024-06-01T07:33:03.183,469973.99762023357,30,1057101819.9283112,101357,3734.5178082293132,3877.319071157841
2024-06-01T07:34:02.191,315932.0626407757,20,1042803684.2686175,99428,3758.278570109633,3789.9613374339588
2024-06-01T07:34:27.946,0.0,0,950500776.931358,88823,3977.4061509721496,3852.8165772482
2024-06-01T07:35:26.954,62610.916976497654,4,1027383452.9637407,98316,3788.9717112003814,3800.0482763762184
2024-06-01T07:35:52.715,265523.18685670925,17,1049661070.6121868,100750,3743.2408556580176,3875.975413738963
2024-06-01T07:36:51.723,62662.98053766477,4,1044739454.2426344,99844,3791.211667077767,3880.293803787351
2024-06-01T07:37:17.483,63551.0710863726,4,1034312989.8227016,98612,3805.5880884870357,3959.5884391864165
