time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10
2024-06-02 06:30:06.646,2.90081,2.637878e+07,2.785827e+06,1.7238932e+07,7.399726e+06,3.371509e+06,1.850295e+06,1.957531e+06,2.074496e+06,1.804395e+06,2.692117e+06
2024-06-02 06:30:18.630,2.900807,2.629438e+07,2.789011e+06,1.7243672e+07,7.393248e+06,3.368144e+06,1.851047e+06,1.952829e+06,2.074553e+06,1.808367e+06,2.691266e+06
2024-06-02 06:30:30.616,2.900807,2.6274748e+07,2.797985e+06,1.7252902e+07,7.398466e+06,3.369613e+06,1.846999e+06,1.956368e+06,2.067533e+06,1.80301e+06,2.700172e+06
2024-06-02 06:30:42.623,2.900813,2.6204866e+07,2.792759e+06,1.7255916e+07,7.390852e+06,3.374436e+06,1.842974e+06,1.957455e+06,2.062328e+06,1.808489e+06,2.696235e+06
2024-06-02 06:30:54.615,2.9008099999999994,2.6155176e+07,2.801768e+06,1.7262504e+07,7.401065e+06,3.381361e+06,1.844369e+06,1.958181e+06,2.057236e+06,1.809698e+06,2.69735e+06
2024-06-02 06:31:06.623,2.9008119999999997,2.6094538e+07,2.802442e+06,1.7259572e+07,7.399774e+06,3.377425e+06,1.840493e+06,1.957393e+06,2.056378e+06,1.806001e+06,2.700886e+06
2024-06-02 06:31:18.615,2.9008079999999996,2.604307e+07,2.805039e+06,1.7265488e+07,7.407168e+06,3.376543e+06,1.84797e+06,1.956806e+06,2.05264e+06,1.807419e+06,2.697954e+06
2024-06-02 06:31:30.623,2.9008109999999996,2.6028022e+07,2.791944e+06,1.7288258e+07,7.392161e+06,3.367443e+06,1.846402e+06,1.960101e+06,2.056296e+06,1.806493e+06,2.702662e+06
2024-06-02 06:31:42.616,2.9008059999999998,2.604612e+07,2.795851e+06,1.730736e+07,7.399553e+06,3.371022e+06,1.859184e+06,1.961199e+06,2.056273e+06,1.809712e+06,2.705047e+06
2024-06-02 06:31:54.623,2.9008119999999997,2.6073008e+07,2.787953e+06,1.7334862e+07,7.388181e+06,3.375583e+06,1.857672e+06,1.95993e+06,2.053131e+06,1.808273e+06,2.699734e+06
2024-06-02 06:32:06.638,2.900811,2.628128e+07,2.788026e+06,1.7335576e+07,7.39164e+06,3.369424e+06,1.858679e+06,1.957121e+06,2.050646e+06,1.807464e+06,2.696474e+06
2024-06-02 06:32:18.623,2.9008069999999995,2.6502258e+07,2.788999e+06,1.7340522e+07,7.390305e+06,3.376514e+06,1.867827e+06,1.954036e+06,2.048724e+06,1.80841e+06,2.696093e+06
2024-06-02 06:32:30.616,2.900804,2.6724924e+07,2.793781e+06,1.7323664e+07,7.383735e+06,3.373005e+06,1.892414e+06,1.955884e+06,2.050927e+06,1.814204e+06,2.696439e+06
2024-06-02 06:32:42.623,2.900805,2.6944284e+07,2.790714e+06,1.7324372e+07,7.392434e+06,3.371983e+06,1.884522e+06,1.956913e+06,2.050495e+06,1.814411e+06,2.697761e+06
2024-06-02 06:32:54.615,2.900807,2.7202392e+07,2.792196e+06,1.7307586e+07,7.394384e+06,3.365856e+06,1.870133e+06,1.954833e+06,2.049925e+06,1.807944e+06,2.700012e+06
