Time,Total,CdTeEr
2024-06-02 06:50:33.738970060,1.5833333333333333,0.16244657241348273
2024-06-02 06:50:35.107665060,1.4666666666666668,0.15634719199411432
2024-06-02 06:51:33.738970060,1.3666666666666667,0.15092308563562362
2024-06-02 06:51:35.107665060,1.55,0.16072751268321592
2024-06-02 06:52:33.738970060,1.0666666666666667,0.13333333333333333
2024-06-02 06:52:35.107665060,0.9166666666666667,0.12360330811826105
2024-06-02 06:53:33.738970060,0.8,0.11547005383792516
2024-06-02 06:53:35.107665060,0.8166666666666667,0.11666666666666667
2024-06-02 06:54:33.738970060,1.0,0.12909944487358055
2024-06-02 06:54:35.107665060,0.9666666666666667,0.12692955176439846
2024-06-02 06:55:33.738970060,0.8,0.11547005383792515
2024-06-02 06:55:35.107665060,0.8166666666666667,0.11666666666666665
2024-06-02 06:56:33.738970060,0.9833333333333334,0.12801909579781015
2024-06-02 06:56:35.107665060,1.0333333333333334,0.13123346456686352
2024-06-02 06:57:33.738970060,0.6333333333333333,0.10274023338281627
2024-06-02 06:57:35.107665060,0.5166666666666666,0.0927960727138337
2024-06-02 06:58:33.738970060,0.16666666666666669,0.05270462766947299
2024-06-02 06:58:35.107665060,0.26666666666666666,0.06666666666666668
2024-06-02 06:59:33.738970060,0.3666666666666667,0.07817359599705717
2024-06-02 06:59:35.107665060,0.30000000000000004,0.07071067811865475
2024-06-02 07:00:33.738970060,0.5833333333333333,0.09860132971832693
2024-06-02 07:00:35.107665060,0.6833333333333333,0.10671873729054748
2024-06-02 07:01:33.738970060,0.6333333333333333,0.10274023338281627
2024-06-02 07:01:35.107665060,0.5333333333333333,0.09428090415820634
2024-06-02 07:02:33.738970060,0.3833333333333333,0.07993052538854532
2024-06-02 07:02:35.107665060,0.4,0.08164965809277261
2024-06-02 07:03:33.738970060,0.21666666666666667,0.060092521257733164
2024-06-02 07:03:35.107665060,0.21666666666666667,0.060092521257733164
2024-06-02 07:04:33.738970060,0.4666666666666667,0.08819171036881969
2024-06-02 07:04:35.107665060,0.5166666666666666,0.0927960727138337
2024-06-02 07:05:33.738970060,0.9166666666666667,0.12360330811826105
2024-06-02 07:05:35.107665060,0.8999999999999999,0.12247448713915891
2024-06-02 07:06:33.738970060,0.8666666666666667,0.12018504251546631
2024-06-02 07:06:35.107665060,0.9166666666666667,0.12360330811826105
2024-06-02 07:07:33.738970060,1.8833333333333333,0.17716909687891083
2024-06-02 07:07:35.107665060,1.9,0.17795130420052185
2024-06-02 07:08:33.738970060,4.3,0.26770630673681683
2024-06-02 07:08:35.107665060,4.4,0.27080128015453203
2024-06-02 07:09:33.738970060,2.0833333333333335,0.18633899812498247
2024-06-02 07:09:35.107665060,1.9833333333333334,0.18181186857726192
2024-06-02 07:10:33.738970060,1.3333333333333335,0.14907119849998599
2024-06-02 07:10:35.107665060,1.3666666666666667,0.15092308563562362
2024-06-02 07:11:33.738970060,0.9833333333333333,0.12801909579781012
2024-06-02 07:11:35.107665060,0.8833333333333333,0.12133516482134198
2024-06-02 07:12:33.738970060,0.8833333333333333,0.12133516482134196
2024-06-02 07:12:35.107665060,0.8333333333333334,0.11785113019775792
2024-06-02 07:13:33.738970060,0.3333333333333333,0.07453559924999299
2024-06-02 07:13:35.107665060,0.3333333333333333,0.07453559924999299
2024-06-02 07:14:33.738970060,0.43333333333333335,0.08498365855987974
2024-06-02 07:14:35.107665060,0.45,0.08660254037844387
2024-06-02 07:15:33.738970060,1.0,0.12909944487358055
2024-06-02 07:15:35.107665060,1.0333333333333334,0.13123346456686352
2024-06-02 07:16:33.738970060,0.8,0.11547005383792514
2024-06-02 07:16:35.107665060,0.8833333333333333,0.12133516482134196
2024-06-02 07:17:33.738970060,1.0666666666666667,0.13333333333333336
2024-06-02 07:17:35.107665060,1.0,0.12909944487358055
2024-06-02 07:18:33.738970060,0.7833333333333334,0.11426091000668406
2024-06-02 07:18:35.107665060,0.8,0.11547005383792515
2024-06-02 07:19:33.738970060,0.6333333333333333,0.10274023338281628
2024-06-02 07:19:35.107665060,0.6499999999999999,0.10408329997330663
2024-06-02 07:20:33.738970060,0.5166666666666666,0.0927960727138337
2024-06-02 07:20:35.107665060,0.3833333333333333,0.07993052538854532
2024-06-02 07:21:33.738970060,0.30000000000000004,0.07071067811865475
2024-06-02 07:21:35.107665060,0.33333333333333337,0.07453559924999298
2024-06-02 07:22:33.738970060,0.16666666666666666,0.05270462766947299
2024-06-02 07:22:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:23:33.738970060,0.2,0.05773502691896258
2024-06-02 07:23:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:24:33.738970060,0.16666666666666669,0.05270462766947299
2024-06-02 07:24:35.107665060,0.18333333333333335,0.055277079839256664
2024-06-02 07:25:33.738970060,0.19999999999999998,0.05773502691896258
2024-06-02 07:25:35.107665060,0.19999999999999998,0.05773502691896258
2024-06-02 07:26:33.738970060,0.11666666666666667,0.04409585518440984
2024-06-02 07:26:35.107665060,0.13333333333333333,0.04714045207910317
2024-06-02 07:27:33.738970060,0.2833333333333333,0.06871842709362769
2024-06-02 07:27:35.107665060,0.26666666666666666,0.06666666666666668
2024-06-02 07:28:33.738970060,0.21666666666666665,0.06009252125773316
2024-06-02 07:28:35.107665060,0.21666666666666665,0.06009252125773316
2024-06-02 07:29:33.738970060,0.19999999999999998,0.05773502691896258
2024-06-02 07:29:35.107665060,0.18333333333333332,0.05527707983925667
2024-06-02 07:30:33.738970060,0.15000000000000002,0.049999999999999996
2024-06-02 07:30:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:31:33.738970060,0.18333333333333335,0.055277079839256664
2024-06-02 07:31:35.107665060,0.16666666666666666,0.05270462766947299
2024-06-02 07:32:33.738970060,0.23333333333333334,0.062360956446232366
2024-06-02 07:32:35.107665060,0.23333333333333334,0.062360956446232366
2024-06-02 07:33:33.738970060,0.2,0.05773502691896257
2024-06-02 07:33:35.107665060,0.23333333333333334,0.06236095644623236
2024-06-02 07:34:33.738970060,0.16666666666666666,0.052704627669472995
2024-06-02 07:34:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:35:33.738970060,0.21666666666666667,0.06009252125773315
2024-06-02 07:35:35.107665060,0.2,0.05773502691896258
2024-06-02 07:36:33.738970060,0.26666666666666666,0.06666666666666667
2024-06-02 07:36:35.107665060,0.26666666666666666,0.06666666666666667
2024-06-02 07:37:33.738970060,0.21666666666666667,0.060092521257733164
2024-06-02 07:37:35.107665060,0.2,0.05773502691896258
2024-06-02 07:38:33.738970060,0.2833333333333333,0.06871842709362767
2024-06-02 07:38:35.107665060,0.30000000000000004,0.07071067811865475
2024-06-02 07:39:33.738970060,0.11666666666666667,0.044095855184409845
2024-06-02 07:39:35.107665060,0.1,0.040824829046386304
2024-06-02 07:40:33.738970060,0.1,0.040824829046386304
2024-06-02 07:40:35.107665060,0.13333333333333333,0.04714045207910317
2024-06-02 07:41:33.738970060,0.21666666666666667,0.060092521257733164
2024-06-02 07:41:35.107665060,0.18333333333333335,0.05527707983925667
2024-06-02 07:42:33.738970060,0.16666666666666669,0.05270462766947299
2024-06-02 07:42:35.107665060,0.18333333333333335,0.055277079839256664
2024-06-02 07:43:33.738970060,0.2,0.05773502691896258
2024-06-02 07:43:35.107665060,0.2,0.05773502691896258
2024-06-02 07:44:33.738970060,0.2,0.05773502691896258
2024-06-02 07:44:35.107665060,0.2,0.05773502691896258
2024-06-02 07:45:33.738970060,0.06666666666666667,0.03333333333333333
2024-06-02 07:45:35.107665060,0.05,0.028867513459481287
2024-06-02 07:46:33.738970060,0.16666666666666669,0.05270462766947299
2024-06-02 07:46:35.107665060,0.18333333333333335,0.05527707983925667
2024-06-02 07:47:33.738970060,0.15,0.05
2024-06-02 07:47:35.107665060,0.13333333333333333,0.04714045207910316
2024-06-02 07:48:33.738970060,0.16666666666666669,0.05270462766947299
2024-06-02 07:48:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:49:33.738970060,0.11666666666666667,0.044095855184409845
2024-06-02 07:49:35.107665060,0.18333333333333335,0.05527707983925667
2024-06-02 07:50:33.738970060,0.2,0.05773502691896258
2024-06-02 07:50:35.107665060,0.15,0.05
2024-06-02 07:51:33.738970060,0.23333333333333334,0.062360956446232366
2024-06-02 07:51:35.107665060,0.23333333333333334,0.062360956446232366
2024-06-02 07:52:33.738970060,0.21666666666666667,0.06009252125773315
2024-06-02 07:52:35.107665060,0.21666666666666667,0.06009252125773315
2024-06-02 07:53:33.738970060,0.15000000000000002,0.049999999999999996
2024-06-02 07:53:35.107665060,0.16666666666666669,0.05270462766947299
2024-06-02 07:54:33.738970060,0.21666666666666667,0.060092521257733164
2024-06-02 07:54:35.107665060,0.23333333333333334,0.062360956446232366
2024-06-02 07:55:33.738970060,0.21666666666666665,0.06009252125773316
2024-06-02 07:55:35.107665060,0.18333333333333332,0.05527707983925667
2024-06-02 07:56:33.738970060,0.15000000000000002,0.049999999999999996
2024-06-02 07:56:35.107665060,0.13333333333333333,0.04714045207910316
2024-06-02 07:57:33.738970060,0.25,0.06454972243679027
2024-06-02 07:57:35.107665060,0.26666666666666666,0.06666666666666667
2024-06-02 07:58:33.738970060,0.33333333333333337,0.07453559924999299
2024-06-02 07:58:35.107665060,0.33333333333333337,0.07453559924999298
2024-06-02 07:59:33.738970060,0.3,0.07071067811865475
2024-06-02 07:59:35.107665060,0.33333333333333337,0.07453559924999299
2024-06-02 08:00:33.738970060,0.41666666666666663,0.08333333333333334
2024-06-02 08:00:35.107665060,0.41666666666666663,0.08333333333333334
2024-06-02 08:01:33.738970060,2.55,0.20615528128088303
2024-06-02 08:01:35.107665060,2.9000000000000004,0.21984843263788198
2024-06-02 08:02:33.738970060,9.033333333333333,0.3880148908940938
2024-06-02 08:02:35.107665060,9.433333333333334,0.39651257511234395
