Wavlength,Inband,Outband
388.1919303,0.0000026,0.0000014
388.200695,0,0.0000013
388.2094597,0,0.0000012
388.2181944,0,0.0000012
388.2269591,0.0000157,0.0000012
388.2357238,0.0000208,0.0000012
388.2444885,0,0.0000013
388.2532132,0,0.0000013
388.2619779,0.0000222,0.0000013
388.2707426,0,0.0000011
388.2794773,0.0000039,0.0000012
388.288242,0,0.0000012
388.2970067,0.0000065,0.0000016
388.3057615,0,0.0000013
388.3144961,0,0.0000015
388.3232609,0.0000104,0.0000022
388.3320256,0.0000092,0.0000014
388.3407603,0.0000078,0.0000015
388.349525,0.0000052,0.0000012
388.3582797,0.0000169,0.0000013
388.3670144,0,0.0000018
388.3757791,0,0.0000013
388.3845138,0,0.0000013
388.3932785,0.0000131,0.0000013
388.4020432,0.0000119,0.0000013
388.4107679,0.0000238,0.0000013
388.4195326,0.0000066,0.0000012
388.4282973,0,0.0000014
388.437032,0,0.0000014
388.4457968,0.0000066,0.0000014
388.4545315,0,0.0000014
388.4632862,0,0.0000014
388.4720509,0.0000105,0.0000013
388.4807856,0.0000026,0.0000014
388.4895503,0.0000331,0.0000013
388.498285,0.0000185,0.0000015
388.5070497,0.000012,0.0000015
388.5157744,0,0.0000022
388.5245391,0.0000186,0.0000017
388.5332738,0.000004,0.000002
388.5420385,0.0000146,0.0000013
388.5507732,0,0.0000014
388.5595379,0.0000013,0.0000013
388.5682626,0.0000171,0.0000012
388.5770274,0.0000145,0.0000014
388.5857621,0,0.0000014
388.5945268,0,0.0000015
388.6032615,0.0000079,0.0000014
388.6120262,0.0000066,0.0000014
388.6207509,0.0000013,0.0000013
388.6295156,0.0000066,0.0000014
388.6382503,0.0000026,0.0000014
388.647015,0.0000079,0.0000012
388.6557497,0.0000039,0.0000015
388.6645144,0.0000066,0.0000014
388.6732391,0.0000092,0.0000013
388.6820038,0,0.0000014
388.6907385,0.0000053,0.0000013
388.6994733,0.0000145,0.0000013
388.708238,0.0000013,0.0000014
388.7169627,0.0000039,0.0000014
388.7257274,0,0.0000013
388.7344621,0,0.0000015
388.7431968,0,0.0000013
388.7519615,0.0000105,0.0000015
388.7606962,0,0.0000014
388.7694509,0.0000171,0.0000014
388.7781856,0.0000118,0.0000014
388.7869203,0,0.0000015
388.795685,0,0.0000013
388.8044198,0.0000118,0.0000014
388.8131444,0.0000105,0.0000014
388.8219092,0,0.0000011
388.8306439,0.0000133,0
388.8393786,0,0.0000014
388.8481433,0.0000066,0.0000013
388.856878,0,0.0000009
388.8656027,0.0000119,0.0000014
388.8743674,0,0.0000013
388.8831021,0.0000106,0.0000016
388.8918368,0.000008,0.0000016
388.9005715,0,0.0000017
388.9093363,0.000016,0.0000015
388.918061,0,0.0000015
388.9267957,0.000008,0.0000015
388.9355604,0.0000013,0.0000015
388.9442951,0.0000067,0.000002
388.9530298,0,0.0000015
388.9617545,0,0.0000015
388.9705192,0,0.0000015
388.9792539,0.0000027,0.0000013
388.9879886,0,0.0000015
388.9967233,0.0000067,0.0000014
389.005448,0.0000013,0.0000014
389.0142127,0.0000146,0.0000014
389.0229475,0,0.0000014
389.0316822,0.0000119,0.0000015
389.0404169,0.0000093,0.0000014
389.0491516,0.0000159,0.0000014
389.0579063,0.0000027,0.0000015
389.066641,0,0.0000014
389.0753757,0,0.0000015
389.0841104,0.0000093,0.0000016
389.0928451,0,0.0000015
389.1015698,0,0.0000015
389.1103045,0.00002,0.0000014
389.1190693,0.0000107,0.0000015
389.127804,0,0.0000014
389.1365387,0,0.0000015
389.1452634,0,0.0000015
389.1539981,0.0000145,0.0000015
389.1627328,0.0000052,0.0000016
389.1714675,0,0.0000014
389.1802022,0,0.0000015
389.1889269,0.0000053,0.0000013
389.1976916,0.000004,0.0000006
389.2064263,0.0000052,0.0000014
389.2151611,0,0.0000016
389.2238958,0.0000013,0.0000015
389.2326305,0,0.0000014
389.2413552,0.0000079,0.0000014
389.2500899,0.0000026,0.0000015
389.2588246,0,0.0000008
389.2675593,0.0000013,0.0000007
389.276294,0,0.0000015
389.2850187,0.0000079,0.0000014
389.2937534,0.0000026,0.0000015
389.3024881,0,0.0000015
389.3112228,0.0000066,0.0000017
389.3199576,0,0.0000015
389.3286823,0.0000053,0.0000014
389.337417,0.0000066,0.0000015
389.3461517,0,0.0000015
389.3548864,0,0.0000016
389.3636211,0,0.0000016
389.3723458,0.000004,0.0000016
389.3810805,0.0000132,0.0000014
389.3898152,0.0000093,0.0000016
389.3985499,0.0000093,0.0000016
389.4072847,0.000004,0.0000017
389.4160094,0.0000053,0.0000015
389.4247141,0.0000026,0.0000015
389.4334488,0.000004,0.0000016
389.4421835,0.0000013,0.0000015
389.4509182,0,0.0000016
389.4596429,0.0000026,0.0000015
389.4683776,0.0000158,0.0000016
389.4771123,0,0.0000016
389.485847,0.000004,0.0000015
389.4945818,0,0.0000016
389.5032765,0.0000159,0.0000016
389.5120112,0,0.0000016
389.5207459,0.0000013,0.0000014
389.5294806,0.0000106,0.0000015
389.5382153,0,0.0000016
389.54694,0.0000079,0.0000016
389.5556747,0.0000053,0.0000013
389.5643794,0.0000066,0.0000016
389.5731141,0.000004,0.0000016
389.5818388,0,0.0000016
389.5905736,0,0.0000016
389.5993083,0.0000105,0.0000016
389.608013,0,0.0000016
389.6167477,0.0000143,0.0000015
389.6254724,0,0.0000016
389.6342071,0.000013,0.0000016
389.6429418,0.0000026,0.0000016
389.6516465,0.0000026,0.0000016
389.6603812,0,0.0000016
389.669106,0.0000184,0.0000014
389.6778407,0.0000078,0
389.6865454,0,0.0000013
389.6952801,0,0.0000017
389.7040148,0,0.000002
389.7127095,0,0.0000019
389.7214442,0.0000276,0.0000017
389.7301789,0.0000013,0.0000016
389.7389136,0.0000105,0.0000016
389.7476083,0.0000039,0.0000016
389.7563431,0,0.0000016
389.7650778,0,0.0000017
389.7737825,0.0000105,0.0000017
389.7825172,0,0.0000016
389.7912419,0.0000235,0.0000016
389.7999466,0.0000183,0.0000016
389.8086813,0.0000091,0.0000016
389.817416,0,0.0000016
389.8261207,0,0.0000017
389.8348455,0.0000155,0.0000014
389.8435802,0,0.0000016
389.8522849,0,0.0000017
389.8610196,0.0000143,0.0000016
389.8697143,0.0000013,0.0000017
389.878449,0.0000013,0.0000016
389.8871837,0.0000039,0.0000015
389.8958884,0.0000078,0.0000017
389.9046231,0,0.0000016
389.9133178,0.0000116,0.0000017
389.9220526,0,0.0000016
389.9307873,0,0.0000017
389.939492,0.0000156,0.0000017
389.9482267,0.0000157,0.0000016
389.9569214,0,0.0000017
389.9656561,0.0000065,0.0000017
389.9743608,0,0.0000017
389.9830955,0,0.0000016
389.9917902,0,0.0000017
390.000525,0,0.0000018
390.0092297,0,0.0000016
390.0179644,0.0000103,0.0000018
390.0266591,0.0000026,0.0000016
390.0353938,0.0000013,0.0000017
390.0440985,0.0000013,0.0000016
390.0528332,0.000009,0.0000016
390.0615379,0,0.0000018
390.0702627,0.0000013,0.0000017
390.0789674,0.0000142,0.0000016
390.0877021,0.000013,0.0000017
390.0964068,0.0000052,0.0000017
390.1051315,0.0000117,0.0000017
390.1138362,0.0000052,0.0000016
390.1225709,0.0000105,0.0000017
390.1312756,0.0000013,0.0000018
390.1399803,0,0.0000017
