#Wavelength 	I4 dI3 I2 I1 I0
3.968412641757e+02 1.074785640758e-09 9.911469029993e-10 8.569632041179e-10 7.049745768847e-10 5.904612189244e-10
3.968420280764e+02 1.015331211658e-09 9.406120751331e-10 8.204939747483e-10 6.836685267342e-10 5.800192270758e-10
3.968427408446e+02 9.730980182981e-10 9.045757445632e-10 7.942999647252e-10 6.683154848985e-10 5.727761051924e-10
3.968434105403e+02 9.426752014906e-10 8.786031922482e-10 7.754045282349e-10 6.570784681389e-10 5.667257485110e-10
3.968440439528e+02 9.204116123225e-10 8.594937377307e-10 7.612705347154e-10 6.482542736466e-10 5.615379280396e-10
3.968446468014e+02 9.041285925264e-10 8.454717783098e-10 7.508428781445e-10 6.418141026192e-10 5.585490887694e-10
3.968452239037e+02 8.930765197601e-10 8.360610805519e-10 7.440678210082e-10 6.379841175571e-10 5.568728802110e-10
3.968457793182e+02 8.858405324657e-10 8.298812006111e-10 7.395574168613e-10 6.352755855656e-10 5.554347536786e-10
3.968463164633e+02 8.815790525086e-10 8.261896854132e-10 7.367587690308e-10 6.334227384701e-10 5.542124316921e-10
3.968468382189e+02 8.799263880202e-10 8.246841020953e-10 7.354712444350e-10 6.323351831895e-10 5.531927086868e-10
3.968473599745e+02 8.815790525222e-10 8.261896854281e-10 7.367587690483e-10 6.334227384934e-10 5.542124317317e-10
3.968478971196e+02 8.858405324936e-10 8.298812006415e-10 7.395574168970e-10 6.352755856132e-10 5.554347537594e-10
3.968484525340e+02 8.930765198032e-10 8.360610805987e-10 7.440678210634e-10 6.379841176306e-10 5.568728803354e-10
3.968490296364e+02 9.041285925862e-10 8.454717783747e-10 7.508428782207e-10 6.418141027206e-10 5.585490889408e-10
3.968496324850e+02 9.204116124010e-10 8.594937378158e-10 7.612705348151e-10 6.482542737788e-10 5.615379282627e-10
3.968502658975e+02 9.426752015906e-10 8.786031923565e-10 7.754045283616e-10 6.570784683061e-10 5.667257487923e-10
3.968509355932e+02 9.730980184240e-10 9.045757446992e-10 7.942999648837e-10 6.683154851064e-10 5.727761055405e-10
3.968516483614e+02 1.015331211817e-09 9.406120753034e-10 8.204939749457e-10 6.836685269910e-10 5.800192275028e-10
3.968524122621e+02 1.074785640958e-09 9.911469032140e-10 8.569632043651e-10 7.049745772026e-10 5.904612194476e-10
3.968532368633e+02 1.161352872042e-09 1.064336038992e-09 9.091031013556e-10 7.343751277639e-10 6.047040384323e-10
3.968541335235e+02 1.294273420730e-09 1.175903149964e-09 9.872906237140e-10 7.768011007942e-10 6.230563526098e-10
3.968551157266e+02 1.516294931327e-09 1.359948993352e-09 1.113186699371e-09 8.416684049075e-10 6.484995706278e-10
3.968561994796e+02 1.946008736656e-09 1.708581399503e-09 1.340987814778e-09 9.499193735569e-10 6.846960968012e-10
3.968574037849e+02 2.735903906220e-09 2.432385835580e-09 1.845097471252e-09 1.161683020373e-09 7.370178608802e-10
3.968587512006e+02 3.058614373759e-09 2.979521093468e-09 2.635468936144e-09 1.696743020149e-09 8.185174268862e-10
3.968602685059e+02 2.689011484252e-09 2.745215456841e-09 2.771116375067e-09 2.403200362080e-09 1.002902105348e-09
3.968619874912e+02 2.223412148396e-09 2.281048819881e-09 2.383656654871e-09 2.425656767917e-09 1.517403384009e-09
3.968639458954e+02 1.863551090954e-09 1.887338705743e-09 1.948255444439e-09 2.049227699358e-09 1.842435824294e-09
3.968661885194e+02 1.640545606575e-09 1.630837924853e-09 1.634164239938e-09 1.682939767482e-09 1.710010959175e-09
3.968687685472e+02 1.536025569638e-09 1.500510561455e-09 1.457286833583e-09 1.448407111959e-09 1.491208183482e-09
3.968717491149e+02 1.515652456198e-09 1.460470543592e-09 1.381484359163e-09 1.327430244748e-09 1.353324949544e-09
3.968752051727e+02 1.550347912674e-09 1.478841776736e-09 1.369626159700e-09 1.276758024686e-09 1.290701137914e-09
3.968792256959e+02 1.622576840590e-09 1.536238578572e-09 1.398783741890e-09 1.267022743832e-09 1.267560113879e-09
3.968839163090e+02 1.723950809109e-09 1.623415146435e-09 1.458275402373e-09 1.285007169941e-09 1.262884803235e-09
3.968894024013e+02 1.850939088703e-09 1.736574275536e-09 1.543941419468e-09 1.326538790131e-09 1.269456722578e-09
3.968958328254e+02 2.001877449097e-09 1.874034912755e-09 1.654124651756e-09 1.390763063296e-09 1.286145738786e-09
3.969033842875e+02 2.175649112335e-09 2.034748603483e-09 1.787933485060e-09 1.477550179933e-09 1.313822261426e-09
3.969122665598e+02 2.371309305530e-09 2.217789626757e-09 1.944656977720e-09 1.586733666532e-09 1.353951122534e-09
3.969227286676e+02 2.588462736576e-09 2.422423775253e-09 2.123626402464e-09 1.718091877330e-09 1.408198070251e-09
3.969350662348e+02 2.828064176561e-09 2.648666450315e-09 2.324279770268e-09 1.871478205475e-09 1.478352933784e-09
3.969496302031e+02 3.094027396624e-09 2.898310924802e-09 2.546609575156e-09 2.046953677746e-09 1.566368904662e-09
3.969668371837e+02 3.395057642956e-09 3.176668593308e-09 2.791926351290e-09 2.244861534609e-09 1.674321371433e-09
3.969871817452e+02 3.746406968598e-09 3.494148321940e-09 3.064149943431e-09 2.465898383009e-09 1.804436719754e-09
3.970112510015e+02 4.172451013325e-09 3.868028388179e-09 3.371261981118e-09 2.711393201688e-09 1.959306013911e-09
3.970397419293e+02 4.710759886295e-09 4.324831294194e-09 3.726518940258e-09 2.983896756501e-09 2.141933159652e-09
3.970734819254e+02 5.419489893221e-09 4.903935158865e-09 4.149718846640e-09 3.288223546489e-09 2.355423421461e-09
3.971134532119e+02 6.381907259155e-09 5.661643336549e-09 4.667674250815e-09 3.631634724110e-09 2.601885311466e-09
3.971608218073e+02 7.687692663679e-09 6.665259004290e-09 5.312641224182e-09 4.022176738358e-09 2.879565138725e-09
3.972169719190e+02 9.379330255699e-09 7.962978231860e-09 6.114406046120e-09 4.464884532518e-09 3.178612879123e-09
3.972835467716e+02 1.139916000197e-08 9.539615896803e-09 7.082751434538e-09 4.957821729696e-09 3.479458792700e-09
3.973624970753e+02 1.359212224537e-08 1.129892473147e-08 8.188698843489e-09 5.490514654126e-09 3.757889233514e-09
3.974561385627e+02 1.576600705606e-08 1.309485931247e-08 9.363034777131e-09 6.044240842230e-09 3.994295825570e-09
3.975672202940e+02 1.775930878514e-08 1.478620383678e-08 1.051824811019e-08 6.593915099063e-09 4.180025664314e-09
3.976990057416e+02 1.947630139875e-08 1.627596471057e-08 1.157788466999e-08 7.112704599503e-09 4.317396042178e-09
3.978553690491e+02 2.088629386407e-08 1.752119991807e-08 1.249464128448e-08 7.578394294272e-09 4.415379914199e-09
3.980409093017e+02 2.200438561155e-08 1.852217618467e-08 1.325237158246e-08 7.978072940946e-09 4.484769268232e-09
3.982610861797e+02 2.286989319636e-08 1.930503534452e-08 1.385813864131e-08 8.308950136648e-09 4.535129917870e-09
3.985223809950e+02 2.353015993919e-08 1.990687637140e-08 1.433195088349e-08 8.576053779754e-09 4.573743454759e-09
