#Wavelength 	I4 dI3 I2 I1 I0
3.951712952304e+02 2.074960561962e-08 1.739050202965e-08 1.237018047260e-08 7.461422826665e-09 4.317234045984e-09
3.953345638436e+02 2.082017892531e-08 1.745439023525e-08 1.242056666311e-08 7.492026560994e-09 4.328946237406e-09
3.954325901068e+02 2.261362623428e-08 1.906976275782e-08 1.365858565569e-08 8.156618050130e-09 4.433651563979e-09
3.956527670282e+02 2.179997239308e-08 1.833570361439e-08 1.309611430496e-08 7.860388564679e-09 4.405731321351e-09
3.958383073117e+02 2.072656028968e-08 1.737668206269e-08 1.237533502434e-08 7.489752941022e-09 4.354908251071e-09
3.959946706413e+02 1.935490337762e-08 1.616726806326e-08 1.148972009291e-08 7.047969140490e-09 4.272259881832e-09
3.961264561045e+02 1.767035045760e-08 1.470754016399e-08 1.045564065025e-08 6.548217309438e-09 4.147275581746e-09
3.962375378470e+02 1.570377913734e-08 1.304057909565e-08 9.320555744961e-09 6.013081228980e-09 3.971277637452e-09
3.963311793424e+02 1.355097911666e-08 1.126348226892e-08 8.161206306235e-09 5.469950122512e-09 3.742268279974e-09
3.964101296517e+02 1.137361811570e-08 9.517764427925e-09 7.065690432371e-09 4.944630998848e-09 3.469240161420e-09
3.964767045085e+02 9.364405764510e-09 7.950151014811e-09 6.104125465563e-09 4.456618944335e-09 3.172157962502e-09
3.965328546230e+02 7.679340539577e-09 6.657938534965e-09 5.306530144304e-09 4.017088700294e-09 2.875602522056e-09
3.965802232205e+02 6.377290798040e-09 5.657475192694e-09 4.664046984456e-09 3.628540830061e-09 2.599498486727e-09
3.966201945085e+02 5.416896987943e-09 4.901527270047e-09 4.147557972493e-09 3.286356744993e-09 2.353999757055e-09
3.966539345056e+02 4.709265024047e-09 4.323416654345e-09 3.725226717340e-09 2.982775946613e-09 2.141087135619e-09
3.966824254342e+02 4.171570970808e-09 3.867187208497e-09 3.370487318524e-09 2.710722586585e-09 1.958803339263e-09
3.967064946911e+02 3.745882131838e-09 3.493644446292e-09 3.063684890033e-09 2.465497963284e-09 1.804137107435e-09
3.967268392530e+02 3.394742221283e-09 3.176365417874e-09 2.791646960646e-09 2.244622791373e-09 1.674142262744e-09
3.967440462339e+02 3.093836749401e-09 2.898127787744e-09 2.546441375288e-09 2.046810945488e-09 1.566260385948e-09
3.967586102024e+02 2.827948487672e-09 2.648555516411e-09 2.324178357741e-09 1.871392738655e-09 1.478286808602e-09
3.967709477697e+02 2.588392239889e-09 2.422356329980e-09 2.123565036719e-09 1.718040390139e-09 1.408156966163e-09
3.967814098777e+02 2.371266222536e-09 2.217748524690e-09 1.944619785679e-09 1.586702637247e-09 1.353925792541e-09
3.967902921501e+02 2.175622584232e-09 2.034723345849e-09 1.787910689690e-09 1.477531072282e-09 1.313805678259e-09
3.967978436122e+02 2.001861048422e-09 1.874019330980e-09 1.654110628865e-09 1.390751268547e-09 1.286135088665e-09
3.968042740363e+02 1.850928897686e-09 1.736564615194e-09 1.543932754224e-09 1.326531502060e-09 1.269450065205e-09
3.968097601287e+02 1.723944171620e-09 1.623408809034e-09 1.458269594465e-09 1.285001948197e-09 1.262878926277e-09
3.968144507418e+02 1.622571281598e-09 1.536233008063e-09 1.398778032803e-09 1.267016342479e-09 1.267551079894e-09
3.968184712650e+02 1.550339422481e-09 1.478832649307e-09 1.369615588174e-09 1.276744439194e-09 1.290677685705e-09
3.968219273229e+02 1.515623654792e-09 1.460438197832e-09 1.381444585103e-09 1.327377238454e-09 1.353226302757e-09
3.968249078906e+02 1.535957226150e-09 1.500432996458e-09 1.457188649829e-09 1.448262925257e-09 1.490907010338e-09
3.968274879184e+02 1.640373144098e-09 1.630639754723e-09 1.633907642521e-09 1.682555509126e-09 1.709284428224e-09
3.968297305423e+02 1.863124015062e-09 1.886845647217e-09 1.947610696398e-09 2.048248627771e-09 1.840796156743e-09
3.968316889466e+02 2.222620391941e-09 2.280147297678e-09 2.382522851967e-09 2.424155181852e-09 1.516663944010e-09
3.968334079319e+02 2.686754020863e-09 2.742695306155e-09 2.768163946504e-09 2.400392598822e-09 1.002963815518e-09
3.968349252372e+02 3.056072410385e-09 2.977026792731e-09 2.633442241697e-09 1.696205577024e-09 8.185180457759e-10
3.968362726529e+02 2.735375057622e-09 2.432062927687e-09 1.845039513364e-09 1.161687555031e-09 7.370178581166e-10
3.968374769582e+02 1.946031933149e-09 1.708592187210e-09 1.340989175852e-09 9.499193774130e-10 6.846960954896e-10
3.968385607112e+02 1.516294944424e-09 1.359948995413e-09 1.113186698860e-09 8.416684042326e-10 6.484995696073e-10
3.968395429143e+02 1.294273420384e-09 1.175903149598e-09 9.872906233027e-10 7.768011002856e-10 6.230563518072e-10
3.968404395745e+02 1.161352871783e-09 1.064336038716e-09 9.091031010413e-10 7.343751273661e-10 6.047040377881e-10
