Flare_ID,Filter,NOAA_Region,GOES_Class,Start_Time_UTC,Peak_Time_UTC,End_Time_UTC,Preflare_Intensity,Flare_Peak_Intensity,Quiet_Sun_Intensity,Intensity_Ratio,Peak_Ratio,Flare_Contrast,Enhancement_QS,Fluence,FWHM,Box_Area,Preflare_level
20241101_020500.000,NB08,13878,M1.3,2024-11-01T02:05:00.000,2024-11-01T02:16:00.000,2024-11-01T02:20:00.000,38985464.0,44214408.0,3571.3711848422495,1.134125478152575,1.2374046145536668,0.13412547815257503,0.23740461455366674,1383975514.0739188,7438.0199999809265,10005,1.0946838579046936
20241110_200900.000,NB03,13889,M4.9,2024-11-10T20:09:00.000,2024-11-10T20:21:00.000,2024-11-10T20:34:00.000,183407056.0,286894912.0,3270.478719404072,1.5642523153525785,3.24778247819572,0.5642523153525784,2.24778247819572,41028344075.35226,2200.9030001163483,27010,
20241110_200900.000,NB04,13889,M4.9,2024-11-10T20:09:00.000,2024-11-10T20:21:00.000,2024-11-10T20:34:00.000,206928160.0,289608864.0,4233.129684712855,1.3995623601930254,2.532944607158022,0.39956236019302543,1.5329446071580222,35017870005.3769,2200.7780001163483,27010,
20241110_200900.000,NB08,13889,M4.9,2024-11-10T20:09:00.000,2024-11-10T20:21:00.000,2024-11-10T20:34:00.000,80127568.0,87738928.0,2640.3480107699256,1.0949905281038856,1.230287373651619,0.09499052810388554,0.23028737365161905,3199714023.9118414,2289.661999940872,27010,1.1099749600270914
20241110_115100.000,NB03,13889,M9.4,2024-11-10T11:51:00.000,2024-11-10T12:06:00.000,2024-11-10T12:14:00.000,175191808.0,416522048.0,3989.668124873181,2.3775201178356467,3.5776763781658323,1.3775201178356467,2.5776763781658323,120074269426.79932,910.8450000286102,29181,1.4306600189575371
20241110_115100.000,NB04,13889,M9.4,2024-11-10T11:51:00.000,2024-11-10T12:06:00.000,2024-11-10T12:14:00.000,204436192.0,419365504.0,5311.025444408032,2.0513271153084283,2.7059150048719265,1.0513271153084283,1.7059150048719267,101553085849.16138,911.2679998874664,29181,1.263350873244121
20241110_115100.000,NB08,13889,M9.4,2024-11-10T11:51:00.000,2024-11-10T12:06:00.000,2024-11-10T12:14:00.000,95045496.0,118402600.0,3702.0511420754983,1.2457465633090072,1.1040794164234724,0.2457465633090073,0.10407941642347239,5908681988.53914,2606.0629999637604,28968,
20240603_114900.000,NB03,13697,M3.2,2024-06-03T11:49:00.000,2024-06-03T11:55:00.000,2024-06-03T12:00:00.000,286943264.0,374816032.0,5152.183396464646,1.30623743096475,2.6795200497596054,0.30623743096474987,1.679520049759606,29484154659.016296,2311.6890001296997,27150,
20240603_114900.000,NB04,13697,M3.2,2024-06-03T11:49:00.000,2024-06-03T11:55:00.000,2024-06-03T12:00:00.000,320031520.0,403338176.0,6838.633181818182,1.26030765969552,2.1723519436913006,0.26030765969552,1.1723519436913004,25191182446.711807,2301.7969999313354,27150,
20240603_114900.000,NB08,13697,M3.2,2024-06-03T11:49:00.000,2024-06-03T11:55:00.000,2024-06-03T12:00:00.000,88836896.0,96194464.0,3904.630965909091,1.0828210837082826,0.9074030840335533,0.08282108370828264,-0.09259691596644674,1106769970.444745,2288.4859998226166,27150,
20240711_061700.000,NB04,13738,M1.2,2024-07-11T06:17:00.000,2024-07-11T06:25:00.000,2024-07-11T06:32:00.000,462079264.0,509043264.0,5791.722681515616,1.1016362422183914,1.5037556815534305,0.10163624221839135,0.5037556815534304,16977322149.574589,3275.62099981308,58448,1.2947420813233284
20240711_061700.000,NB03,13738,M1.2,2024-07-11T06:17:00.000,2024-07-11T06:25:00.000,2024-07-11T06:32:00.000,400505328.0,457091936.0,4272.655272529442,1.1412880280084563,1.8303580360210583,0.14128802800845636,0.8303580360210583,18408708697.90925,3293.5350000858307,58448,1.496853931620001
20240711_061700.000,NB08,13738,M1.2,2024-07-11T06:17:00.000,2024-07-11T06:25:00.000,2024-07-11T06:32:00.000,172962720.0,173673536.0,3517.050514080901,1.0041096485994208,0.8448612390358371,0.0041096485994207305,-0.15513876096416285,301588163.1069145,3166.4670000076294,58448,0.8392477511135753
