Flare_ID,Filter,NOAA_Region,GOES_Class,Start_Time_UTC,Peak_Time_UTC,End_Time_UTC,Preflare_Intensity,Flare_Peak_Intensity,Quiet_Sun_Intensity,Intensity_Ratio,Peak_Ratio,Flare_Contrast,Enhancement_QS,Fluence,FWHM,Box_Area,Preflare_level
20240601_082600.000,NB03,13697,X1.4,2024-06-01T08:26:00.000,2024-06-01T08:48:00.000,2024-06-01T08:58:00.000,336735726.4836489,525413074.785941,4315.806944143604,1.5603128312892391,3.675771772340744,0.560312831289239,2.675771772340744,101768600423.49747,7686.174999952316,33120,2.354903764533007
20240601_082600.000,NB04,13697,X1.4,2024-06-01T08:26:00.000,2024-06-01T08:48:00.000,2024-06-01T08:58:00.000,368067555.1268455,559038012.1121935,5679.395041553135,1.518846212672928,2.9591350702422563,0.5188462126729282,1.9591350702422563,105153097849.33835,7480.802999973297,33264,1.949335540044552
20240601_082600.000,NB08,13697,X1.4,2024-06-01T08:26:00.000,2024-06-01T08:48:00.000,2024-06-01T08:58:00.000,113426979.90573236,132164347.6688158,2737.6962205707764,1.165193217510118,1.451291288322737,0.16519321751011812,0.451291288322737,6959526474.949005,7475.746999979019,33264,1.2567176523597319
20240710_152500.000,NB03,13738,M1.0,2024-07-10T15:25:00.000,2024-07-10T15:37:00.000,2024-07-10T15:46:00.000,181180114.152891,250311369.485175,4207.981977506153,1.3815609436803133,2.8686774597766047,0.3815609436803134,1.8686774597766047,39006009227.206635,9003.276999950409,20736,2.08746789864616
20240710_152500.000,NB04,13738,M1.0,2024-07-10T15:25:00.000,2024-07-10T15:37:00.000,2024-07-10T15:46:00.000,200542083.405201,255485615.320909,5652.6368473385855,1.273975072876315,2.179668177027295,0.2739750728763151,1.1796681770272952,31243575696.936256,9002.441999912262,20736,1.7245887759333736
20240710_152500.000,NB08,13738,M1.0,2024-07-10T15:25:00.000,2024-07-10T15:37:00.000,2024-07-10T15:46:00.000,61799196.20053065,63207790.3761566,2800.2259154384788,1.0227930824707694,1.0885604560195343,0.022793082470769336,0.08856045601953441,823069059.4142371,9002.43700003624,20736,1.0739804187362532
20241009_012500.000,NB04,13848,X1.8,2024-10-09T01:25:00.000,2024-10-09T01:56:00.000,2024-10-09T02:43:00.000,416784471.0,670623676.6666666,6550.272911079182,1.6090418989402957,1.9804439097558286,0.6090418989402957,0.9804439097558286,318822707477.87573,9255.046999931335,51696,1.2252135428528352
20241009_012500.000,NB08,13848,X1.8,2024-10-09T01:25:00.000,2024-10-09T01:56:00.000,2024-10-09T02:43:00.000,195514324.5,254434454.0,4097.215752503866,1.3013596556195042,1.2012409979006402,0.30135965561950423,0.20124099790064015,64503573693.58542,9148.615999937057,51696,0.9252796212895376
20241009_012500.000,NB03,13848,X1.8,2024-10-09T01:25:00.000,2024-10-09T01:56:00.000,2024-10-09T02:43:00.000,350382994.5,666545620.0,5631.55128046509,1.9023343896902507,2.289522390783468,0.9023343896902508,1.289522390783468,376844600161.6622,9254.65799999237,51696,1.1945180666454935
20241101_020500.000,NB03,13878,M1.3,2024-11-01T02:05:00.000,2024-11-01T02:16:00.000,2024-11-01T02:20:00.000,76077116.0,124917608.0,3978.9651930445043,1.6419866389256923,3.1108299932860772,0.6419866389256922,2.1108299932860772,16313232151.927635,7532.765999794006,10092,1.9413037179601242
20241101_020500.000,NB04,13878,M1.3,2024-11-01T02:05:00.000,2024-11-01T02:16:00.000,2024-11-01T02:20:00.000,86477764.0,131717816.0,5182.961419753086,1.5231408619677076,2.540092031232394,0.5231408619677077,1.540092031232394,15626318287.51966,7568.292999982834,10005,1.7043937799384592
