Time_sec,Total,CdTe1+2Er
1720584910.397465,0.3,0.0707106781186547
1720584952.967285,0.25,0.0645497224367902
1720584970.397465,0.25,0.0645497224367902
1720585012.967285,0.3833333333333333,0.0799305253885453
1720585030.397465,0.3,0.0707106781186547
1720585072.967285,0.4,0.0816496580927726
1720585090.397465,0.9333333333333332,0.1247219128924647
1720585132.967285,1.4833333333333334,0.15723301886761
1720585150.397465,1.15,0.1384437310486345
1720585192.967285,0.5833333333333333,0.0986013297183269
1720585210.397465,0.4166666666666666,0.0833333333333333
1720585252.967285,0.2833333333333333,0.0687184270936276
1720585270.397465,0.3833333333333333,0.0799305253885453
1720585312.967285,0.2833333333333333,0.0687184270936276
1720585330.397465,0.1833333333333333,0.0552770798392566
1720585372.967285,0.3333333333333333,0.0745355992499929
1720585390.397465,0.35,0.0763762615825973
1720585432.967285,0.2,0.0577350269189625
1720585450.397465,0.2166666666666666,0.0600925212577331
1720585492.967285,0.3666666666666667,0.0781735959970571
1720585510.397465,0.35,0.0763762615825973
1720585552.967285,0.2333333333333333,0.0623609564462323
1720585570.397465,0.2166666666666666,0.0600925212577331
1720585612.967285,0.2666666666666666,0.0666666666666666
1720585630.397465,0.2166666666666666,0.0600925212577331
1720585672.967285,0.1833333333333333,0.0552770798392566
1720585690.397465,0.25,0.0645497224367902
1720585732.967285,0.1833333333333333,0.0552770798392566
1720585750.397465,0.2,0.0577350269189625
1720585792.967285,0.3166666666666666,0.0726483157256779
