time,4-9 keV,10-30 keV
2024-10-31 22:57:55.927000+00:00,8715.25207519395,413.6688094138452
2024-10-31 22:57:58.927000+00:00,8928.97993977725,431.39685789737314
2024-10-31 22:58:01.927000+00:00,8928.97993977725,435.72919750206813
2024-10-31 22:58:04.927000+00:00,8757.757934568943,433.6863381067234
2024-10-31 22:58:07.927000+00:00,8672.693969725207,429.72920775406794
2024-10-31 22:58:10.927000+00:00,8886.474080402257,426.74354887001994
2024-10-31 22:58:13.927000+00:00,8715.25207519395,427.7194201150861
2024-10-31 22:58:16.927000+00:00,8757.757934568943,457.7758719125668
2024-10-31 22:58:19.927000+00:00,8757.757934568943,457.43113899223806
2024-10-31 22:58:22.927000+00:00,8757.757934568943,473.4331814447299
2024-10-31 22:58:25.927000+00:00,8757.757934568943,460.77672100059937
2024-10-31 22:58:28.927000+00:00,8757.757934568943,459.0892295836685
2024-10-31 22:58:31.927000+00:00,8715.25207519395,480.16923427574284
2024-10-31 22:58:34.927000+00:00,8757.757934596946,486.1160764708997
2024-10-31 22:58:37.927000+00:00,8715.25207519395,494.83161258689773
2024-10-31 22:58:40.927000+00:00,8715.25207519395,488.479877153956
2024-10-31 22:58:43.927000+00:00,8757.757934568943,463.44400310509116
2024-10-31 22:58:46.927000+00:00,8886.474080402257,500.55106067649643
2024-10-31 22:58:49.927000+00:00,8928.97993977725,522.2572266259966
2024-10-31 22:58:52.927000+00:00,9014.043904620987,495.80754725130595
2024-10-31 22:58:55.927000+00:00,9184.384073891793,535.626069068825
2024-10-31 22:58:58.927000+00:00,9184.384073891793,566.6831289926279
2024-10-31 22:59:01.927000+00:00,9610.421101886517,581.3491287230537
2024-10-31 22:59:04.927000+00:00,9184.384073891793,624.7467168171224
2024-10-31 22:59:07.927000+00:00,9823.266927081797,622.4558483758589
2024-10-31 22:59:10.927000+00:00,9652.926920571408,627.1223360696448
2024-10-31 22:59:13.927000+00:00,9823.266927081797,643.8516731261201
2024-10-31 22:59:16.927000+00:00,9823.266927081797,617.1149082182873
2024-10-31 22:59:19.927000+00:00,9908.330891925534,641.1894693373631
2024-10-31 22:59:22.927000+00:00,9823.266927081797,624.1222556431112
2024-10-31 22:59:25.927000+00:00,9908.330891925534,674.5615698495446
2024-10-31 22:59:28.927000+00:00,10377.137736000983,653.8537883757523
2024-10-31 22:59:31.927000+00:00,10249.303548208252,695.905485473206
2024-10-31 22:59:34.927000+00:00,10504.707519496018,720.022825238674
2024-10-31 22:59:37.927000+00:00,10483.402343781883,711.6235052766189
2024-10-31 22:59:40.927000+00:00,10739.688313800405,739.0174573261378
2024-10-31 22:59:43.927000+00:00,10590.865559894179,773.5252780913097
2024-10-31 22:59:46.927000+00:00,10995.198404946197,746.6758804320121
2024-10-31 22:59:49.927000+00:00,10995.198404946197,761.1040420531036
2024-10-31 22:59:52.927000+00:00,10739.688313800401,763.1061948139268
2024-10-31 22:59:55.927000+00:00,10823.97639973789,754.1185302733196
2024-10-31 22:59:58.927000+00:00,10739.688313800405,782.5383367537229
2024-10-31 23:00:01.927000+00:00,10995.198404946197,776.8537286121425
2024-10-31 23:00:04.927000+00:00,10995.198404946197,770.1084810891539
2024-10-31 23:00:07.927000+00:00,11336.171061196144,768.1091407138896
2024-10-31 23:00:10.927000+00:00,11463.76700846175,764.0975592929917
2024-10-31 23:00:13.927000+00:00,11463.76700846175,758.1077855426875
2024-10-31 23:00:16.927000+00:00,11463.76700846175,757.4407361347286
2024-10-31 23:00:19.927000+00:00,11463.76700846175,757.1100254057654
2024-10-31 23:00:22.927000+00:00,11463.76700846175,746.114646593613
2024-10-31 23:00:25.927000+00:00,11272.412272133655,773.2138977049573
2024-10-31 23:00:28.927000+00:00,11463.76700846175,694.9503599801567
2024-10-31 23:00:31.927000+00:00,11463.76700846175,739.1044034956731
2024-10-31 23:00:34.927000+00:00,10675.92952477205,690.6144990942023
2024-10-31 23:00:37.927000+00:00,10739.688313800403,710.0164728163563
2024-10-31 23:00:40.927000+00:00,11080.660970050349,665.190965016579
2024-10-31 23:00:43.927000+00:00,11080.66097005035,698.3590609231493
2024-10-31 23:00:46.927000+00:00,10739.688313800405,670.2445500690684
2024-10-31 23:00:49.927000+00:00,10739.688313800405,667.6293290455093
2024-10-31 23:00:52.927000+00:00,10739.688313800405,642.4818496703098
2024-10-31 23:00:55.927000+00:00,10739.688313800405,639.5161590575173
2024-10-31 23:00:58.927000+00:00,10590.865559894179,653.86898644755
2024-10-31 23:01:01.927000+00:00,10590.865559894179,612.8160513241127
2024-10-31 23:01:04.927000+00:00,10483.402343748361,618.8192717233326
2024-10-31 23:01:07.927000+00:00,10398.338378904622,634.186712582807
2024-10-31 23:01:10.927000+00:00,10654.624348956668,628.1948731739334
2024-10-31 23:01:13.927000+00:00,10419.643554685872,641.5271453856419
2024-10-31 23:01:16.927000+00:00,10675.929524737914,615.1533873874973
2024-10-31 23:01:19.927000+00:00,10654.624348956668,615.4857645033827
2024-10-31 23:01:22.927000+00:00,10590.865559894179,609.4881385166487
2024-10-31 23:01:25.927000+00:00,10654.624348956668,624.1905269621827
2024-10-31 23:01:28.927000+00:00,10654.624348956668,661.2348728178898
2024-10-31 23:01:31.927000+00:00,10654.624348956668,647.8973166146855
2024-10-31 23:01:34.927000+00:00,10484.284342446277,626.504291534326
2024-10-31 23:01:37.927000+00:00,10483.40234378188,632.8567711531493
2024-10-31 23:01:40.927000+00:00,10654.624348956668,659.8941253025295
2024-10-31 23:01:43.927000+00:00,10398.338378904624,591.4674396513968
2024-10-31 23:01:46.927000+00:00,10249.303548175481,571.3481047947308
2024-10-31 23:01:49.927000+00:00,10164.239583331744,592.0854091643362
2024-10-31 23:01:52.927000+00:00,10164.239583331744,602.8221330641758
2024-10-31 23:01:55.927000+00:00,10335.46158854005,557.0251741408431
2024-10-31 23:01:58.927000+00:00,10164.239583331744,541.6401116052417
2024-10-31 23:02:01.927000+00:00,9823.266927081797,567.6410061517464
2024-10-31 23:02:04.927000+00:00,9823.266927081797,565.6875883737316
2024-10-31 23:02:07.927000+00:00,10164.239583331744,537.3140875497614
2024-10-31 23:02:10.927000+00:00,9823.266927081797,569.3740167616909
2024-10-31 23:02:13.927000+00:00,9780.761108396908,562.0451862016436
2024-10-31 23:02:16.927000+00:00,9567.862874347462,531.607545852578
2024-10-31 23:02:19.927000+00:00,9652.926920571408,525.5841363270256
2024-10-31 23:02:22.927000+00:00,9738.202880857853,528.2736981708972
2024-10-31 23:02:25.927000+00:00,9567.862874347462,513.2068948744925
2024-10-31 23:02:28.927000+00:00,9525.357055662573,493.548593521041
2024-10-31 23:02:31.927000+00:00,9567.862874347462,525.2726176578972
2024-10-31 23:02:34.927000+00:00,9525.357055662573,501.88168780001115
2024-10-31 23:02:37.927000+00:00,9525.357055662573,472.47933483116395
2024-10-31 23:02:40.927000+00:00,9567.862874378055,493.8784939463058
2024-10-31 23:02:43.927000+00:00,9525.357055662573,492.8725760777021
2024-10-31 23:02:46.927000+00:00,9525.357055662573,453.43649005882804
2024-10-31 23:02:49.927000+00:00,9099.320109048056,488.18661562594093
2024-10-31 23:02:52.927000+00:00,9440.293090818837,499.8276796340161
2024-10-31 23:02:55.927000+00:00,8886.474080402257,474.4806855518871
2024-10-31 23:02:58.927000+00:00,8757.757934568943,466.4412180581953
2024-10-31 23:03:01.927000+00:00,8928.97993977725,441.73601659132095
2024-10-31 23:03:04.927000+00:00,8757.757934568943,438.0672149657518
2024-10-31 23:03:07.927000+00:00,8757.757934568943,412.61944802595684
2024-10-31 23:03:10.927000+00:00,8672.693969725207,431.39996703459036
2024-10-31 23:03:13.927000+00:00,8587.417928058554,420.0473143259028
2024-10-31 23:03:16.927000+00:00,8459.848103839824,398.62972799930697
2024-10-31 23:03:19.927000+00:00,8502.353963214817,404.007227261798
2024-10-31 23:03:22.927000+00:00,8076.369588214883,394.95635573063083
2024-10-31 23:03:25.927000+00:00,8118.875447589877,371.9027322132801
2024-10-31 23:03:28.927000+00:00,8118.875447589877,383.9586706160899
2024-10-31 23:03:31.927000+00:00,8118.875447589877,392.0030800500893
2024-10-31 23:03:34.927000+00:00,7948.53527831907,372.5776780445788
2024-10-31 23:03:37.927000+00:00,7948.535278344485,358.2325143824981
2024-10-31 23:03:40.927000+00:00,7820.965372695125,346.179536818297
2024-10-31 23:03:43.927000+00:00,7820.965372745139,366.234404882909
2024-10-31 23:03:46.927000+00:00,7863.471232095125,362.5677512486209
2024-10-31 23:03:49.927000+00:00,7351.576212563955,339.79633394871803
2024-10-31 23:03:52.927000+00:00,7479.992716470185,327.79637749984704
2024-10-31 23:03:55.927000+00:00,7522.4985758451785,329.76627635950655
2024-10-31 23:03:58.927000+00:00,7479.992716470185,342.84810066217784
2024-10-31 23:04:01.927000+00:00,7394.9287516264485,298.3918860752911
2024-10-31 23:04:04.927000+00:00,7096.172241209828,335.82986466084634
2024-10-31 23:04:07.927000+00:00,7181.236206053565,302.71316528315583
2024-10-31 23:04:10.927000+00:00,7053.666422524939,297.4154569307498
2024-10-31 23:04:13.927000+00:00,7010.561238605675,311.4393396377077
2024-10-31 23:04:16.927000+00:00,6968.055419920785,319.8030389149484
2024-10-31 23:04:19.927000+00:00,6968.055419920785,304.43970425918906
2024-10-31 23:04:22.927000+00:00,6968.055419920785,290.35312048589617
2024-10-31 23:04:25.927000+00:00,7053.666422524939,278.36112785335007
2024-10-31 23:04:28.927000+00:00,6541.985758462519,282.0265919367031
2024-10-31 23:04:31.927000+00:00,6541.985758462519,266.342053095458
2024-10-31 23:04:34.927000+00:00,6478.187744139613,291.6963520049593
2024-10-31 23:04:37.927000+00:00,6478.187744139613,255.3029783566394
2024-10-31 23:04:40.927000+00:00,6392.576741555899,258.9692851710248
2024-10-31 23:04:43.927000+00:00,6307.701253254222,249.61553494131635
2024-10-31 23:04:46.927000+00:00,6265.169270832354,262.3084751764523
2024-10-31 23:04:49.927000+00:00,6137.052408853207,245.921985785128
2024-10-31 23:04:52.927000+00:00,6222.663411457361,250.61143064494985
