time,mode,thresh_area,thresho_tot,exposure,shutter_angle
2024-11-01 02:10:01.309005,2595,179860,566989467.9367865,2000,1.494140625
2024-11-01 02:11:30.109280,2610,181136,570218862.0151343,2000,1.58203125
2024-11-01 02:12:58.909440,2604,179977,566666435.798995,2000,1.58203125
2024-11-01 02:15:54.892875,2649,192020,608284452.425354,1500,1.494140625
2024-11-01 02:17:29.313170,2528,178487,561300707.7121289,2000,1.58203125
2024-11-01 02:19:05.986475,2593,178053,560677959.9140935,2000,1.494140625
2024-11-01 02:20:42.689770,2596,176539,555229113.7214476,2000,1.494140625
2024-11-01 02:22:19.394065,2533,175844,553519969.2993928,2000,1.58203125
2024-11-01 02:23:56.992350,2546,175083,550983556.9689924,2000,1.494140625
2024-11-01 02:25:32.802405,2513,174880,550459093.8184288,2000,1.494140625
2024-11-01 02:27:09.507710,2557,175664,552697665.1509111,2000,1.58203125
2024-11-01 02:28:46.212005,2499,176810,556035271.1045222,2000,1.494140625
