Time (UTC),10.00-30.00 keV
2024-10-09 00:00:10.243,41
2024-10-09 00:01:10.243,48
2024-10-09 00:02:10.243,91
2024-10-09 00:03:10.243,101
2024-10-09 00:04:10.243,18
2024-10-09 00:05:10.243,24
2024-10-09 00:06:10.243,62
2024-10-09 00:07:10.243,38
2024-10-09 00:08:10.243,23
2024-10-09 00:09:10.243,7
2024-10-09 00:10:10.243,10
2024-10-09 00:11:10.243,31
2024-10-09 00:12:10.243,34
2024-10-09 00:13:10.243,13
2024-10-09 00:14:10.243,13
2024-10-09 00:15:10.243,11
2024-10-09 00:16:10.243,15
2024-10-09 00:17:10.243,7
2024-10-09 00:18:10.243,3
2024-10-09 00:19:10.243,6
2024-10-09 00:20:10.243,6
2024-10-09 00:21:10.243,5
2024-10-09 00:22:10.243,32
2024-10-09 00:23:10.243,16
2024-10-09 00:24:10.243,12
2024-10-09 00:25:10.243,6
2024-10-09 00:26:10.243,5
2024-10-09 00:27:10.243,8
2024-10-09 00:28:10.243,15
2024-10-09 00:29:10.243,4
2024-10-09 00:30:10.243,7
2024-10-09 00:31:10.243,5
2024-10-09 00:32:10.243,4
2024-10-09 00:33:10.243,8
2024-10-09 00:34:10.243,10
2024-10-09 00:35:10.243,7
2024-10-09 00:36:10.243,5
2024-10-09 00:37:10.243,2
2024-10-09 00:38:10.243,9
2024-10-09 00:39:10.243,17
2024-10-09 00:40:10.243,58
2024-10-09 00:41:10.243,38
2024-10-09 00:42:10.243,15
2024-10-09 00:43:10.243,28
2024-10-09 00:44:10.243,20
2024-10-09 00:45:10.243,16
2024-10-09 00:46:10.243,18
2024-10-09 00:47:10.243,19
2024-10-09 00:48:10.243,17
2024-10-09 00:49:10.243,19
2024-10-09 00:50:10.243,17
2024-10-09 00:51:10.243,13
2024-10-09 00:52:10.243,17
2024-10-09 00:53:10.243,11
2024-10-09 00:54:10.243,9
2024-10-09 00:55:10.243,52
2024-10-09 00:56:10.243,8
2024-10-09 00:57:10.243,7
2024-10-09 00:58:10.243,8
2024-10-09 00:59:10.243,7
2024-10-09 01:00:10.243,8
2024-10-09 01:01:10.243,7
2024-10-09 01:02:10.243,11
2024-10-09 01:03:10.243,10
2024-10-09 01:04:10.243,6
2024-10-09 01:05:10.243,13
2024-10-09 01:06:10.243,16
2024-10-09 01:07:10.243,12
2024-10-09 01:08:10.243,8
2024-10-09 01:09:10.243,17
2024-10-09 01:10:10.243,41
2024-10-09 01:11:10.243,20
2024-10-09 01:12:10.243,8
2024-10-09 01:13:10.243,8
2024-10-09 01:14:10.243,11
2024-10-09 01:15:10.243,10
2024-10-09 01:16:10.243,10
2024-10-09 01:17:10.243,9
2024-10-09 01:18:10.243,9
2024-10-09 01:19:10.243,12
2024-10-09 01:20:10.243,7
2024-10-09 01:21:10.243,14
2024-10-09 01:22:10.243,8
2024-10-09 01:23:10.243,9
2024-10-09 01:24:10.243,12
2024-10-09 01:25:10.243,11
2024-10-09 01:26:10.243,31
2024-10-09 01:27:10.243,49
2024-10-09 01:28:10.243,89
2024-10-09 01:29:10.243,152
2024-10-09 01:30:10.243,341
2024-10-09 01:31:10.243,744
2024-10-09 01:32:10.243,2811
2024-10-09 01:33:10.243,4155
2024-10-09 01:34:10.243,7613
2024-10-09 01:35:10.243,10586
2024-10-09 01:36:10.243,11667
2024-10-09 01:37:10.243,16415
2024-10-09 01:38:10.243,24340
2024-10-09 01:39:10.243,30587
2024-10-09 01:40:10.243,42969
2024-10-09 01:41:10.243,52899
2024-10-09 01:42:10.243,65231
2024-10-09 01:43:10.243,73275
2024-10-09 01:44:10.243,83170
2024-10-09 01:45:10.243,98973
2024-10-09 01:46:10.243,116683
2024-10-09 01:47:10.243,119783
2024-10-09 01:48:10.243,128169
2024-10-09 01:49:10.243,130241
2024-10-09 01:50:10.243,120033
2024-10-09 01:51:10.243,109215
2024-10-09 01:52:10.243,95490
2024-10-09 01:53:10.243,83149
2024-10-09 01:54:10.243,73949
2024-10-09 01:55:10.243,65063
2024-10-09 01:56:10.243,59345
2024-10-09 01:57:10.243,51634
2024-10-09 01:58:10.243,49311
2024-10-09 01:59:10.243,46838
2024-10-09 02:00:10.243,45437
2024-10-09 02:01:10.243,42981
2024-10-09 02:02:10.243,42030
2024-10-09 02:03:10.243,38437
2024-10-09 02:04:10.243,37690
2024-10-09 02:05:10.243,37397
2024-10-09 02:06:10.243,36165
2024-10-09 02:07:10.243,33693
2024-10-09 02:08:10.243,32138
2024-10-09 02:09:10.243,31820
