case1 2024-06-01 08:26:00.000 2024-06-01 08:48:00.000 X1.4
case2 2024-06-02 04:41:00.000 2024-06-02 04:50:00.000 M1.2
case3 2024-06-02 08:40:00.000 2024-06-02 08:50:00.000 M2.0
case4 2024-07-10 05:44:00.000 2024-07-10 05:59:00.000 M1.5
case5 2024-07-10 12:51:00.000 2024-07-10 13:04:00.000 M1.1
case6 2024-10-09 01:25:00.000 2024-10-09 01:56:00.000 X1.8
case7 2024-11-01 02:05:00.000 2024-11-01 02:16:00.000 M1.3
case8 2024-11-01 14:18:00.000 2024-11-01 14:31:00.000 M2.0
case9 2024-11-13 00:11:00.000 2024-11-13 00:22:00.000 M1.0
case102024-11-13 16:57:00.000 2024-11-13 17:08:00.000 M1.7
