T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.11.12_22:00:00,875.5,285.0,3.132246e+22,43.654,14764.45,8.152551e+23,45.009,0.11144045,52086660000000.0,75.124
2024.11.12_22:12:00,875.5,285.0,3.083324e+22,43.477,14965.31,8.088956e+23,44.907,0.07666805,51465240000000.0,75.904
2024.11.12_22:24:00,875.5,285.0,3.068928e+22,43.642,15048.34,8.125046e+23,45.115,0.0684936,51658240000000.0,76.081
2024.11.12_22:36:00,875.5,285.0,3.064235e+22,43.849,15014.47,8.134673e+23,45.306,0.08904227,51762900000000.0,76.413
2024.11.12_22:48:00,875.5,285.0,3.055496e+22,43.838,15109.41,8.137352e+23,45.027,0.08857369,51674470000000.0,76.484
2024.11.12_23:00:00,875.5,285.0,3.068153e+22,43.617,15162.5,8.129293e+23,44.601,0.03714517,51464750000000.0,76.559
2024.11.12_23:12:00,875.5,285.0,3.079003e+22,43.715,15195.33,8.182614e+23,44.804,0.06778281,51911010000000.0,76.938
2024.11.12_23:24:00,875.5,285.0,3.091366e+22,43.578,15239.56,8.174255e+23,44.22,0.07168548,52304050000000.0,77.971
2024.11.12_23:36:00,875.5,285.0,3.090906e+22,43.272,15302.49,8.127939e+23,43.86,0.13784266,51660400000000.0,77.646
2024.11.12_23:48:00,875.5,285.0,3.090736e+22,43.296,15335.53,8.131429e+23,43.911,0.13006108,51655880000000.0,77.746
2024.11.13_00:00:00,875.5,285.0,3.100146e+22,43.203,15328.57,8.154616e+23,43.479,0.07557485,52075460000000.0,78.18
2024.11.13_00:12:00,875.5,285.0,3.097732e+22,43.164,15410.24,8.154059e+23,43.709,0.08410294,52161780000000.0,78.647
2024.11.13_00:24:00,875.5,285.0,3.121862e+22,43.171,15381.8,8.193763e+23,43.589,0.05234168,52184580000000.0,78.036
2024.11.13_00:36:00,875.5,285.0,3.116071e+22,43.064,15396.73,8.200073e+23,43.423,0.13286316,51686290000000.0,78.171
