Time,AR_total,AR_count_Er,QS_total,QS_count_Er,AR_area,QS_area
2024-11-01T00:24:17.747,533931871.0003351,24356.88063863714,2966310514.5350623,57409.934433908085,20880,103033
2024-11-01T00:25:41.267,533786473.0957656,24353.564035219104,2968690123.0063553,57432.95727296456,20880,103033
2024-11-01T00:27:05.459,532212263.1748554,24317.62651006822,2966124444.6257787,57408.133808389706,20880,103033
2024-11-01T00:28:29.651,531033696.6562972,24290.686295969885,2965959182.145281,57406.53449202143,20880,103033
2024-11-01T00:29:53.844,530372173.3598055,24275.551792785853,2963995217.045291,57387.52494174332,20880,103033
2024-11-01T00:31:19.780,530310240.0173954,24274.13438249299,2966940794.1320395,57416.03332144195,20880,103033
2024-11-01T00:32:49.252,529362514.4563699,24252.43434416819,2961792283.0353703,57366.19487541199,20880,103033
2024-11-01T00:34:18.728,529121019.3984643,24246.901735604722,2960272827.9247837,57351.47801955531,20880,103033
2024-11-01T00:35:48.197,529887729.7551039,24264.46257744724,2961780302.2404475,57366.078848823076,20880,103033
2024-11-01T00:37:17.669,528936267.53048,24242.668250890936,2961803846.5675373,57366.30686084663,20880,103033
2024-11-01T00:38:47.141,528536122.0572834,24233.496607824178,2963121905.396675,57379.06998778363,20880,103033
2024-11-01T00:40:16.613,528519054.7866439,24233.105335622633,2965106643.7477617,57398.28340201049,20880,103033
2024-11-01T00:41:46.857,530259200.21209764,24272.966220150203,2964616987.9769087,57393.54384885027,20880,103033
2024-11-01T00:43:15.558,530243363.79463625,24272.603756192933,2962817790.512679,57376.12541150116,20880,103033
2024-11-01T00:44:45.281,529165643.4341084,24247.924159356367,2959089249.601175,57340.01171957768,20880,103033
2024-11-01T00:46:14.500,530822849.1180301,24285.86349477202,2965658109.2680173,57403.62076528329,20880,103033
2024-11-01T00:47:43.973,528002309.97919774,24221.255816126042,2963088328.9713945,57378.744893242234,20880,103033
2024-11-01T00:49:13.445,529663103.9933572,24259.319033984015,2968959609.405955,57435.56398653243,20880,103033
2024-11-01T00:50:42.917,529450342.2473376,24254.446150192696,2967854619.526085,57424.87478364992,20880,103033
