time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2
2024-11-01T01:58:20.000,2024-11-01T01:58:40.000,9.729744770680682,0.34061441858594144,0.4243706533410858,64.01028070979876,19.29448255568135,23.463759748234665,-14.010914745749265
2024-11-01T01:58:40.000,2024-11-01T01:59:00.000,10.511874618490229,0.4119443323133307,0.7496200117105669,29.631676323449177,12.674406107926906,11.21894612198954,-15.408719000306283
2024-11-01T01:59:00.000,2024-11-01T01:59:20.000,10.180972603602203,0.4518160487248224,0.4608213687907856,33.92077627102475,10.3004318902696,16.40588740627294,-7.611770607744525
2024-11-01T01:59:20.000,2024-11-01T01:59:40.000,9.710003730126614,0.29753119032925035,0.3596532668278112,49.193125450238284,13.438425062046846,14.990663027108823,-7.069354604123777
2024-11-01T01:59:40.000,2024-11-01T02:00:00.000,10.167802665738257,0.2929019081711637,0.40628846343824776,30.80706731902533,8.69227047214276,8.423256281038242,-16.567756467086394
2024-11-01T02:00:00.000,2024-11-01T02:00:20.000,12.16781459600835,2.6022432537323663,1.8676024248915883,10.113939478385,7.158623341805098,46.39652735629834,-15.702399325030953
2024-11-01T02:00:20.000,2024-11-01T02:00:40.000,10.852953596214455,1.4599694459788957,5.750405575076847,17.943893172952226,16.890879583734513,42.950894920635776,-7.006432812036154
2024-11-01T02:00:40.000,2024-11-01T02:01:00.000,11.43776984524051,0.48727493080496487,0.7015382670725216,11.548697925448922,4.222280181501899,4.695867285805333,-9.034386073011321
2024-11-01T02:01:00.000,2024-11-01T02:01:20.000,10.036857893876318,0.3978839396611793,0.4553439457415571,32.162877782134096,9.880411947900907,13.519768572364,-7.848239002842632
2024-11-01T02:01:20.000,2024-11-01T02:01:40.000,10.707271483261085,0.7607591176146062,1.7264191809411535,19.503518506921203,13.468767797881089,15.316122475766853,-7.997259585851097
2024-11-01T02:01:40.000,2024-11-01T02:02:00.000,10.338216198139744,0.4021842651540162,0.3106638335035665,24.649661930644974,5.63910042992174,9.624189125435137,-5.496489597547521
2024-11-01T02:02:00.000,2024-11-01T02:02:20.000,10.078468937688648,0.4672063763576002,0.6967964726908082,30.190670224271418,13.152861362633665,14.457806830541717,-7.62374399743449
