T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.10.08_23:48:00,479.0,329.5,3.137038e+22,53.79,25361.8,1.480508e+24,61.944,-0.2006366,44907430000000.0,57.416
2024.10.09_00:00:00,479.0,329.5,3.147137e+22,53.745,25253.73,1.481511e+24,61.729,-0.14279205,45036970000000.0,57.588
2024.10.09_00:12:00,479.0,329.5,3.155271e+22,53.757,25060.79,1.486667e+24,61.779,-0.12273861,45327030000000.0,57.251
2024.10.09_00:24:00,479.0,329.5,3.160334e+22,53.841,24826.65,1.486625e+24,62.013,-0.09499744,45933400000000.0,57.282
2024.10.09_00:36:00,479.0,329.5,3.172409e+22,53.719,24750.06,1.485851e+24,61.664,-0.10796279,46084180000000.0,57.072
2024.10.09_00:48:00,479.0,329.5,3.164047e+22,53.632,24874.7,1.481276e+24,61.853,-0.16560672,45628290000000.0,57.249
2024.10.09_01:00:00,479.0,329.5,3.167985e+22,53.556,24782.72,1.479287e+24,61.625,-0.126718,46221280000000.0,57.776
2024.10.09_01:12:00,479.0,329.5,3.168912e+22,53.66,24746.71,1.47717e+24,61.944,-0.14940821,45636440000000.0,57.478
2024.10.09_01:24:00,479.0,329.5,3.149769e+22,53.595,24997.21,1.473898e+24,62.001,-0.17345066,45189560000000.0,57.762
2024.10.09_01:36:00,479.0,329.5,3.139389e+22,53.59,25022.66,1.472741e+24,61.837,-0.15007547,44934550000000.0,57.479
2024.10.09_01:48:00,479.0,329.5,3.130173e+22,53.891,24959.79,1.472255e+24,62.249,-0.14422449,45001670000000.0,57.35
2024.10.09_02:00:00,479.0,329.5,3.125001e+22,54.19,24807.4,1.468143e+24,62.954,-0.15544116,45226220000000.0,57.192
2024.10.09_02:12:00,479.0,329.5,3.141629e+22,54.336,24469.88,1.464286e+24,62.935,-0.07636626,45631220000000.0,56.989
2024.10.09_02:24:00,479.0,329.5,3.127101e+22,54.687,24463.79,1.460966e+24,63.472,-0.08636318,45096020000000.0,56.952
2024.10.09_02:36:00,479.0,329.5,3.114667e+22,54.962,24393.37,1.456566e+24,64.045,-0.12704076,44321390000000.0,56.399
