filter2_file,ca_flare_tot_count,ca_flare_tot_area,ca_plage_tot_count,ca_plage_tot_area,qs_threshold,msk_ca_plage_tot_count,msk_ca_plage_tot_area
2024-07-10T13:32:50.632,0.0,0,145639866.6337101,49384,2703.066918927636,106803153.31750482,36252
2024-07-10T13:34:40.137,0.0,0,140080863.37929198,47201,2712.2407551169063,102191785.86187722,34454
2024-07-10T13:36:29.641,0.0,0,139111658.4731662,46891,2710.905077584082,101591100.31260379,34273
2024-07-10T13:38:19.146,0.0,0,138853491.89234656,46925,2697.2105944177847,101795419.53441381,34421
2024-07-10T13:40:08.650,0.0,0,137768105.88521236,46564,2704.047962535301,101065951.02885939,34181
2024-07-10T13:41:58.154,697286.1445406147,200,141633027.61673275,47891,2708.9902678882813,104758890.94072029,35451
2024-07-10T13:43:47.659,0.0,0,138824194.06891274,46820,2700.0726298030204,101903080.01668778,34366
2024-07-10T13:45:37.163,0.0,0,133239317.16584113,45038,2714.6060474920732,97355469.97338673,32865
2024-07-10T13:47:26.667,0.0,0,134675502.96319714,45637,2713.4055011192104,98716217.76030669,33390
2024-07-10T13:49:16.171,0.0,0,133085002.15421796,45199,2699.7630005956594,97359224.05134517,32991
2024-07-10T13:51:05.676,0.0,0,131220074.54126117,44370,2728.211736151803,95726745.3239487,32311
2024-07-10T13:52:55.181,90182.3418211077,30,131977462.73180376,44816,2710.263904753182,96406742.66965152,32750
2024-07-10T13:54:44.684,0.0,0,131011257.72142506,44362,2719.7330297461417,95524144.05066817,32286
2024-07-10T13:56:34.188,0.0,0,124123247.19497097,41933,2709.0684624921096,89361012.9338999,30141
2024-07-10T13:58:23.693,0.0,0,127442012.26888613,43184,2706.198830220451,92345102.47879496,31291
2024-07-10T14:00:13.196,0.0,0,125035117.02202596,42291,2711.4701289103973,89796943.41522434,30310
2024-07-10T14:02:02.700,0.0,0,127288845.23073323,43136,2702.265051714157,92323279.93185128,31239
2024-07-10T14:03:52.203,0.0,0,128865261.97308177,43549,2698.5426268446995,94076204.8154372,31787
2024-07-10T14:05:41.707,0.0,0,128433631.74975613,43360,2693.5144381798054,93668054.25282861,31641
2024-07-10T14:07:31.213,0.0,0,128122856.01461576,42969,2696.7035646693735,94292646.76427367,31627
2024-07-10T14:09:20.716,0.0,0,131715312.97494246,44230,2692.045966462835,97966830.73015459,32946
2024-07-10T14:11:10.220,0.0,0,128701035.474538,43041,2687.328794917944,95125230.13612048,31835
2024-07-10T14:12:59.725,0.0,0,131252636.77825546,43914,2690.952002528922,98108348.42138566,32870
2024-07-10T14:14:49.233,0.0,0,127287625.64776602,42552,2679.6250199852634,94599175.29599354,31641
2024-07-10T14:16:38.734,0.0,0,127998334.03058404,42920,2682.480351186673,94630910.55697851,31724
2024-07-10T14:18:28.241,0.0,0,127701901.64654791,42853,2692.471290140674,94524168.12109257,31721
2024-07-10T14:20:17.742,169745.21196451926,51,125110102.30081367,41860,2688.36082969577,92627908.59438565,30999
2024-07-10T14:22:07.251,697385.7452044685,215,128544319.97186552,43259,2702.2798331890617,95445645.52562761,32128
2024-07-10T14:23:56.751,0.0,0,125922868.17584519,42245,2696.5895535185314,93591786.6528155,31391
2024-07-10T14:25:46.259,0.0,0,128513322.75751688,43198,2689.073822035866,95403097.01337807,32102
2024-07-10T14:27:35.759,23889.416222056323,10,122864848.19297758,41197,2701.768181845458,90631469.71275656,30418
2024-07-10T14:29:25.260,71150.11455724188,22,128030075.94026953,43008,2686.371667787558,94700102.92532583,31834
2024-07-10T14:31:14.766,148288.15583277697,46,126995458.2312908,42636,2688.492874484597,93885404.94862272,31531
2024-07-10T14:33:04.269,0.0,0,127455172.84099917,42785,2698.2853736275833,93788883.83349685,31416
