filter2_file,ca_flare_tot_count,ca_flare_tot_area,ca_plage_tot_count,ca_plage_tot_area,qs_threshold,msk_ca_plage_tot_count,msk_ca_plage_tot_area
2024-07-10T14:34:53.773,53683.949793551925,19,127441430.35874866,42760,2686.556213550384,93494871.81985755,31336
2024-07-10T14:36:43.279,0.0,0,128395769.30399905,43078,2687.143888480824,94624269.10671437,31725
2024-07-10T14:38:32.782,0.0,0,125457000.10018311,42027,2698.353060489061,92019900.80699165,30764
2024-07-10T14:40:22.287,0.0,0,128158054.4219346,43159,2675.834281176162,93589125.0803849,31487
2024-07-10T14:42:11.792,0.0,0,127512603.04535565,42827,2681.562377389176,93302860.2435891,31310
2024-07-10T14:44:01.295,0.0,0,124301661.59404925,41663,2686.1119036723203,90482981.91244327,30303
2024-07-10T14:45:50.800,0.0,0,130302372.97181621,43778,2684.0592019952087,95451990.55683838,32022
2024-07-10T14:47:40.304,0.0,0,128367938.40375154,43184,2684.2150528474876,93838824.90047283,31500
2024-07-10T14:49:29.808,0.0,0,127312111.24616444,42910,2681.0169569068694,92386121.44516137,31025
2024-07-10T14:51:19.313,0.0,0,125136198.58711703,42160,2684.569364463441,91099957.27516595,30583
2024-07-10T14:53:08.817,0.0,0,129219598.554274,43643,2676.976526323204,93866511.446244,31575
2024-07-10T14:54:58.322,0.0,0,123432534.51314133,41477,2693.610812687371,89259258.07528873,29855
2024-07-10T14:56:47.825,0.0,0,128693547.25205483,43281,2673.08999953075,94111140.74239637,31553
2024-07-10T14:58:37.326,0.0,0,125276449.10490663,42085,2686.031684380277,91459218.61192165,30623
2024-07-10T15:00:26.829,0.0,0,129526348.57629013,43555,2675.0425280773866,94361381.42839801,31607
2024-07-10T15:02:16.333,0.0,0,131191650.08084705,44100,2669.663406426312,95611077.79651019,32052
2024-07-10T15:04:05.839,0.0,0,126165906.5911968,42334,2683.946327915442,91210054.23312497,30507
2024-07-10T15:05:55.343,9274.678750459778,3,131594001.17876403,44215,2671.920572029907,95905748.22526418,32119
2024-07-10T15:07:44.847,25758.313641293946,8,127184383.17497064,42750,2680.07835113294,92389358.17960505,30906
2024-07-10T15:09:34.385,904535.8125088161,293,127400830.77435023,43100,2681.2209459596506,92922407.63786004,31291
2024-07-10T15:11:23.890,958370.052433643,304,126028676.33003931,42560,2689.3776212299585,92457617.53186327,31101
2024-07-10T15:13:13.393,471667.4124513563,148,127010713.95985657,42753,2677.7312950611595,93178026.10310407,31296
2024-07-10T15:16:06.791,729933.3487803853,233,122613836.56620897,41063,2705.7353634035594,88982658.69607833,29594
2024-07-10T15:17:44.590,259224.50341019072,82,118690384.92536202,39761,2687.07709216087,85738152.02438755,28504
2024-07-10T15:19:21.188,116599.81316161537,36,120022538.16153185,40385,2694.2298071736914,87097509.04681402,29160
2024-07-10T15:20:58.373,0.0,0,119534712.9898186,40175,2701.7246134334137,87121235.6484785,29137
2024-07-10T15:22:35.557,0.0,0,119606408.68074319,40364,2685.3890254301905,86826406.167031,29101
2024-07-10T15:24:12.741,0.0,0,123204454.61965425,41612,2684.678931915075,89562286.28431393,30059
2024-07-10T15:25:49.926,0.0,0,119236455.46891354,40140,2688.9455705970777,86377539.65692727,28899
2024-07-10T15:27:27.110,0.0,0,123851798.64383939,41756,2685.35027294305,89397822.0738732,29932
2024-07-10T15:29:04.296,12458.868787029316,4,122505507.65814257,41203,2685.026213053683,87027963.79356468,29071
2024-07-10T15:30:41.510,5978286.701249825,2026,122970711.15545829,41409,2689.5615554942574,89707525.7777176,30023
2024-07-10T15:32:18.949,12476731.93105994,4069,123179938.70891961,41569,2682.2335783844246,93060008.09683058,31165
2024-07-10T15:33:56.385,12704060.809033716,4089,120554978.97666276,40666,2684.5019253632026,91255470.51955457,30520
2024-07-10T15:35:28.135,14863239.450862404,4756,120616015.43380074,40683,2686.2293879109907,92592270.76884659,30978
2024-07-10T15:37:17.862,4466830.737213878,1395,131452347.14073767,44170,2679.706660166866,94490051.59733249,31605
2024-07-10T15:39:07.592,334957.6952764055,102,133401206.74131805,44791,2691.7781414648316,93851892.65318127,31358
2024-07-10T15:40:57.320,0.0,0,132257052.03882591,44423,2694.5570256837163,93482137.27376814,31252
2024-07-10T15:42:47.473,0.0,0,131022902.80470593,44104,2698.660398418549,93920990.30328283,31444
2024-07-10T15:44:36.777,0.0,0,129995426.49426258,43735,2712.0867003510307,93957872.87923989,31477
2024-07-10T15:46:26.504,0.0,0,130821728.65512908,44165,2690.5761085368804,94621612.94304012,31830
2024-07-10T15:48:16.233,0.0,0,129151964.9558648,43490,2695.0520104033635,94008127.17110533,31543
2024-07-10T15:50:05.930,8941.09705560048,3,132220371.4641089,44518,2699.045452887234,96434002.4561756,32316
2024-07-10T15:51:55.657,3187.16583410933,1,131773840.2085364,44395,2679.963147344446,96530515.63372335,32375
2024-07-10T15:53:45.354,0.0,0,130394774.4732821,43828,2690.434878297343,95837344.38259189,32060
2024-07-10T15:55:35.486,0.0,0,132433443.52368519,44595,2688.1034328198875,97676417.178472,32760
2024-07-10T15:57:24.714,0.0,0,133091883.97923633,44942,2678.8676351314593,98615080.66845348,33161
2024-07-10T15:59:14.377,0.0,0,130485259.41275027,43846,2688.224924729745,96492356.61430714,32279
2024-07-10T16:01:04.405,0.0,0,131838787.44206905,44295,2685.4829508579855,98214222.12330495,32852
2024-07-10T16:02:53.738,0.0,0,131969298.78470223,44463,2676.3894933075967,98514302.889668,33054
2024-07-10T16:04:43.433,0.0,0,132391349.5745535,44556,2683.5018456974094,99780547.59419014,33510
2024-07-10T16:06:33.160,0.0,0,134488564.46331728,45170,2672.8564644234734,101442468.45658682,33987
2024-07-10T16:08:22.890,0.0,0,131678868.45737092,44319,2672.907768675271,99108463.47168705,33309
2024-07-10T16:10:12.618,0.0,0,130371301.86131364,43860,2672.5246197840534,97399950.62212661,32690
2024-07-10T16:12:02.346,0.0,0,129846900.38214718,43752,2665.0439844623743,96780111.66860422,32532
2024-07-10T16:13:52.748,0.0,0,121469025.33874637,40728,2677.9576615303704,89697356.7406426,29986
2024-07-10T16:15:41.802,0.0,0,125790008.42240994,42127,2674.3569771314837,93391868.4367335,31184
2024-07-10T16:17:31.499,27953.717275368508,9,126084981.08980525,42330,2677.6082250312957,92889383.99042584,31064
2024-07-10T16:19:21.196,744114.1976158434,240,124746259.77161093,41801,2676.898126751754,91607022.1059331,30604
2024-07-10T16:19:21.196,744114.1976158434,240,124746259.77161093,41801,2676.898126751754,91607022.1059331,30604
