filter2_file,flare_tot_count,flare_tot_area,plage_tot_count,plage_tot_area,qs_threshold,msk_plage_tot_count,msk_plage_tot_area
2024-07-10T13:32:50.632,0.0,0,477547360.8811424,49482,3935.1880698787436,342493101.5534164,36350
2024-07-10T13:34:40.137,0.0,0,453803754.62991333,47268,3972.127400060438,323677281.77068347,34521
2024-07-10T13:36:29.641,0.0,0,445528640.68691146,46891,3942.421633549406,317846466.207598,34273
2024-07-10T13:38:19.146,0.0,0,445088009.83759767,46986,3948.6249027596755,319233525.4652014,34482
2024-07-10T13:40:08.650,0.0,0,444754402.7015317,46617,3974.35749375877,318806323.49175817,34234
2024-07-10T13:41:58.154,3236153.584293322,200,456318197.3086742,47923,3937.67887107362,330576929.92801934,35483
2024-07-10T13:43:47.659,0.0,0,444187497.3988552,46849,3947.8282072253114,319973064.5358669,34395
2024-07-10T13:45:37.163,0.0,0,427926768.63480204,45091,3967.3458480366908,307850771.5507066,32918
2024-07-10T13:47:26.667,0.0,0,429043807.9839843,45637,3935.977818296584,309602010.402436,33390
2024-07-10T13:49:16.171,0.0,0,424263918.1080098,45268,3954.233272060468,305387415.2848887,33060
2024-07-10T13:51:05.676,0.0,0,417736033.8664484,44456,3977.1982403731417,299366743.75626445,32397
2024-07-10T13:52:55.181,479722.87665889936,30,422099899.1970387,44985,3958.7704663219592,303474144.0482825,32919
2024-07-10T13:54:44.684,0.0,0,419694611.891591,44414,3975.5441575992095,301060020.0631399,32338
2024-07-10T13:56:34.188,0.0,0,396385433.00910485,42065,3988.6906866389895,282039076.70168585,30273
2024-07-10T13:58:23.693,0.0,0,403935616.3150229,43195,3952.439972742189,288816365.9580873,31302
2024-07-10T14:00:13.196,0.0,0,395664365.9672811,42291,3967.7483197342044,280702476.21039987,30310
2024-07-10T14:02:02.700,0.0,0,403770310.50536203,43136,3964.6865461369985,288716903.4497149,31239
2024-07-10T14:03:52.203,0.0,0,406447825.2863992,43549,3938.4233179034063,292609454.8984974,31787
2024-07-10T14:05:41.707,0.0,0,406073231.33852077,43372,3949.6603680636786,292702602.1713176,31653
2024-07-10T14:07:31.213,0.0,0,403755201.1770946,42991,3969.2026341276924,294251904.27648985,31649
2024-07-10T14:09:20.716,0.0,0,412810413.97612566,44230,3929.4798739717535,304123479.6503423,32946
2024-07-10T14:11:10.220,0.0,0,404666074.4568626,43041,3956.6845291056607,296600348.8904602,31835
2024-07-10T14:12:59.725,0.0,0,413952405.7604849,44001,3941.1872231953175,307248211.0471907,32957
2024-07-10T14:14:49.233,0.0,0,399049197.2011509,42552,3956.9167655119113,294625203.9501411,31641
2024-07-10T14:16:38.734,0.0,0,402088153.24728906,42941,3943.6417909465877,294249866.2022992,31745
2024-07-10T14:18:28.241,0.0,0,403470802.21808195,42912,3959.527188293574,294946426.2502472,31780
2024-07-10T14:20:17.742,824050.6095737545,51,398271508.94605047,41860,3987.8658030908973,290835191.2706137,30999
2024-07-10T14:22:07.251,3513492.021608633,215,410419697.5713184,43328,3956.8847875234746,299690582.0311884,32197
2024-07-10T14:23:56.751,0.0,0,400248491.2619262,42310,3982.704017483596,292800061.27949214,31456
2024-07-10T14:25:46.259,0.0,0,405750873.8941967,43263,3937.4275697071166,296088684.6926879,32167
2024-07-10T14:27:35.759,205023.2701246534,10,389948771.0065441,41213,3999.4690282941674,283364887.95012957,30434
2024-07-10T14:29:25.260,349506.1078406576,22,404387510.6265408,43072,3938.5407507469167,295413919.24011153,31898
2024-07-10T14:31:14.766,741748.4298557856,46,404104534.14184827,42636,3955.814902528711,295546245.22023827,31531
2024-07-10T14:33:04.269,0.0,0,406496508.42438227,42805,3960.5826076643452,294435676.4681245,31436
2024-07-10T14:34:53.773,304789.0626284388,19,404905090.2324625,42850,3962.650827870849,292591012.04607767,31426
2024-07-10T14:36:43.279,0.0,0,404997851.4842157,43111,3943.3432568911844,294698386.40368,31758
2024-07-10T14:38:32.782,0.0,0,395004591.7818647,42027,3976.7831491603574,284938802.95958126,30764
2024-07-10T14:40:22.287,0.0,0,403490104.01452965,43231,3938.789798923136,288981198.752,31559
2024-07-10T14:42:11.792,0.0,0,400333510.84128356,42827,3948.0622008569517,287619569.2934452,31310
2024-07-10T14:44:01.295,0.0,0,391215863.14493537,41819,3984.174744822113,280717413.5724363,30459
2024-07-10T14:45:50.800,0.0,0,409732195.7921574,44058,3928.194267697417,296069535.8265236,32302
2024-07-10T14:47:40.304,0.0,0,401389838.767805,43253,3929.049982696053,289208602.514279,31569
2024-07-10T14:49:29.808,0.0,0,401014004.5651728,42946,3930.365027812528,285615102.28328156,31061
2024-07-10T14:51:19.313,0.0,0,391849221.4064174,42232,3934.408672189079,280951915.3730523,30655
2024-07-10T14:53:08.817,0.0,0,406005154.8758767,43678,3896.6133647292518,290944785.8446542,31610
2024-07-10T14:54:58.322,0.0,0,387515404.42626035,41477,3955.215736675746,276473828.63941526,29855
2024-07-10T14:56:47.825,0.0,0,404594734.3340329,43470,3891.859671437584,292426389.93245447,31742
2024-07-10T14:58:37.326,0.0,0,395158225.4711836,42085,3941.0911370157387,284448864.44345737,30623
2024-07-10T15:00:26.829,0.0,0,413169230.85398823,43749,3913.8721637951844,296498922.6027311,31801
2024-07-10T15:02:16.333,0.0,0,416428788.5947144,44207,3898.390599875983,298473143.56705105,32159
2024-07-10T15:04:05.839,0.0,0,405937596.44715065,42578,3948.015665973182,288308721.7114914,30751
2024-07-10T15:05:55.343,46978.67465653753,3,420456291.41732806,44553,3896.1054305615694,302869140.9554536,32457
2024-07-10T15:07:44.847,127170.2185027112,8,407737304.52644354,42977,3930.941670278617,292993476.3299311,31133
2024-07-10T15:09:34.385,4964095.182443614,293,408019049.7851014,43211,3920.575391737529,293057568.6139653,31402
2024-07-10T15:11:23.890,5187768.086929241,304,402992661.72193986,42674,3931.695050442748,290788794.9847789,31215
2024-07-10T15:13:13.393,2418468.184270394,148,405006320.59836996,42777,3917.9052346529243,292485499.6082607,31320
2024-07-10T15:16:06.791,3877641.819739243,233,385860699.8827914,41063,3921.4966895672896,276227004.40782565,29594
2024-07-10T15:17:44.590,1321988.963954349,82,375633559.8547491,39761,3951.5240046449208,267387775.3963719,28504
2024-07-10T15:19:21.188,576580.8044425938,36,380856571.234467,40385,3944.001835307086,273794688.5441361,29160
2024-07-10T15:20:58.373,0.0,0,379703597.1728276,40175,3954.836778067302,274131840.7951424,29137
2024-07-10T15:22:35.557,0.0,0,380405680.9383462,40364,3948.8838026722874,272896564.79185164,29101
2024-07-10T15:24:12.741,0.0,0,393803450.5774082,41612,3932.8212114171893,282689093.19350666,30059
2024-07-10T15:25:49.926,0.0,0,383271541.4512759,40140,3973.2444498731425,273425332.65907997,28899
2024-07-10T15:27:27.110,0.0,0,400630315.3612973,41756,3937.676932773097,281898614.4106023,29932
2024-07-10T15:29:04.296,63961.64849337613,4,401410749.6080428,41203,3965.078791416196,273427213.2124601,29071
2024-07-10T15:30:41.510,36531365.311961256,2026,408454316.6077036,41409,3941.9126125201806,282253713.12595814,30023
2024-07-10T15:32:18.949,77418507.66637337,4069,411287660.51074576,41569,3944.808456250357,295770758.3626067,31165
2024-07-10T15:33:56.385,76763297.3841044,4089,401092833.6371193,40666,3956.877190638993,289296566.7918613,30520
2024-07-10T15:35:28.135,86100190.26161043,4756,398485459.5381534,40683,3950.6546713046896,291975676.8678873,30978
2024-07-10T15:37:17.862,23306489.55744412,1395,442447252.9676049,44170,3937.6788291408006,298621096.7690605,31605
2024-07-10T15:39:07.592,1638902.9434664068,102,444275017.0167279,44791,3943.323164389635,295550607.2398073,31358
2024-07-10T15:40:57.320,0.0,0,435951529.84759325,44423,3917.1400150328654,294292763.2592676,31252
2024-07-10T15:42:47.473,0.0,0,431326199.96458983,44104,3945.2170168225384,298493785.46013165,31444
2024-07-10T15:44:36.777,0.0,0,424877657.9273438,43735,3939.7783773567453,299140061.892289,31477
2024-07-10T15:46:26.504,0.0,0,428078195.1867824,44165,3908.8517859316335,302453895.6919845,31830
2024-07-10T15:48:16.233,0.0,0,422723281.7420612,43490,3939.663442977883,302024496.4841663,31543
2024-07-10T15:50:05.930,47001.04887711625,3,430218868.25004053,44518,3902.4316588779593,307460469.4280789,32316
2024-07-10T15:51:55.657,15673.248890481857,1,427215327.62704706,44395,3916.7208091872303,308553332.56304944,32375
2024-07-10T15:53:45.354,0.0,0,419515531.60349905,43828,3917.0291721957055,305382603.21442705,32060
2024-07-10T15:55:35.486,0.0,0,424619367.20682585,44595,3908.459246525058,310395755.52643615,32760
2024-07-10T15:57:24.714,0.0,0,425318290.36314625,44942,3889.422902541988,313315529.0801205,33161
2024-07-10T15:59:14.377,0.0,0,415002563.80346584,43846,3922.5238932820653,305375107.18482405,32279
