filter2_file,flare_tot_count,flare_tot_area,plage_tot_count,plage_tot_area,qs_threshold,msk_plage_tot_count,msk_plage_tot_area
2024-07-10T16:01:04.405,0.0,0,416434044.6545334,44295,3899.716909520434,309634065.10020643,32852
2024-07-10T16:02:53.738,0.0,0,417659011.64411235,44463,3896.581639915524,312957597.7196693,33054
2024-07-10T16:04:43.433,0.0,0,419894434.7197678,44556,3906.426819919663,318855505.9285463,33510
2024-07-10T16:06:33.160,0.0,0,424961410.9431972,45170,3892.3209862612343,322010994.21663,33987
2024-07-10T16:08:22.890,0.0,0,414307343.30932605,44319,3894.3142831873124,312835066.04340136,33309
2024-07-10T16:10:12.618,0.0,0,410143730.7899705,43860,3911.8448843003684,306328404.0567221,32690
2024-07-10T16:12:02.346,0.0,0,405197494.32631737,43752,3874.2696219750155,300963192.0429265,32532
2024-07-10T16:13:52.748,0.0,0,380820088.88762033,40728,3928.776378943437,280483303.3642368,29986
2024-07-10T16:15:41.802,0.0,0,393000735.7989573,42127,3894.2303447087247,291271723.04013693,31184
2024-07-10T16:17:31.499,141053.42731702657,9,397966998.2521674,42330,3902.6682682430333,291866784.39682865,31064
2024-07-10T16:19:21.196,4018328.314283451,240,395079047.1420163,41801,3920.689532100962,288433778.39051443,30604
2024-07-10T16:19:21.196,4018328.314283451,240,395079047.1420163,41801,3920.689532100962,288433778.39051443,30604
