filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS area
2024-10-31T23:31:11.771,13132083.3748279,2669.75556948271,4173,17920
2024-10-31T23:32:36.250,12914891.5364934,2658.20522607512,4173,17920
2024-10-31T23:34:00.732,12822767.1290695,2651.95486189865,4173,17920
2024-10-31T23:35:25.212,12856475.2935254,2657.81470066159,4173,17920
2024-10-31T23:36:49.692,12982335.0658946,2656.36808362279,4173,17920
2024-10-31T23:38:14.171,12945110.9778616,2659.52456715104,4173,17920
2024-10-31T23:39:38.653,12926844.9477879,2665.36094774785,4173,17920
2024-10-31T23:41:03.133,13052284.2414867,2643.75207690721,4173,17920
2024-10-31T23:42:27.612,13019183.5006567,2655.42619955158,4173,17920
2024-10-31T23:43:52.932,12972938.477347,2635.35216257892,4173,17920
2024-10-31T23:45:16.571,12924493.1896605,2635.40987641174,4173,17920
2024-10-31T23:46:41.507,12906528.456037,2642.29857584861,4173,17920
2024-10-31T23:48:05.532,12956578.9490187,2628.52677202173,4173,17920
2024-10-31T23:49:30.163,12931802.615356,2636.63435982575,4173,17920
2024-10-31T23:50:54.492,12863749.9082494,2650.89109328253,4173,17920
2024-11-01T00:24:37.920,13481588.6685078,2720.44637672676,4173,18048
2024-11-01T00:26:02.113,13381116.7599448,2719.1696644453,4173,18048
2024-11-01T00:27:26.305,13267733.454431,2720.85398743429,4173,18048
2024-11-01T00:28:50.497,13123887.1838948,2700.18401700206,4173,18048
2024-11-01T00:30:14.689,13094456.5881859,2688.72891967696,4173,18048
2024-11-01T00:31:42.417,13187661.919763,2696.09271986988,4173,18048
2024-11-01T00:33:11.888,13050178.7018249,2703.51651510289,4173,18048
2024-11-01T00:34:41.361,13062540.4604992,2684.62074518156,4173,18048
2024-11-01T00:36:10.834,13034943.2495853,2698.04965603762,4173,18048
2024-11-01T00:37:40.306,13036177.0308051,2682.82450719774,4173,18048
2024-11-01T00:39:09.778,13107228.4914156,2686.6763464107,4173,18048
2024-11-01T00:40:39.250,13019852.0592144,2682.96375915056,4173,18048
2024-11-01T00:42:08.723,13029756.2874681,2709.50678051313,4173,17920
2024-11-01T00:43:38.195,12888029.7754153,2667.54192918683,4173,18048
2024-11-01T00:45:07.667,12911630.9591745,2678.23137013694,4173,18048
2024-11-01T00:46:37.139,12892995.8021577,2677.21321829756,4173,18048
2024-11-01T00:48:06.611,12896185.4043161,2677.39158130414,4173,18048
2024-11-01T00:49:36.839,13003784.847919,2691.36342129714,4173,18048
2024-11-01T00:51:05.556,12923901.3246924,2673.02471846311,4173,18048
2024-11-01T00:52:35.334,12912248.0372858,2688.8518194024,4173,18048
2024-11-01T00:54:04.501,12814636.8093752,2698.81457180927,4173,18048
2024-11-01T00:55:33.973,12849178.7258139,2672.23031476795,4173,18048
2024-11-01T00:57:03.444,12856834.9964825,2676.97464095275,4173,18048
2024-11-01T00:58:32.917,12920215.0762657,2700.8766977946,4173,18048
2024-11-01T01:01:31.604,12921390.5191717,2672.00476227999,4173,18048
2024-11-01T01:03:00.820,12981472.8789738,2682.10906362147,4173,18048
2024-11-01T01:04:30.413,12993603.3432341,2697.44447769824,4173,18048
2024-11-01T01:05:59.317,12969602.6313571,2672.96177592985,4173,18048
2024-11-01T01:07:28.565,12987340.8274384,2666.44576680265,4173,18048
2024-11-01T01:08:57.814,12937340.7362974,2681.5297300299,4173,18048
2024-11-01T01:10:27.933,12912804.8607254,2678.40929794581,4173,18048
2024-11-01T01:11:56.342,12915110.30863,2664.63292147482,4173,18048
2024-11-01T01:13:25.591,12844731.2413232,2671.20737863014,4173,18048
2024-11-01T01:14:54.871,12826460.4232803,2679.47044380516,4173,18048
2024-11-01T01:16:24.118,12812728.4384838,2676.62345660689,4173,18048
2024-11-01T01:17:53.367,12778928.8057899,2667.44312959083,4173,18048
2024-11-01T01:19:22.616,12860406.7422602,2669.28792724157,4173,18048
2024-11-01T01:20:51.863,12824622.7411135,2680.1137232126,4173,18048
2024-11-01T01:22:21.112,12852400.2488708,2666.36232643024,4173,18048
2024-11-01T01:23:50.328,12942862.4342304,2666.83167710099,4173,18048
2024-11-01T01:25:19.544,12937521.0506451,2681.23059397725,4173,18048
2024-11-01T01:26:48.793,12914890.9950176,2666.67445824055,4173,18048
2024-11-01T01:28:18.917,12998149.092168,2661.3954033088,4173,18048
2024-11-01T01:29:47.224,13020123.5073936,2659.4251556247,4173,18048
2024-11-01T01:31:16.314,12929100.3442477,2647.38653332682,4173,18048
2024-11-01T01:32:45.403,12896212.5829991,2656.36344475138,4173,18048
2024-11-01T01:34:14.488,12928883.7167382,2637.95991335566,4173,18048
2024-11-01T01:35:43.576,13053196.4137647,2647.64386168791,4173,18048
2024-11-01T01:37:12.665,12940482.0392774,2653.39879111899,4173,18048
2024-11-01T01:38:41.753,12913262.909556,2651.93677201268,4173,18048
2024-11-01T01:40:10.841,12949092.9252544,2643.46960001569,4173,18048
2024-11-01T01:41:39.929,12958932.9531097,2665.27362316676,4173,18048
2024-11-01T01:43:09.175,12919055.4422878,2663.34988939773,4173,18048
2024-11-01T01:44:38.106,12829109.0935069,2644.71838525141,4173,18048
2024-11-01T01:46:07.194,12948211.4435442,2654.02375720345,4173,18048
2024-11-01T01:47:36.283,12907909.4773019,2658.72507909374,4173,18048
2024-11-01T01:49:05.371,12834971.2336902,2637.75964184054,4173,18048
2024-11-01T01:50:34.459,12815392.160419,2642.40859409023,4173,18048
2024-11-01T01:52:03.548,12838525.0889358,2642.85846334122,4173,18048
2024-11-01T01:53:32.635,12791296.0886049,2645.17450506348,4173,18048
2024-11-01T01:55:01.724,12790920.7570223,2631.36122133999,4173,18048
2024-11-01T01:56:30.813,12980343.0336203,2625.32929521143,4173,18048
2024-11-01T01:57:59.900,12802539.22888,2638.81476407031,4173,18048
2024-11-01T01:59:28.988,12790075.5455008,2635.65874379059,4173,18048
2024-11-01T02:00:57.917,12804894.9501009,2620.7511180705,4173,18048
2024-11-01T02:02:26.750,12730337.4315637,2637.46827199766,4173,18048
2024-11-01T02:03:55.582,12791892.4391923,2644.75917925391,4173,18048
2024-11-01T02:05:24.414,12837636.067758,2631.34762065411,4173,18048
2024-11-01T02:06:53.246,12813474.5900957,2640.50671636495,4173,18048
2024-11-01T02:08:22.787,12939858.8213579,2655.64179033301,4173,18048
2024-11-01T02:09:50.909,13068511.5341189,2652.2077904962,4173,18048
2024-11-01T02:11:19.708,13272575.2006728,2642.75956208252,4173,18048
2024-11-01T02:12:48.509,13528615.6784772,2651.55245877171,4173,18048
2024-11-01T02:15:45.133,15604697.6258257,2676.05270459892,4173,18048
2024-11-01T02:17:19.451,14869916.1913482,2642.33754661937,4173,18048
2024-11-01T02:18:55.714,13998561.4685738,2641.60553876675,4173,18048
2024-11-01T02:20:32.418,13691294.563719,2638.3957535839,4173,18048
2024-11-01T02:22:09.122,13522067.4582635,2627.38500114076,4173,18048
2024-11-01T02:23:45.827,13359644.0663034,2625.73521506657,4173,18048
2024-11-01T02:25:22.531,13242764.2370189,2635.25439529652,4173,18048
2024-11-01T02:26:59.235,13187290.7990288,2621.55624146942,4173,18048
2024-11-01T02:28:35.940,13109145.9075304,2622.44339096169,4173,18048
