date_time,suit_coun
2024-07-10T13:42:07,92143011.37402344
2024-07-10T13:54:53,58337244.6328125
2024-07-10T14:04:01,40143818.05957031
2024-07-10T14:13:08,57866550.55078125
2024-07-10T14:22:16,74708015.58496094
2024-07-10T14:31:23,40890222.12402344
2024-07-10T14:35:02,36943821.30175781
2024-07-10T14:40:31,31589214.263671875
2024-07-10T14:45:59,14488358.408203125
2024-07-10T14:56:56,32372909.759765625
2024-07-10T15:07:53,70266422.25097656
2024-07-10T15:11:32,58821216.22167969
2024-07-10T15:14:20,46694453.07910156
2024-07-10T15:20:49,49564098.28515625
