time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7
2024-10-08 23:30:06.638,2.900793,21795416,12017828,8401586,2152150,8413119,5159932,4896056
2024-10-08 23:30:18.630,2.900792,21790568,12020400,8406343,2145715,8400040,5166323,4897466
2024-10-08 23:30:30.622,2.900796,21785166,12016144,8409279,2137571,8393436,5165879,4904236
2024-10-08 23:30:42.622,2.900794,21790410,12001998,8410410,2133666,8386080,5174216,4899884
2024-10-08 23:30:54.622,2.900791,21790562,12018709,8413005,2126877,8385257,5166718,4901817
2024-10-08 23:31:06.622,2.900792,21790464,12019633,8402218,2125303,8375101,5169335,4898033
2024-10-08 23:31:18.622,2.900796,21778616,12023435,8405510,2123427,8379497,5164080,4899459
2024-10-08 23:31:30.622,2.900792,21782136,12029805,8411827,2122557,8382130,5159642,4900153
2024-10-08 23:31:42.622,2.900792,21783648,12022627,8402173,2115821,8367647,5162691,4896879
2024-10-08 23:31:54.622,2.900791,21786996,12022665,8409625,2116681,8367820,5156455,4904140
2024-10-08 23:32:06.630,2.90079,21801624,12018380,8410046,2118970,8366929,5155286,4894216
2024-10-08 23:32:18.622,2.900791,21824688,12008922,8406199,2124986,8352771,5153778,4891722
2024-10-08 23:32:30.622,2.900789,21822890,12015978,8397096,2118394,8352069,5162384,4894633
2024-10-08 23:32:42.622,2.900788,21840968,12015528,8400709,2112650,8342359,5154309,4892752
2024-10-08 23:32:54.622,2.900789,21881900,12005655,8412734,2115295,8349754,5153443,4888249
2024-10-08 23:33:06.622,2.900788,21892384,12007407,8407420,2115851,8340152,5154985,4889251
2024-10-08 23:33:18.622,2.900788,21928648,12008555,8410684,2113610,8335351,5153639,4888455
2024-10-08 23:33:30.622,2.900786,21972664,12015885,8413145,2111277,8323928,5151158,4886771
2024-10-08 23:33:42.622,2.900788,22043308,12002143,8411296,2115107,8308734,5154285,4893794
2024-10-08 23:33:54.622,2.900788,22086626,12003334,8413323,2109959,8310673,5155281,4895190
