#Time_sec,diff_count,Diff_error
1720584925.778705,334930.998779297,1746.17502246518
1720585017.490865,1569465.85498047,3544.23799713236
1720585109.20316,3683003.21630859,4933.28780245793
1720585200.915445,6320257.17749023,5971.6798752567
1720585292.627605,4618026.4375,5492.7897944631
1720585384.3399,3564575.92211914,4925.40829600877
1720585476.5093498,2354841.52661133,4436.11723556936
1720585567.76422,1941228.38818359,3991.14441345789
1720585659.474515,1674608.42333984,3900.20371015762
1720585751.217675,2206066.43286133,4222.44749281525
