date,mean
2024-05-15 23:13:56,7845.121862
2024-05-16 12:06:26,8364.089078
2024-05-17 14:19:48,8655.058748
2024-05-18 08:55:39,8208.757912
2024-05-20 21:52:47,6783.383194
2024-05-21 03:22:45,6833.437714
2024-05-22 19:31:20,8148.484942
2024-05-24 22:40:21,6671.34895
2024-05-25 16:33:59,6866.77495
2024-05-26 14:45:20,6895.166292
2024-05-27 03:33:40,7621.06494140625
2024-05-28 06:20:14,6489.50222
2024-05-30 09:40:33,6619.714068
2024-05-31 20:49:53,6630.28955078125
2024-06-01 12:51:34,6496.33154296875
2024-06-02 21:26:10,6307.58984375
2024-06-03 23:38:33,6729.85498046875
2024-06-04 19:17:09,7002.11865234375
2024-06-05 13:20:13,6601.57763671875
2024-06-06 19:32:05,6209.9111328125
2024-06-07 03:33:19,6182.87255859375
2024-06-08 00:06:53,6139.7783203125
2024-06-09 22:36:59,6185.83251953125
2024-06-10 08:26:27,6268.70263671875
2024-06-11 17:33:04,6301.81201171875
2024-06-12 09:53:45,6327.98291015625
2024-06-13 04:47:58,6483.0078125
2024-06-14 13:37:42,6495.0244140625
2024-06-15 08:43:47,6301.14306640625
2024-06-16 01:44:59,6148.55322265625
2024-06-17 03:23:29,6479.74853515625
2024-06-18 01:34:50,6690.150390625
2024-06-19 10:42:37,6018.4423828125
2024-06-20 04:58:18,8421.177734375
2024-06-21 22:40:52,5868.94287109375
2024-06-22 09:01:55,5822.9775390625
2024-06-23 20:04:41,5785.640625
2024-06-25 19:25:48,6832.37646484375
2024-06-26 11:29:56,6608.28466796875
2024-06-27 07:14:16,6004.11181640625
2024-06-28 08:58:14,6175.10205078125
2024-06-29 08:23:17,6076.427734375
2024-06-30 11:46:25,5912.36669921875
2024-07-01 06:04:44,6348.34326171875
2024-07-02 13:01:31,6809.97265625
2024-07-03 21:09:57,5630.2333984375
2024-07-04 01:50:32,5776.89111328125
2024-07-05 03:41:21,6252.798828125
2024-07-06 03:49:56,5927.31884765625
2024-07-07 01:56:02,5550.30615234375
2024-07-08 05:52:56,5610.80029296875
2024-07-09 11:33:07,5593.2373046875
2024-07-10 08:32:18,5666.001953125
2024-07-11 21:39:55,6055.37890625
2024-07-12 04:29:36,6036.45361328125
2024-07-13 12:26:03,5837.6591796875
2024-07-14 09:51:45,6381.388671875
2024-07-15 02:55:42,6025.720703125
2024-07-16 01:21:10,5497.56982421875
2024-07-17 22:33:29,5582.39306640625
2024-07-18 08:35:35,5568.6630859375
2024-07-19 04:06:54,5493.38232421875
2024-07-20 23:56:06,5666.26318359375
2024-07-21 06:32:13,5701.30810546875
2024-07-22 12:12:07,5741.17431640625
2024-07-23 01:08:59,5568.5126953125
2024-07-24 15:31:51,5276.1953125
2024-07-25 09:47:43,5249.5791015625
2024-07-26 19:54:18,5237.42529296875
2024-07-27 15:21:39,5457.29052734375
2024-07-28 00:08:21,5565.36474609375
2024-07-29 07:58:50,6058.23583984375
2024-07-30 03:37:19,5516.9326171875
