date_time,suit_coun
2024-06-01T07:15:55,329730.47265625
2024-06-01T07:21:35,235964.08984375
2024-06-01T07:31:30,19443.990234375
2024-06-01T07:35:44,87284.4462890625
2024-06-01T07:47:03,236477.8095703125
2024-06-01T07:56:56,5410775.443847656
2024-06-01T08:05:24,1721712.9404296875
2024-06-01T08:11:02,1112819.3955078125
2024-06-01T08:15:16,1237287.255859375
2024-06-01T08:19:30,977337.1357421875
2024-06-01T08:23:44,516174.734375
2024-06-01T08:29:23,362629.0439453125
2024-06-01T08:32:12,123622.49072265625
2024-06-01T08:46:37,162020973.54589844
2024-06-01T08:51:01,102731505.91341147
2024-06-01T08:53:58,89470666.63411458
