2024-06-02T06:30:02.000,31838071,11382968,7002670,50501
2024-06-02T06:31:02.000,31876869,11354087,7121833,59011
2024-06-02T06:32:02.000,31841772,11265821,6783886,8409
2024-06-02T06:33:02.000,31870319,11093659,6858369,4200
2024-06-02T06:34:02.000,31867299,11227067,6622410,0
2024-06-02T06:35:02.000,31922732,11814620,7146554,37935
2024-06-02T06:36:02.000,31884527,11307626,6819637,0
2024-06-02T06:37:02.000,31895224,11375173,7073914,101391
2024-06-02T06:38:02.000,31890339,11510863,6931069,63392
2024-06-02T06:39:02.000,31863239,11112403,6843072,0
2024-06-02T06:40:02.000,31913485,11840750,7098919,37956
2024-06-02T06:41:02.000,31891591,11668776,6974555,191112
2024-06-02T06:42:02.000,31884839,11426405,6824404,16871
2024-06-02T06:43:02.000,31848238,11029861,6922571,0
2024-06-02T06:44:02.000,31936527,11699094,7272704,37963
2024-06-02T06:45:02.000,31956332,11758850,7165625,12639
2024-06-02T06:46:02.000,32036378,12436641,7784900,0
2024-06-02T06:47:02.000,31900016,11455954,7196950,50547
2024-06-02T06:48:02.000,31908513,11911612,7513466,4202
2024-06-02T06:49:02.000,31928922,11497671,7116812,46406
2024-06-02T06:50:02.000,31849035,11236225,6541315,88622
2024-06-02T06:51:02.000,31899450,11536722,7007002,16831
2024-06-02T06:52:02.000,31868685,11331560,6839273,12624
2024-06-02T06:53:02.000,31879460,11375509,6917910,88544
2024-06-02T06:54:02.000,31962777,11913785,7447796,16825
2024-06-02T06:55:02.000,32089935,11222227,6607711,12634
2024-06-02T06:56:02.000,32132572,11554174,6849984,16847
2024-06-02T06:57:02.000,31810921,10965730,6662757,0
2024-06-02T06:58:02.000,31808787,11030354,6592070,0
2024-06-02T06:59:02.000,31888812,11615299,7026646,4227
2024-06-02T07:00:02.000,31882767,11552647,6866262,118312
2024-06-02T07:01:02.000,31875797,11418772,6597986,37929
2024-06-02T07:02:02.000,32169392,11741756,6856700,71731
2024-06-02T07:03:02.000,32253659,12078389,7390790,0
2024-06-02T07:03:22.000,30264711,3796414,534171,0
2024-06-02T07:04:02.000,31899183,11495677,6783974,16857
2024-06-02T07:04:22.000,30217237,3588186,461599,0
2024-06-02T07:05:02.000,31877497,11463633,7248893,0
2024-06-02T07:05:22.000,30244012,3711917,443364,0
2024-06-02T07:06:02.000,31953223,11821392,7369098,0
2024-06-02T07:06:22.000,30256920,3665471,470127,0
2024-06-02T07:07:02.000,31877863,11511167,6731500,4206
2024-06-02T07:07:22.000,30237437,3597084,492117,0
2024-06-02T07:08:02.000,31955085,11737469,7070343,4215
2024-06-02T07:08:22.000,30508269,3528541,387063,0
2024-06-02T07:09:02.000,32137546,11460738,6942939,58997
2024-06-02T07:09:22.000,30535278,3678587,390247,0
2024-06-02T07:10:02.000,32142895,11595346,7019005,8402
2024-06-02T07:10:22.000,30497088,3717497,455184,0
2024-06-02T07:11:02.000,31850426,11470842,6775882,16868
2024-06-02T07:11:22.000,30264541,3605113,356547,0
2024-06-02T07:12:02.000,31941586,11930885,6880822,8441
2024-06-02T07:12:22.000,30258408,3686469,493179,0
2024-06-02T07:13:02.000,31804912,11348734,6484123,12614
2024-06-02T07:13:22.000,30318233,3709493,488851,0
2024-06-02T07:13:42.000,31113805,9072058,5252536,299215
2024-06-02T07:14:02.000,31863764,11539148,6993084,0
2024-06-02T07:14:22.000,30343787,3982333,482204,0
2024-06-02T07:15:02.000,32169257,12036986,7245339,0
2024-06-02T07:15:22.000,30557202,3774835,466506,0
2024-06-02T07:15:42.000,30365658,7548411,3930389,209150
2024-06-02T07:16:02.000,31913985,10863710,6237987,0
2024-06-02T07:16:22.000,30600978,3977716,558471,0
2024-06-02T07:16:42.000,33565973,16909793,11042791,2852338
2024-06-02T07:17:02.000,32169307,11408044,7181628,0
2024-06-02T07:17:22.000,30557724,3779271,520335,0
2024-06-02T07:17:42.000,31558537,9998690,6107285,444979
2024-06-02T07:18:02.000,31789178,11058095,6487092,0
2024-06-02T07:18:22.000,30310891,3672735,570034,0
2024-06-02T07:19:02.000,31949400,12037041,7051804,38060
2024-06-02T07:19:22.000,30329873,3850532,589918,0
2024-06-02T07:20:02.000,31806843,11272421,6455691,0
2024-06-02T07:20:22.000,30343028,3734066,455568,0
2024-06-02T07:21:02.000,31944656,11863072,7204496,152127
2024-06-02T07:21:22.000,30319997,3809195,501125,0
2024-06-02T07:22:02.000,32247230,12002890,7402292,76090
2024-06-02T07:22:22.000,30540276,3639539,517478,0
2024-06-02T07:23:02.000,32161935,11500454,7234155,169389
2024-06-02T07:23:22.000,30537858,3602387,418499,0
2024-06-02T07:24:02.000,32141571,11574691,6626570,84305
2024-06-02T07:24:22.000,30578543,3825914,487513,0
2024-06-02T07:25:02.000,31894422,11690371,6901050,4204
2024-06-02T07:25:22.000,30307785,3907934,501747,0
2024-06-02T07:26:02.000,31891074,11535869,7238112,37838
2024-06-02T07:26:22.000,30349016,4021261,449321,0
2024-06-02T07:27:02.000,31829741,11245847,6780073,25261
2024-06-02T07:27:22.000,30341804,4002730,506256,0
2024-06-02T07:28:02.000,31951437,11790871,7216609,25303
2024-06-02T07:28:22.000,30550118,3658215,520492,0
2024-06-02T07:29:02.000,32114546,11353251,6917542,80250
2024-06-02T07:29:22.000,30607266,4029185,510207,0
2024-06-02T07:30:02.000,32169863,11906731,7125091,42157
2024-06-02T07:30:22.000,30573137,3827231,525077,0
2024-06-02T07:31:02.000,32116722,11493529,7202842,21046
2024-06-02T07:31:22.000,30605881,3933900,440586,0
2024-06-02T07:32:02.000,31838121,11283345,6979294,216733
2024-06-02T07:32:22.000,30318871,3894507,505768,0
2024-06-02T07:33:02.000,31833146,11364754,6724973,187157
2024-06-02T07:33:22.000,30333387,3927448,438647,0
2024-06-02T07:34:02.000,31890126,11699104,7211739,0
2024-06-02T07:34:22.000,30331945,3904829,460734,0
2024-06-02T07:35:02.000,32068905,11255310,6538084,177803
2024-06-02T07:35:22.000,30570618,3703087,445129,0
2024-06-02T07:36:02.000,32117089,11537964,6938060,212715
2024-06-02T07:36:22.000,30575467,3832530,544964,0
2024-06-02T07:37:02.000,32112058,11643347,6623807,97509
2024-06-02T07:37:22.000,30589064,3768769,486699,0
2024-06-02T07:38:02.000,32109136,11644185,6796931,0
2024-06-02T07:38:22.000,30611672,3925138,540871,0
2024-06-02T07:39:02.000,31802507,11264700,6792395,21122
2024-06-02T07:39:22.000,30324473,3828681,535697,0
2024-06-02T07:40:02.000,31876771,11604530,7031520,207603
2024-06-02T07:40:22.000,30348585,4023735,547750,0
2024-06-02T07:41:02.000,31803978,11131448,6475387,0
2024-06-02T07:41:22.000,30351397,3777516,479869,0
2024-06-02T07:42:02.000,32097434,11468487,6902594,58963
2024-06-02T07:42:22.000,30595336,3851625,502944,0
2024-06-02T07:43:02.000,32102475,11779799,6948142,75980
2024-06-02T07:43:22.000,30615585,3914297,536598,0
2024-06-02T07:44:02.000,32034929,11200828,6505050,12635
2024-06-02T07:44:22.000,30605165,3900316,471180,0
2024-06-02T07:45:02.000,32075997,11201279,6518080,4200
2024-06-02T07:45:22.000,30604516,3805316,409960,0
2024-06-02T07:46:02.000,32134283,11822939,6856798,0
2024-06-02T07:46:22.000,30356980,3734572,398539,0
2024-06-02T07:47:02.000,31876478,11861640,6766926,4208
2024-06-02T07:47:22.000,30384749,3929527,406435,0
2024-06-02T07:47:42.000,30915906,0,0,0
2024-06-02T07:48:02.000,31860127,11541666,6768124,42129
2024-06-02T07:48:22.000,30634301,3894858,357202,0
2024-06-02T07:48:42.000,32439077,12241042,8288957,933381
2024-06-02T07:49:02.000,32110598,11628393,6861525,29467
2024-06-02T07:49:22.000,30647905,3964529,417741,0
2024-06-02T07:49:42.000,32445522,12142265,8247408,877006
2024-06-02T07:50:02.000,32141640,11670787,6839300,50581
2024-06-02T07:50:22.000,30633246,3862814,440493,0
2024-06-02T07:50:42.000,32275040,11698838,7648193,613139
2024-06-02T07:51:02.000,32133364,11692049,6837190,0
2024-06-02T07:51:22.000,30629607,3919208,417251,0
2024-06-02T07:52:02.000,32067510,11284079,6325231,0
2024-06-02T07:52:22.000,30623931,3727463,300004,0
2024-06-02T07:52:42.000,29157570,2843005,1311362,21083
2024-06-02T07:53:02.000,32147676,11683204,6741491,75927
2024-06-02T07:53:22.000,30378745,3907130,355866,0
2024-06-02T07:54:02.000,31804815,11316739,6505914,123055
