Time,Total,Mode,Bright_count,Bright_area,Area,Exposure
2024-06-02 06:30:20.312625,2209423154.3570848,3566.0,316427,2117057637.87324,343296,2000
2024-06-02 06:30:46.486675,2213495199.923749,3606.5,312207,2105903304.0294976,343296,2000
2024-06-02 06:31:47.637850,2208428817.80914,3958.0,267872,1932915370.7827225,343296,2000
2024-06-02 06:32:13.269950,2212403204.236448,3680.5,303658,2073576020.6297748,343296,2000
2024-06-02 06:33:13.846060,2213181272.2399445,3612.5,311320,2102435920.4233022,343296,2000
2024-06-02 06:33:40.541100,2212632307.2243614,3728.5,295442,2043943373.1430635,343296,2000
2024-06-02 06:34:40.632345,2210903120.529972,3918.5,271701,1951492237.3942466,343296,2000
2024-06-02 06:35:06.839385,2214385036.334357,3764.5,291372,2030021225.7062268,343296,2000
2024-06-02 06:36:07.415495,2212172656.1183515,3724.5,298369,2053282965.616214,343296,2000
2024-06-02 06:36:33.622420,2213481862.368521,3683.0,304528,2077533802.0952442,343296,2000
2024-06-02 06:37:34.198655,2211119594.606492,3916.0,273405,1957666577.1351578,343296,2000
2024-06-02 06:38:00.406695,2215005126.0248528,3657.0,304444,2079435007.3118916,343296,2000
2024-06-02 06:39:00.982805,2219321102.4625745,3742.5,294845,2047871187.5330045,343296,2000
2024-06-02 06:39:27.190980,2224544785.5843077,3706.0,300191,2072760667.4164124,343296,2000
2024-06-02 06:40:27.768080,2223559142.996707,3835.5,283693,2009231616.9019468,343296,2000
2024-06-02 06:40:53.976130,2224291425.8461165,3937.0,270132,1957746961.2615993,343296,2000
2024-06-02 06:41:54.555240,2221153759.665393,3926.0,270076,1955997090.889315,343296,2000
2024-06-02 06:42:20.759405,2225726679.8873796,3554.5,316709,2134935640.7315903,343296,2000
2024-06-02 06:43:21.335515,2229006929.6404696,3600.0,312874,2123781037.8747764,343296,2000
2024-06-02 06:43:47.547565,2233488469.232533,3816.5,285840,2027610737.7899694,343296,2000
2024-06-02 06:44:48.120675,2227232755.871108,3804.0,286904,2025711814.7620835,343296,2000
2024-06-02 06:45:14.328715,2227256604.151261,3665.0,304851,2092850409.1777582,343296,2000
2024-06-02 06:46:14.903825,2221223934.222998,3801.5,286608,2018952394.1003153,343296,2000
2024-06-02 06:46:41.111875,2222772249.4624243,3589.0,314334,2122978978.0321457,343296,2000
2024-06-02 06:48:07.896150,2221100377.0012436,3583.5,313666,2118863284.0123527,343296,2000
2024-06-02 06:49:08.473260,2211405272.390931,3528.5,321641,2137420284.437818,343296,2000
2024-06-02 06:49:34.681435,2213098605.0638895,3526.5,321975,2140326256.7311578,343296,2000
2024-06-02 06:50:35.257535,2209935283.417434,3594.0,314160,2109196548.139285,343296,2000
2024-06-02 06:51:01.464585,2210515438.3901844,3739.0,293524,2034309593.33056,343296,2000
2024-06-02 06:52:02.406950,2208770936.9959826,3780.5,287466,2010256043.3421566,343296,2000
2024-06-02 06:52:28.248870,2209818749.733927,3637.5,305392,2077972247.822688,343296,2000
2024-06-02 06:53:28.824970,2204215978.5611563,3525.0,320522,2126545090.903574,343296,2000
2024-06-02 06:53:55.338950,2206528016.321657,3537.0,319741,2126029454.8431392,343296,2000
2024-06-02 06:54:55.610130,2202383929.9817724,3553.5,319008,2119009107.632935,343296,2000
2024-06-02 06:55:21.818170,2204773362.1885133,3708.5,298399,2046693106.1676307,343296,2000
2024-06-02 06:56:22.393280,2200227640.220639,3519.0,321512,2126226526.8932393,343296,2000
2024-06-02 06:56:48.601330,2202709705.1325626,3532.5,318606,2118603937.6857555,343296,2000
2024-06-02 06:57:49.177440,2201374527.912421,3550.0,315424,2105948053.0461602,343296,2000
2024-06-02 06:58:15.385605,2205594438.1181383,3565.5,314538,2106840276.3959212,343296,2000
2024-06-02 06:59:15.962715,2204887654.8158703,3497.5,325697,2145150584.9983497,343296,2000
2024-06-02 06:59:42.170765,2204731489.29036,3679.5,301797,2059307515.2500696,343296,2000
2024-06-02 07:00:42.777000,2199660990.0257416,3734.0,292954,2022289519.015085,343296,2000
2024-06-02 07:01:09.490400,2202244662.8711767,3661.0,301768,2057778440.7585735,343296,2000
2024-06-02 07:02:09.849150,2207924978.7808075,3534.5,318358,2122755735.7563667,343296,2000
2024-06-02 07:02:36.121200,2212397482.768708,3581.5,312181,2105228954.9275794,343296,2000
2024-06-02 07:03:36.922435,2209959668.601942,3600.0,311413,2099714910.812131,343296,2000
2024-06-02 07:04:03.194350,2212065262.987003,3570.0,316710,2120697619.0078514,343296,2000
2024-06-02 07:05:03.993585,2207348708.2019095,3840.0,280952,1983416329.0207338,343296,2000
2024-06-02 07:05:30.265635,2208737555.4593716,3581.0,314807,2110733884.0281553,343296,2000
2024-06-02 07:06:31.657350,2207584541.9818134,3709.5,295768,2040628131.2971222,343296,2000
2024-06-02 07:06:57.337785,2207447712.4981127,3576.0,312241,2100628322.6303248,343296,2000
2024-06-02 07:07:58.138895,2204268737.466998,3555.0,317494,2115675018.3397374,343296,2000
2024-06-02 07:08:24.411070,2206633648.481303,3566.0,316940,2115901932.4213312,343296,2000
2024-06-02 07:09:25.211170,2203381640.6792016,3592.0,314201,2102636901.9907398,343296,2000
2024-06-02 07:09:51.482220,2204864012.9439106,3607.0,311285,2093953123.8618639,343296,2000
2024-06-02 07:10:52.282330,2205723144.1043806,3688.5,298616,2049195501.1632483,343296,2000
2024-06-02 07:11:18.556505,2209624682.1465178,3883.0,273851,1959412360.3300252,343296,2000
