date_time,suit_coun
2024-06-02T06:56:40,305899.77490234375
2024-06-02T06:59:34,156587.8046875
2024-06-02T07:02:28,3369643.3779296875
2024-06-02T07:06:49,2088969.5170898438
2024-06-02T07:19:26,1785350.5083007812
2024-06-02T07:22:20,2546789.4936523438
2024-06-02T07:26:41,3977924.1416015625
2024-06-02T07:33:57,5319061.1455078125
2024-06-02T07:39:46,4566793.59375
2024-06-02T07:44:08,3796775.9033203125
2024-06-02T07:51:24,3340330.9169921875
2024-06-02T07:54:19,4820784.676269531
2024-06-02T07:58:41,4151461.6196289062
2024-06-02T08:03:03,6559060.588378906
2024-06-02T08:07:26,5245116.1337890625
2024-06-02T08:10:21,5403294.263671875
2024-06-02T08:19:06,7273444.2451171875
2024-06-02T08:26:24,17052274.76904297
2024-06-02T08:30:46,11574498.08203125
2024-06-02T08:38:06,7057976.3779296875
2024-06-02T08:59:07,25286640.6171875
2024-06-02T09:03:31,20334516.20703125
