Time,AR_total,AR_count_Er,AR_area
2024-06-02T06:30:20.313,710473692.3468459,19670.45404683501,82570
2024-06-02T06:30:46.487,713340066.5599165,19701.50539686696,82570
2024-06-02T06:31:47.638,709988205.9581708,19666.786855086084,82570
2024-06-02T06:32:13.270,713715376.2676213,19705.790016028168,82570
2024-06-02T06:33:13.846,714607491.8186924,19720.572117394346,82570
2024-06-02T06:33:40.541,714055159.376898,19710.01586198176,82570
2024-06-02T06:34:40.632,712613156.0824903,19692.487709872054,82570
2024-06-02T06:35:06.839,714460018.0427057,19707.084269199837,82570
2024-06-02T06:36:07.415,712580025.9081804,19680.982501028175,82570
2024-06-02T06:36:33.622,712770368.354785,19689.10274376359,82570
2024-06-02T06:37:34.199,710578880.8869908,19669.61968384721,82570
2024-06-02T06:38:00.407,714207512.0665119,19703.282814988786,82570
2024-06-02T06:39:00.983,719926512.0683737,19758.5347995607,82570
2024-06-02T06:39:27.191,723815163.923418,19802.669524621633,82570
2024-06-02T06:40:27.768,723867355.3051562,19808.499376377487,82570
2024-06-02T06:40:53.976,726086712.5655723,19828.35475254188,82570
2024-06-02T06:41:54.555,725658124.7184739,19837.860701338406,82570
2024-06-02T06:42:20.759,727698682.6388764,19866.382735859082,82570
2024-06-02T06:43:21.336,733486881.9142143,19904.780129293897,82570
2024-06-02T06:43:47.548,735108744.3483183,19915.011441110357,82570
2024-06-02T06:44:48.121,729323303.4228643,19845.131996616776,82570
2024-06-02T06:45:14.329,728440006.6776078,19826.13835821351,82570
2024-06-02T06:46:14.904,721790816.5083884,19755.46792789561,82570
2024-06-02T06:46:41.112,722036345.9762621,19755.205181170568,82570
2024-06-02T06:48:07.896,718653491.9768682,19735.292783356592,82570
2024-06-02T06:49:08.473,711516221.7828232,19659.86173208719,82570
2024-06-02T06:49:34.681,712104318.1984653,19665.781813093858,82570
2024-06-02T06:50:35.258,709871167.0283011,19641.342083369254,82570
2024-06-02T06:51:01.465,711195874.9639161,19653.1060135964,82570
2024-06-02T06:52:02.407,708567701.6646262,19633.75768841386,82570
2024-06-02T06:52:28.249,708597563.397403,19635.30403267612,82570
2024-06-02T06:53:28.825,705899202.2507733,19610.3278805535,82570
2024-06-02T06:53:55.339,706247974.2353895,19616.689120966275,82570
2024-06-02T06:54:55.610,703711468.765741,19588.434806711608,82570
2024-06-02T06:55:21.818,703892028.5752969,19589.38995577363,82570
2024-06-02T06:56:22.393,702706557.6756856,19573.954313919738,82570
2024-06-02T06:56:48.601,704770612.783643,19591.50107628753,82570
2024-06-02T06:57:49.177,703059583.9894196,19571.83089330279,82570
2024-06-02T06:58:15.386,704165111.896918,19587.44215358719,82570
2024-06-02T06:59:15.963,703097239.8589278,19581.19275395516,82570
2024-06-02T06:59:42.171,703655546.3650383,19579.56291888884,82570
2024-06-02T07:00:42.777,699923663.7918419,19537.096899747557,82570
2024-06-02T07:01:09.490,701685520.9053746,19550.29079586454,82570
2024-06-02T07:02:09.849,706377562.2969081,19593.774510902887,82570
2024-06-02T07:02:36.121,709187934.5254512,19625.749075339067,82570
2024-06-02T07:03:36.922,705864205.8078978,19580.321351930128,82570
2024-06-02T07:04:03.194,706119557.169164,19582.176010759424,82570
2024-06-02T07:05:03.994,703457187.556436,19555.401046518007,82570
2024-06-02T07:05:30.266,705251492.9013383,19581.55124182449,82570
2024-06-02T07:06:31.657,706784386.9440596,19599.169160434078,82570
2024-06-02T07:06:57.338,706764665.4368135,19595.288203338434,82570
2024-06-02T07:07:58.139,702524689.1195173,19560.537079228616,82570
2024-06-02T07:08:24.411,702099806.9734685,19553.66524499602,82570
2024-06-02T07:09:25.211,700967527.8834835,19545.487618005864,82570
2024-06-02T07:09:51.482,701991148.77513,19557.286048303133,82570
2024-06-02T07:10:52.282,703681359.3380141,19575.787307933715,82570
2024-06-02T07:11:18.557,704401368.5907819,19591.79942499393,82570
2024-06-02T07:12:19.324,703708678.7060099,19588.702014028084,82570
2024-06-02T07:12:45.594,706363412.9013128,19613.828399110665,82570
2024-06-02T07:13:46.364,703303721.72294,19570.187592802693,82570
2024-06-02T07:19:34.586,711841874.7424176,19661.345136019965,82570
2024-06-02T07:20:35.324,711102200.8310206,19658.43886488555,82570
2024-06-02T07:21:01.594,711125815.573311,19658.425043328854,82570
2024-06-02T07:22:02.333,710189084.4092783,19650.58135025904,82570
2024-06-02T07:22:28.603,709905123.4332159,19647.130320990313,82570
2024-06-02T07:23:29.341,709114129.6977086,19637.032312625033,82570
2024-06-02T07:23:55.611,710672702.0351691,19650.216438256783,82570
2024-06-02T07:24:56.348,709476041.264087,19641.116724398704,82570
2024-06-02T07:25:22.619,711532751.017245,19666.168391476665,82570
2024-06-02T07:26:23.357,710400345.2799116,19654.614778448926,82570
2024-06-02T07:26:49.628,711882401.1779373,19669.473774238933,82570
2024-06-02T07:27:50.366,708217883.0311185,19635.17822160242,82570
2024-06-02T07:28:16.636,710174093.0558958,19653.049080117962,82570
2024-06-02T07:29:17.373,708451033.3122225,19644.31586613171,82570
